gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-1.41	-6.29	3.55	0.11	0.60	0.05	80.37	-5.81	-11.97	-106.41	32.29	11.40	0.00	13.55	-13.68	9.13	-111.84	26.27	16.90	0.00	-21.27	10.42	2.45	
2.00	-1.11	-6.28	3.17	0.10	0.63	0.04	77.89	-5.07	-11.72	-101.68	29.97	10.99	0.00	13.56	-13.71	8.07	-109.04	26.54	16.71	0.00	-21.22	10.26	2.99	
3.00	-1.47	-6.34	3.63	0.09	0.65	0.04	75.56	-5.25	-11.79	-96.10	27.40	10.80	0.00	14.55	-13.40	7.92	-105.76	26.86	17.08	0.00	-20.04	10.40	2.73	
4.00	-0.74	-5.62	3.01	0.07	0.69	0.04	71.94	-4.47	-10.82	-89.20	23.78	10.32	0.00	13.69	-12.62	6.23	-101.24	27.02	17.40	0.00	-20.42	9.07	3.40	
5.00	-0.46	-5.01	3.01	0.05	0.72	0.03	68.10	-4.34	-10.20	-80.96	19.47	9.86	0.00	13.39	-11.82	5.03	-96.24	27.57	17.77	0.00	-19.97	7.95	3.52	
6.00	0.02	-3.97	2.87	0.02	0.76	0.03	63.33	-4.40	-9.28	-70.94	14.23	9.47	0.00	12.44	-10.69	3.21	-90.19	28.01	18.01	0.00	-19.87	6.19	3.62	
7.00	0.91	-2.51	2.42	-0.01	0.80	0.02	57.18	-4.53	-8.40	-58.67	8.22	9.00	0.00	10.41	-9.06	0.83	-82.66	27.97	18.37	0.00	-20.41	3.87	3.86	
8.00	1.11	-0.96	2.83	-0.04	0.84	0.01	50.28	-5.79	-8.77	-44.14	2.45	9.55	0.00	8.56	-6.93	-0.38	-73.67	27.94	19.07	0.00	-20.04	1.76	3.00	
9.00	1.18	0.78	3.38	-0.07	0.88	0.00	43.12	-7.30	-9.78	-29.89	3.07	11.20	0.00	5.84	-4.49	-1.32	-63.30	27.78	19.38	0.00	-19.58	-0.50	1.84	
10.00	1.09	2.06	3.73	-0.10	0.91	-0.01	37.25	-8.56	-11.77	-19.12	3.87	8.23	0.00	2.78	-2.11	-1.47	-52.24	26.71	18.50	0.00	-19.02	-2.07	0.94	
11.00	0.70	2.52	4.22	-0.13	0.94	-0.02	33.32	-9.47	-13.54	-14.13	3.06	4.38	0.00	0.44	-0.34	-0.52	-42.05	24.76	16.30	0.00	-18.30	-2.56	-0.09	
12.00	0.23	2.04	4.62	-0.16	0.96	-0.03	31.17	-9.67	-13.70	-15.49	5.11	5.47	0.00	-1.45	0.13	0.23	-33.06	23.20	14.47	0.00	-17.60	-2.11	-0.64	
13.00	0.08	1.20	4.62	-0.19	0.98	-0.03	29.61	-9.21	-12.84	-20.54	8.10	8.67	0.00	-3.65	-0.06	0.79	-24.69	21.58	12.87	0.00	-17.19	-1.39	-0.69	
14.00	-0.05	0.36	4.46	-0.21	0.99	-0.03	28.51	-8.67	-11.73	-27.83	9.29	8.61	0.00	-5.29	-0.34	1.50	-18.03	19.86	11.00	0.00	-16.78	-0.67	-0.51	
15.00	-0.34	-0.22	4.37	-0.23	1.00	-0.04	27.39	-8.50	-10.37	-35.81	10.67	7.24	0.00	-5.93	-0.59	2.29	-13.49	18.43	9.64	0.00	-16.27	-0.18	-0.40	
16.00	-0.76	-0.55	4.08	-0.25	1.00	-0.04	25.57	-8.19	-8.99	-41.72	11.84	6.40	0.00	-5.61	-0.87	2.14	-10.91	17.53	9.48	0.00	-15.65	-0.03	-0.08	
17.00	-1.17	-0.75	3.50	-0.27	1.00	-0.03	22.64	-7.65	-8.17	-43.95	12.81	6.96	0.00	-4.99	-1.03	2.01	-9.41	16.85	9.12	0.00	-15.01	0.02	0.68	
18.00	-1.59	-0.85	2.57	-0.28	1.01	-0.03	18.79	-6.89	-7.85	-42.27	13.15	7.29	0.00	-4.61	-1.14	2.16	-7.82	15.83	7.91	0.00	-14.34	-0.02	1.82	
19.00	-2.30	-0.81	1.50	-0.29	1.01	-0.02	14.69	-6.07	-8.33	-37.24	13.31	7.15	0.00	-3.75	-1.23	2.00	-6.88	15.20	6.93	0.00	-13.41	-0.24	2.94	
20.00	-2.96	-0.38	0.45	-0.30	1.01	-0.02	10.37	-5.57	-10.03	-29.92	13.60	8.20	0.00	-2.67	-1.03	1.79	-6.72	14.97	6.12	0.00	-12.70	-0.85	3.80	
