gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	332.29	13.26	67.32	0.01	
2.00	331.78	13.25	67.21	0.01	
3.00	325.58	13.00	66.00	0.01	
4.00	318.67	12.71	64.59	0.01	
5.00	310.94	12.41	63.01	0.01	
6.00	300.09	12.00	60.89	0.01	
7.00	287.43	11.49	58.32	0.01	
8.00	274.19	10.96	55.61	0.01	
9.00	259.49	10.35	52.59	0.01	
10.00	241.93	9.66	49.07	0.01	
11.00	221.62	8.83	44.88	0.02	
12.00	199.23	7.99	40.29	0.05	
13.00	176.94	7.09	35.82	0.88	
14.00	156.48	6.26	31.65	3.26	
15.00	138.20	5.52	28.02	8.14	
16.00	122.80	4.91	24.92	12.26	
17.00	108.29	4.34	22.02	14.48	
18.00	92.23	3.71	18.75	15.18	
19.00	79.24	3.19	16.11	15.09	
20.00	70.71	2.86	14.42	14.52	
21.00	64.59	2.60	13.15	13.46	
22.00	64.19	2.58	13.05	10.63	
23.00	71.22	2.89	14.48	5.42	
24.00	85.01	3.45	17.23	0.72	
25.00	109.49	4.40	22.27	0.03	
26.00	139.86	5.66	28.43	0.02	
27.00	172.85	6.96	35.12	0.02	
28.00	208.13	8.34	42.24	0.01	
29.00	245.50	9.82	49.79	0.01	
30.00	285.98	11.43	57.93	0.01	
31.00	328.64	13.11	66.57	0.01	
32.00	371.55	14.81	75.25	0.00	
33.00	412.31	16.43	83.52	0.00	
34.00	453.59	18.08	91.90	0.00	
35.00	497.51	19.83	100.78	0.00	
36.00	540.07	21.52	109.39	0.00	
37.00	580.82	23.14	117.62	0.00	
38.00	619.88	24.69	125.49	0.00	
39.00	657.88	26.20	133.16	0.00	
40.00	695.62	27.70	140.81	0.00	
41.00	731.96	29.13	148.06	0.00	
42.00	769.26	30.62	155.60	0.00	
43.00	807.59	32.16	163.47	0.00	
44.00	840.84	33.47	170.09	0.00	
45.00	866.73	34.52	175.47	0.00	
46.00	889.50	35.42	180.09	0.00	
47.00	912.22	36.31	184.64	0.00	
48.00	928.38	36.95	187.78	0.00	
49.00	934.17	37.20	189.09	0.00	
50.00	931.88	37.09	188.40	0.00	
51.00	922.73	36.74	186.70	0.00	
52.00	910.65	36.26	184.32	0.00	
53.00	898.96	35.79	181.88	0.00	
54.00	887.33	35.32	179.51	0.00	
55.00	872.45	34.73	176.47	0.00	
56.00	853.18	33.98	172.71	0.00	
57.00	833.24	33.18	168.66	0.00	
58.00	813.52	32.40	164.72	0.00	
59.00	790.84	31.49	160.02	0.00	
60.00	764.23	30.43	154.71	0.00	
61.00	736.12	29.31	149.01	0.00	
62.00	703.59	28.02	142.42	0.00	
63.00	664.20	26.46	134.48	0.00	
64.00	623.47	24.83	126.23	0.00	
65.00	582.61	23.21	118.00	0.00	
66.00	539.35	21.49	109.24	0.00	
67.00	494.62	19.72	100.16	0.01	
68.00	447.91	17.85	90.78	0.01	
69.00	398.73	15.90	80.80	0.02	
70.00	348.90	13.92	70.58	0.31	
71.00	301.92	12.06	61.19	2.69	
72.00	255.27	10.19	51.74	5.25	
73.00	207.61	8.30	42.12	7.40	
74.00	163.41	6.55	33.16	8.94	
75.00	126.20	5.08	25.62	10.08	
76.00	95.08	3.83	19.37	11.16	
77.00	70.12	2.85	14.26	12.79	
78.00	51.13	2.07	10.34	15.98	
79.00	36.58	1.47	7.35	19.79	
80.00	26.67	1.11	5.43	24.29	
81.00	22.55	0.94	4.62	29.37	
82.00	22.67	0.94	4.64	32.50	
83.00	24.76	1.02	5.07	35.46	
84.00	27.47	1.12	5.61	40.15	
85.00	30.69	1.24	6.26	45.49	
86.00	34.37	1.39	7.00	48.85	
87.00	39.66	1.60	8.06	48.20	
88.00	47.00	1.88	9.53	45.24	
89.00	53.52	2.14	10.85	40.98	
90.00	61.29	2.46	12.37	36.36	
91.00	73.66	2.93	14.94	30.87	
92.00	89.58	3.60	18.21	24.93	
93.00	110.25	4.44	22.41	22.32	
94.00	131.24	5.29	26.68	19.45	
95.00	147.05	5.91	29.85	15.29	
96.00	155.83	6.26	31.66	10.89	
97.00	162.40	6.52	32.99	6.69	
98.00	171.88	6.89	34.85	3.06	
99.00	183.30	7.34	37.12	1.54	
100.00	193.02	7.73	39.11	0.82	
