gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	34.90	1.39	7.05	9.08	
2.00	58.91	2.36	11.97	3.23	
3.00	58.29	2.35	11.82	7.13	
4.00	45.96	1.86	9.29	17.00	
5.00	40.76	1.65	8.24	25.60	
6.00	89.17	3.58	18.05	15.50	
7.00	252.02	10.06	51.06	6.29	
8.00	499.45	19.90	101.14	1.80	
9.00	809.07	32.22	163.75	0.00	
10.00	1155.55	46.01	233.80	0.00	
11.00	1505.31	59.93	304.58	0.00	
12.00	1835.64	73.08	371.42	0.00	
13.00	2137.54	85.10	432.51	0.00	
14.00	2403.86	95.71	486.43	0.00	
15.00	2624.84	104.51	531.15	0.00	
16.00	2799.28	111.46	566.45	0.00	
17.00	2935.67	116.89	594.04	0.00	
18.00	3038.86	120.99	614.92	0.00	
19.00	3110.80	123.86	629.47	0.00	
20.00	3152.33	125.51	637.88	0.00	
21.00	3168.83	126.16	641.22	0.00	
22.00	3163.33	125.95	640.10	0.00	
23.00	3136.35	124.87	634.65	0.00	
24.00	3086.50	122.89	624.56	0.00	
25.00	3013.78	120.00	609.85	0.00	
26.00	2920.78	116.30	591.03	0.00	
27.00	2810.75	111.92	568.76	0.00	
28.00	2687.34	107.00	543.78	0.00	
29.00	2554.10	101.70	516.82	0.00	
30.00	2416.00	96.20	488.88	0.00	
31.00	2274.86	90.57	460.31	0.00	
32.00	2129.72	84.79	430.94	0.00	
33.00	1977.65	78.74	400.17	0.00	
34.00	1815.06	72.27	367.27	0.00	
35.00	1638.80	65.25	331.62	0.00	
36.00	1449.83	57.73	293.35	0.00	
37.00	1251.51	49.82	253.21	0.00	
38.00	1051.21	41.85	212.68	0.00	
39.00	857.98	34.16	173.63	0.00	
40.00	680.90	27.12	137.85	0.00	
41.00	526.31	20.97	106.58	0.00	
42.00	398.78	15.90	80.78	0.00	
43.00	298.29	11.92	60.45	0.01	
44.00	222.01	8.89	45.01	0.01	
45.00	166.32	6.69	33.77	0.02	
46.00	125.07	5.04	25.45	0.02	
47.00	95.52	3.86	19.45	0.03	
48.00	72.94	2.94	14.85	0.04	
49.00	56.49	2.25	11.47	0.05	
50.00	44.22	1.73	8.92	0.07	
51.00	35.42	1.37	7.08	0.08	
52.00	29.33	1.14	5.80	0.11	
53.00	25.14	0.99	4.91	0.15	
54.00	22.38	0.89	4.34	0.19	
55.00	20.57	0.82	3.96	0.22	
56.00	19.64	0.79	3.77	0.23	
57.00	19.29	0.79	3.72	0.23	
58.00	19.56	0.79	3.77	0.21	
59.00	20.17	0.81	3.89	0.19	
60.00	20.89	0.83	4.01	0.17	
61.00	21.42	0.85	4.12	0.15	
62.00	21.61	0.86	4.15	0.14	
63.00	21.40	0.84	4.09	0.13	
64.00	20.86	0.83	3.98	0.14	
65.00	20.10	0.80	3.81	0.15	
66.00	19.26	0.77	3.62	0.15	
67.00	18.37	0.74	3.41	0.16	
68.00	17.37	0.71	3.22	0.18	
69.00	16.23	0.68	2.99	0.20	
70.00	14.92	0.64	2.72	0.24	
71.00	13.42	0.60	2.41	0.32	
72.00	11.82	0.56	2.06	0.45	
73.00	10.14	0.51	1.72	0.68	
74.00	8.54	0.45	1.38	1.07	
75.00	7.05	0.40	1.09	1.61	
76.00	5.65	0.35	0.83	2.27	
77.00	4.35	0.30	0.63	3.03	
78.00	3.26	0.25	0.49	3.94	
79.00	2.34	0.21	0.37	4.92	
80.00	1.57	0.16	0.28	5.96	
81.00	0.97	0.12	0.21	7.01	
82.00	0.59	0.08	0.14	8.15	
83.00	0.34	0.06	0.10	9.31	
84.00	0.16	0.04	0.07	10.41	
85.00	0.06	0.03	0.05	11.44	
86.00	0.03	0.02	0.03	12.39	
87.00	0.03	0.02	0.02	13.20	
88.00	0.02	0.02	0.02	13.88	
89.00	0.02	0.01	0.02	14.63	
90.00	0.01	0.01	0.01	15.77	
91.00	0.01	0.01	0.01	17.80	
92.00	0.00	0.00	0.00	22.40	
93.00	0.00	0.00	0.00	30.40	
94.00	0.00	0.00	0.00	41.90	
95.00	0.00	0.00	0.00	56.39	
96.00	0.00	0.00	0.00	70.89	
97.00	0.19	0.01	0.04	73.95	
98.00	2.65	0.11	0.52	60.83	
99.00	11.93	0.48	2.39	36.20	
100.00	34.14	1.36	6.90	10.00	
