gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1284.33	51.12	259.80	0.00	
2.00	1297.90	51.67	262.58	0.00	
3.00	1296.18	51.61	262.28	0.00	
4.00	1279.57	50.94	258.92	0.00	
5.00	1256.23	50.01	254.13	0.00	
6.00	1219.34	48.54	246.65	0.00	
7.00	1163.55	46.33	235.46	0.00	
8.00	1105.65	43.99	223.50	0.00	
9.00	1053.96	41.95	213.18	0.00	
10.00	1011.60	40.26	204.61	0.00	
11.00	976.44	38.87	197.59	0.00	
12.00	946.30	37.68	191.55	0.00	
13.00	919.01	36.58	185.88	0.00	
14.00	895.62	35.65	181.16	0.00	
15.00	874.12	34.80	176.85	0.00	
16.00	850.99	33.88	172.24	0.00	
17.00	823.59	32.79	166.69	0.00	
18.00	790.37	31.46	159.88	0.00	
19.00	757.42	30.16	153.33	0.00	
20.00	722.87	28.79	146.33	0.00	
21.00	678.10	27.00	137.25	0.00	
22.00	618.39	24.63	125.19	0.00	
23.00	545.44	21.73	110.41	0.01	
24.00	458.06	18.26	92.72	0.03	
25.00	361.73	14.43	73.23	0.49	
26.00	266.70	10.67	53.95	0.94	
27.00	187.98	7.52	37.99	1.92	
28.00	135.88	5.46	27.44	3.91	
29.00	99.22	4.02	20.00	6.67	
30.00	66.79	2.71	13.43	8.92	
31.00	44.92	1.85	9.08	10.13	
32.00	25.85	1.06	5.28	12.14	
33.00	9.79	0.40	1.99	14.83	
34.00	1.66	0.07	0.33	17.74	
35.00	0.00	0.00	0.00	19.70	
36.00	0.00	0.00	0.00	20.73	
37.00	0.00	0.00	0.00	21.35	
38.00	0.00	0.00	0.00	21.99	
39.00	0.00	0.00	0.00	22.58	
40.00	0.00	0.00	0.00	23.02	
41.00	0.00	0.00	0.00	23.30	
42.00	0.00	0.00	0.00	23.59	
43.00	0.00	0.00	0.00	23.93	
44.00	0.00	0.00	0.00	24.28	
45.00	0.10	0.01	0.02	23.82	
46.00	1.78	0.08	0.34	21.70	
47.00	4.63	0.20	0.85	17.81	
48.00	5.65	0.24	1.04	22.88	
49.00	2.65	0.13	0.43	50.81	
50.00	2.15	0.10	0.43	93.79	
51.00	1.88	0.09	0.34	115.94	
52.00	0.65	0.03	0.09	136.12	
53.00	0.36	0.02	0.04	155.63	
54.00	0.00	0.00	0.00	164.94	
55.00	0.54	0.03	0.11	162.99	
56.00	3.04	0.13	0.62	159.89	
57.00	5.52	0.23	1.13	154.11	
58.00	8.55	0.35	1.71	145.63	
59.00	12.42	0.50	2.51	136.83	
60.00	17.65	0.71	3.58	126.33	
61.00	23.03	0.93	4.68	112.69	
62.00	27.44	1.10	5.55	97.03	
63.00	34.47	1.37	6.97	84.40	
64.00	43.88	1.78	8.87	71.94	
65.00	56.15	2.25	11.37	61.50	
66.00	71.08	2.85	14.41	51.61	
67.00	87.88	3.55	17.83	40.18	
68.00	106.94	4.29	21.70	31.46	
69.00	130.14	5.24	26.41	25.25	
70.00	158.21	6.34	32.11	21.21	
71.00	189.77	7.59	38.50	18.34	
72.00	223.58	8.95	45.32	15.43	
73.00	258.12	10.32	52.28	12.86	
74.00	292.83	11.68	59.34	11.72	
75.00	327.17	13.05	66.27	10.22	
76.00	365.13	14.56	73.96	8.94	
77.00	403.82	16.11	81.83	8.41	
78.00	442.47	17.64	89.65	8.18	
79.00	481.65	19.19	97.54	7.94	
80.00	517.39	20.61	104.75	7.23	
81.00	550.18	21.93	111.41	6.17	
82.00	587.48	23.40	118.90	5.43	
83.00	628.04	25.01	127.13	4.31	
84.00	666.00	26.52	134.75	1.50	
85.00	705.79	28.12	142.91	0.01	
86.00	748.84	29.82	151.55	0.00	
87.00	794.97	31.66	160.91	0.00	
88.00	841.52	33.50	170.23	0.00	
89.00	884.85	35.23	179.07	0.00	
90.00	926.29	36.87	187.41	0.00	
91.00	966.63	38.49	195.65	0.00	
92.00	1012.39	40.31	204.93	0.00	
93.00	1061.98	42.28	214.87	0.00	
94.00	1102.87	43.91	223.21	0.00	
95.00	1133.81	45.14	229.39	0.00	
96.00	1161.49	46.24	234.97	0.00	
97.00	1193.88	47.53	241.59	0.00	
98.00	1229.33	48.94	248.74	0.00	
99.00	1254.30	49.93	253.75	0.00	
100.00	1272.31	50.64	257.39	0.00	
