gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	5.84	0.35	1.91	0.07	0.09	0.02	24.69	2.94	4.51	31.49	14.59	2.78	0.00	25.16	1.06	1.82	30.56	13.88	6.07	0.00	7.47	1.06	1.27	
0.00	5.73	0.31	1.89	0.07	0.09	0.02	24.55	2.92	4.51	31.60	14.63	2.75	0.00	24.99	1.03	1.66	30.61	13.92	6.06	0.00	7.55	1.04	1.27	
0.00	5.63	0.26	1.85	0.07	0.09	0.02	24.37	2.85	4.51	31.58	14.57	2.69	0.00	24.79	1.05	1.56	30.58	13.90	6.01	0.00	7.53	0.99	1.22	
0.00	5.45	0.26	1.84	0.07	0.09	0.02	24.00	2.76	4.51	31.42	14.47	2.62	0.00	24.40	1.11	1.55	30.42	13.80	5.91	0.00	7.55	0.98	1.22	
0.00	5.24	0.31	1.80	0.06	0.09	0.02	23.48	2.64	4.51	31.05	14.25	2.54	0.00	23.87	1.17	1.58	30.07	13.60	5.73	0.00	7.53	1.03	1.17	
0.00	5.02	0.40	1.72	0.06	0.09	0.02	22.82	2.49	4.50	30.45	13.95	2.48	0.00	23.25	1.26	1.70	29.59	13.36	5.56	0.00	7.46	1.11	1.09	
0.00	4.76	0.44	1.64	0.06	0.09	0.02	22.01	2.27	4.51	29.62	13.52	2.41	0.00	22.46	1.32	1.81	28.90	13.02	5.29	0.00	7.34	1.19	1.04	
0.00	4.52	0.46	1.55	0.06	0.09	0.02	21.09	2.02	4.55	28.59	12.99	2.29	0.00	21.60	1.37	1.93	28.10	12.65	4.97	0.00	7.16	1.27	1.01	
0.00	4.26	0.40	1.47	0.06	0.09	0.02	20.08	1.78	4.49	27.41	12.42	2.23	0.00	20.67	1.43	2.13	27.16	12.16	4.67	0.00	6.93	1.26	0.97	
0.00	3.99	0.35	1.43	0.05	0.09	0.02	18.99	1.62	4.43	26.18	11.80	2.26	0.00	19.62	1.49	2.33	26.09	11.55	4.33	0.00	6.68	1.21	0.90	
0.00	3.73	0.34	1.41	0.05	0.08	0.02	17.83	1.53	4.32	24.89	11.14	2.37	0.00	18.42	1.62	2.49	24.82	10.85	3.99	0.00	6.43	1.20	0.84	
0.00	3.52	0.36	1.43	0.05	0.08	0.02	16.63	1.45	4.10	23.48	10.42	2.47	0.00	17.18	1.81	2.59	23.43	10.19	3.64	0.00	6.12	1.21	0.83	
0.00	3.34	0.41	1.45	0.05	0.08	0.02	15.41	1.31	3.88	22.00	9.64	2.58	0.00	15.92	2.04	2.57	21.97	9.49	3.33	0.00	5.77	1.24	0.86	
0.00	3.17	0.43	1.46	0.04	0.07	0.02	14.15	1.20	3.64	20.43	8.87	2.63	0.00	14.64	2.22	2.53	20.48	8.68	2.94	0.00	5.38	1.25	0.96	
0.00	3.01	0.40	1.45	0.04	0.07	0.02	12.86	1.11	3.44	18.81	8.08	2.66	0.00	13.26	2.37	2.39	18.91	7.87	2.51	0.00	4.98	1.16	1.15	
0.00	2.88	0.40	1.64	0.04	0.07	0.02	11.60	1.01	3.17	17.22	7.24	2.66	0.00	11.92	2.46	2.38	17.26	7.04	2.16	0.00	4.54	1.11	1.34	
0.00	2.74	0.39	1.78	0.04	0.06	0.02	10.30	0.95	2.94	15.58	6.38	2.64	0.00	10.51	2.49	2.33	15.54	6.24	1.90	0.00	4.09	1.09	1.47	
0.00	2.63	0.40	1.86	0.03	0.06	0.02	8.92	0.89	2.69	13.88	5.54	2.58	0.00	9.12	2.52	2.27	13.84	5.35	1.84	0.00	3.68	1.08	1.49	
0.00	2.61	0.39	1.95	0.03	0.05	0.02	7.68	0.84	2.38	12.25	4.73	2.49	0.00	7.86	2.55	2.23	12.20	4.47	1.86	0.00	3.24	1.06	1.48	
0.00	2.62	0.38	2.00	0.03	0.05	0.02	6.58	0.83	2.06	10.67	3.98	2.37	0.00	6.78	2.54	2.18	10.59	3.76	1.90	0.00	2.76	1.02	1.46	
0.00	2.68	0.35	2.03	0.03	0.04	0.02	5.82	0.86	1.88	9.27	3.36	2.24	0.00	6.06	2.49	2.07	9.19	3.23	1.92	0.00	2.27	1.01	1.46	
0.00	2.74	0.40	2.03	0.03	0.04	0.02	5.56	0.85	1.75	8.19	2.86	2.14	0.00	5.98	2.43	2.22	8.21	2.67	1.91	0.00	1.79	1.00	1.46	
0.00	2.85	0.44	2.07	0.03	0.04	0.02	5.89	0.82	1.86	7.63	2.42	2.06	0.00	6.44	2.42	2.50	7.75	2.21	1.84	0.00	1.53	0.98	1.52	
0.00	2.98	0.46	2.12	0.02	0.04	0.02	6.78	0.80	2.14	7.82	2.12	2.02	0.00	7.34	2.43	2.84	7.92	2.15	1.78	0.00	1.55	0.93	1.61	
0.00	3.12	0.50	2.18	0.02	0.05	0.02	8.02	0.83	2.52	8.74	2.17	2.00	0.00	8.61	2.48	3.22	8.83	2.40	1.73	0.00	1.87	0.91	1.67	
0.00	3.29	0.53	2.19	0.02	0.06	0.02	9.47	0.86	2.98	10.28	2.69	1.97	0.00	10.14	2.50	3.66	10.37	2.90	1.71	0.00	2.41	0.89	1.66	
0.00	3.45	0.86	2.18	0.02	0.07	0.02	11.01	0.89	3.43	12.30	3.70	1.97	0.00	11.78	2.52	4.18	12.38	3.86	1.63	0.00	3.16	1.12	1.59	
0.00	3.62	1.39	2.11	0.02	0.08	0.02	12.50	0.91	3.87	14.61	5.25	1.98	0.00	13.54	2.62	4.83	14.71	5.34	1.52	0.00	4.08	1.94	1.53	
0.00	3.74	1.43	2.10	0.02	0.09	0.02	14.15	0.92	4.34	17.32	7.40	1.99	0.00	15.30	2.84	5.22	17.40	7.35	1.56	0.00	4.91	1.92	1.40	
0.00	3.79	1.49	2.07	0.02	0.10	0.02	15.76	0.95	4.73	20.30	10.39	1.89	0.00	17.03	3.20	5.51	20.39	10.14	1.91	0.00	5.68	1.93	1.30	
0.00	3.82	1.43	2.22	0.02	0.11	0.02	17.40	1.05	5.31	23.40	14.41	1.82	0.00	18.61	3.70	5.46	23.56	13.96	2.88	0.00	6.33	1.58	1.18	
0.00	3.80	1.48	2.18	0.02	0.12	0.02	18.63	1.18	5.79	26.31	19.40	2.05	0.00	19.95	4.12	5.54	26.50	18.57	4.41	0.00	6.90	1.60	1.10	
0.00	4.10	1.07	1.94	0.02	0.14	0.02	19.93	1.26	6.51	28.75	23.86	2.77	0.00	21.19	4.46	5.34	28.94	23.00	6.05	0.00	6.72	0.88	1.06	
