gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	35.65	13.74	8.59	93.26	128.00	54.32	6.65	5.47	1.77	5.98	3.49	0.92	26.44	15.03	6.78	2.71	3.06	5.04	5.75	1.60	1.57	0.01	0.01	
0.00	15.92	4.29	4.68	26.52	82.97	26.80	3.96	4.00	1.55	4.29	2.53	0.90	14.42	4.12	2.54	2.38	2.61	4.98	5.75	1.50	1.46	0.01	0.01	
0.00	19.34	4.27	4.41	59.57	105.23	18.08	4.27	3.16	1.15	3.65	1.48	0.29	10.89	2.88	1.96	3.03	2.87	4.85	5.77	1.22	1.34	0.00	0.01	
0.00	22.51	4.04	6.54	74.97	80.26	24.06	5.48	2.74	1.22	2.16	2.07	0.75	15.51	4.11	4.17	3.24	2.44	4.75	5.77	1.00	1.34	0.01	0.01	
0.00	16.99	7.24	5.46	62.96	92.88	11.88	7.06	2.60	1.39	3.39	1.64	0.61	8.29	6.21	3.95	3.16	2.67	5.02	5.92	0.93	1.09	0.00	0.00	
0.00	13.00	8.18	6.37	56.17	84.37	27.39	5.05	2.65	1.37	4.61	1.69	1.06	12.82	6.94	2.73	3.32	3.24	5.03	5.72	0.90	0.85	0.00	0.01	
0.00	49.49	30.75	6.65	100.82	70.19	61.74	6.47	4.22	1.25	5.38	1.92	1.15	34.25	28.79	7.83	3.88	2.75	5.01	5.66	0.89	1.06	0.00	0.00	
0.00	19.13	17.85	9.43	82.93	91.15	38.29	5.40	1.97	1.06	3.60	1.54	1.25	11.80	13.60	5.93	3.40	2.39	5.04	5.40	0.87	1.22	0.00	0.00	
0.00	18.57	14.27	6.43	74.68	71.78	29.23	3.05	2.18	1.09	3.24	2.42	1.29	17.55	10.95	3.76	3.59	3.30	5.27	5.43	0.91	1.32	0.00	0.00	
0.00	29.43	11.33	10.72	28.97	122.91	70.24	3.15	3.61	1.41	8.17	2.35	1.63	30.15	9.76	5.76	3.72	3.21	5.49	5.41	1.00	1.14	0.00	0.01	
0.00	25.11	14.13	15.01	53.42	106.62	46.30	3.96	2.03	1.37	5.15	2.36	1.38	18.63	8.89	14.73	4.16	3.29	5.89	5.60	1.14	1.16	0.00	0.01	
0.00	23.34	16.13	8.01	46.46	83.36	37.07	3.26	1.79	1.46	4.37	1.87	0.89	23.18	14.21	6.42	3.91	3.51	6.18	5.68	1.17	1.23	0.00	0.00	
0.00	24.63	23.74	18.01	63.66	118.78	71.83	3.22	4.57	1.52	4.21	2.09	0.55	26.39	22.46	13.93	4.51	4.43	6.20	5.57	1.03	1.09	0.01	0.00	
0.00	34.28	22.46	19.97	66.93	124.48	41.75	2.60	3.48	1.20	5.95	2.40	1.18	21.28	18.51	17.42	4.24	4.74	5.90	5.15	0.73	0.97	0.00	0.00	
0.00	60.62	27.92	19.34	113.47	96.91	81.24	6.31	3.51	1.23	7.02	3.26	1.55	49.54	21.33	12.78	4.97	5.05	5.65	4.96	0.72	1.04	0.00	0.01	
0.00	18.92	19.10	10.92	57.46	137.49	18.16	4.50	4.63	1.34	3.20	2.25	1.69	21.58	12.70	9.33	4.38	4.09	5.36	4.92	0.95	1.21	0.00	0.01	
