gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	9.39	0.29	1.88	3.23	
0.00	7.80	0.33	1.56	23.36	
0.00	0.00	0.00	0.00	33.89	
0.00	0.00	0.00	0.00	23.31	
0.00	0.00	0.00	0.00	24.65	
0.00	0.00	0.00	0.00	25.76	
0.00	0.00	0.00	0.00	28.74	
0.00	0.00	0.00	0.00	38.29	
0.00	1.05	0.08	0.21	57.87	
0.00	16.67	0.67	3.37	67.76	
0.00	35.02	1.44	7.17	69.96	
0.00	54.22	2.17	10.99	74.94	
0.00	71.28	2.87	14.47	74.95	
0.00	87.87	3.51	17.82	71.50	
0.00	102.14	4.07	20.69	67.67	
0.00	113.15	4.52	22.92	67.38	
0.00	121.14	4.84	24.54	66.80	
0.00	130.25	5.19	26.46	65.52	
0.00	140.71	5.62	28.54	63.74	
0.00	149.52	5.98	30.30	62.60	
0.00	158.53	6.30	32.08	61.83	
0.00	167.06	6.63	33.87	61.15	
0.00	180.90	7.20	36.60	62.11	
0.00	196.59	7.81	39.78	62.98	
0.00	207.93	8.27	42.08	62.44	
0.00	222.63	8.86	45.03	63.16	
0.00	239.36	9.53	48.45	63.17	
0.00	258.52	10.30	52.33	61.64	
0.00	277.82	11.06	56.23	59.02	
0.00	294.95	11.73	59.68	55.91	
0.00	310.89	12.37	62.89	54.57	
0.00	323.99	12.89	65.57	52.54	
0.00	335.49	13.35	67.91	46.85	
0.00	346.90	13.79	70.11	39.82	
0.00	360.08	14.33	72.86	35.23	
0.00	379.11	15.09	76.70	24.95	
0.00	395.64	15.73	79.98	4.40	
0.00	397.88	15.82	80.34	0.01	
0.00	392.31	15.60	79.22	0.01	
0.00	391.51	15.56	79.16	0.00	
0.00	393.42	15.65	79.56	0.00	
0.00	382.58	15.22	77.34	0.00	
0.00	372.57	14.82	75.39	0.00	
0.00	371.19	14.77	75.04	0.00	
0.00	370.18	14.75	75.03	0.00	
0.00	364.48	14.51	73.72	0.00	
0.00	360.84	14.38	73.09	0.00	
0.00	354.13	14.10	71.63	0.00	
0.00	349.14	13.89	70.59	0.00	
0.00	345.27	13.75	69.84	0.00	
0.00	338.65	13.47	68.43	0.00	
0.00	329.06	13.10	66.58	0.00	
0.00	317.89	12.66	64.41	0.00	
0.00	309.96	12.34	62.78	0.00	
0.00	305.35	12.16	61.78	0.00	
0.00	293.35	11.68	59.39	0.00	
0.00	279.61	11.12	56.52	0.00	
0.00	270.78	10.77	54.74	0.00	
0.00	258.46	10.29	52.26	0.00	
0.00	244.78	9.75	49.60	0.00	
0.00	233.56	9.28	47.10	0.00	
0.00	221.18	8.80	44.72	0.00	
0.00	212.72	8.45	42.94	0.00	
0.00	208.98	8.30	42.11	0.00	
0.00	205.22	8.17	41.49	0.00	
0.00	206.68	8.21	41.69	0.00	
0.00	204.78	8.14	41.30	0.00	
0.00	203.26	8.08	41.05	0.00	
0.00	197.04	7.84	39.85	0.00	
0.00	180.33	7.18	36.48	0.00	
0.00	176.35	7.02	35.67	0.00	
0.00	191.93	7.64	38.83	0.00	
0.00	215.09	8.56	43.52	0.00	
0.00	249.10	9.90	50.36	0.01	
0.00	268.44	10.69	54.33	0.03	
0.00	272.11	10.81	55.03	2.34	
0.00	256.73	10.23	51.99	5.55	
0.00	224.20	8.94	45.46	6.00	
0.00	168.60	6.66	34.29	6.40	
0.00	100.58	3.97	20.43	6.91	
0.00	32.40	1.26	6.57	7.96	
0.00	4.08	0.20	0.52	8.86	
0.00	0.07	0.04	0.08	7.64	
0.00	0.00	0.00	0.00	4.69	
0.00	0.00	0.01	0.00	4.26	
0.00	0.00	0.00	0.00	3.08	
0.00	0.00	0.00	0.00	2.20	
0.00	0.00	0.00	0.00	1.71	
0.00	0.00	0.00	0.00	2.15	
0.00	0.00	0.00	0.00	1.19	
0.00	0.00	0.00	0.00	1.36	
0.00	0.00	0.00	0.00	0.90	
0.00	0.00	0.00	0.00	1.06	
0.00	0.00	0.00	0.00	1.27	
0.00	0.00	0.00	0.00	1.05	
0.00	0.00	0.00	0.00	0.66	
0.00	0.00	0.00	0.00	1.43	
0.00	0.00	0.00	0.00	1.42	
0.00	0.90	0.08	0.19	10.09	
0.00	8.46	0.30	1.70	6.09	
