gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	1.01	0.72	1.12	0.06	0.00	0.01	1.34	1.08	2.66	0.73	0.63	2.42	0.00	1.06	1.21	0.72	0.79	1.04	1.05	0.00	0.59	1.36	1.61	
0.00	1.02	0.70	1.12	0.06	0.00	0.01	1.39	1.09	2.65	0.70	0.70	2.43	0.00	1.10	1.19	0.71	0.92	1.14	1.18	0.00	0.61	1.34	1.64	
0.00	1.03	0.69	1.11	0.06	0.00	0.01	1.46	1.09	2.69	0.69	0.80	2.42	0.00	1.07	1.16	0.71	0.91	1.23	1.28	0.00	0.63	1.32	1.67	
0.00	1.04	0.69	1.13	0.06	0.00	0.01	1.58	1.12	3.08	0.70	0.94	2.64	0.00	1.12	1.14	0.72	0.77	1.16	1.34	0.00	0.64	1.34	1.79	
0.00	1.07	0.71	1.10	0.06	0.00	0.01	1.60	1.19	3.05	0.75	1.10	2.74	0.00	1.11	1.14	0.65	0.73	0.98	1.36	0.00	0.65	1.30	1.69	
0.00	1.06	0.74	1.07	0.06	0.00	0.01	1.61	1.25	3.01	0.89	1.24	2.73	0.00	1.13	1.16	0.63	0.77	0.87	1.28	0.00	0.61	1.32	1.69	
0.00	1.00	0.76	1.02	0.06	0.00	0.01	1.67	1.29	2.86	1.11	1.35	2.71	0.00	1.08	1.18	0.63	0.85	0.94	1.17	0.00	0.58	1.31	1.69	
0.00	0.98	0.77	1.02	0.06	0.00	0.01	1.68	1.33	2.80	1.36	1.44	2.67	0.00	1.11	1.21	0.65	0.96	1.04	1.18	0.00	0.60	1.32	1.65	
0.00	0.96	0.75	1.07	0.06	0.00	0.01	1.73	1.35	2.78	1.66	1.54	2.61	0.00	1.14	1.18	0.67	1.06	1.00	1.21	0.00	0.60	1.28	1.62	
0.00	0.84	0.71	0.96	0.06	0.00	0.01	1.69	1.35	2.33	2.08	1.64	2.20	0.00	1.05	1.10	0.72	1.16	0.95	1.16	0.00	0.59	1.21	1.49	
0.00	0.75	0.66	0.91	0.06	0.00	0.01	1.77	1.36	1.76	2.56	1.76	2.06	0.00	0.98	1.00	0.74	1.26	0.91	1.03	0.00	0.53	1.11	1.33	
0.00	0.76	0.63	0.94	0.06	0.00	0.01	1.95	1.36	1.66	3.08	1.87	2.00	0.00	1.01	0.92	0.74	1.35	0.89	1.02	0.00	0.55	1.07	1.27	
0.00	0.75	0.63	0.99	0.06	0.00	0.01	2.24	1.37	1.67	3.67	1.96	2.01	0.00	1.03	0.88	0.78	1.43	0.87	1.06	0.00	0.53	1.04	1.24	
0.00	0.75	0.64	1.05	0.06	0.00	0.01	2.54	1.41	1.64	4.28	2.03	2.01	0.00	1.05	0.86	0.82	1.51	0.87	1.08	0.00	0.53	1.04	1.20	
0.00	0.73	0.66	1.12	0.06	0.00	0.01	2.85	1.45	1.59	4.90	2.06	2.01	0.00	1.06	0.86	0.86	1.57	0.86	1.08	0.00	0.53	1.04	1.19	
0.00	0.72	0.68	1.17	0.06	0.00	0.01	3.15	1.48	1.57	5.49	2.07	2.05	0.00	1.07	0.87	0.90	1.63	0.87	1.06	0.00	0.55	1.06	1.17	
0.00	0.71	0.70	1.19	0.06	0.00	0.01	3.40	1.53	1.52	6.00	2.06	2.12	0.00	1.07	0.92	0.94	1.66	0.87	1.03	0.00	0.57	1.09	1.18	
0.00	0.71	0.73	1.18	0.06	0.00	0.01	3.61	1.57	1.49	6.40	2.02	2.23	0.00	1.08	0.97	0.97	1.67	0.87	1.03	0.00	0.60	1.12	1.19	
0.00	0.72	0.77	1.15	0.06	0.00	0.01	3.71	1.60	1.46	6.63	1.99	2.39	0.00	1.09	1.03	1.01	1.64	0.86	1.08	0.00	0.65	1.15	1.26	
0.00	0.73	0.79	1.10	0.06	0.00	0.01	3.71	1.57	1.43	6.61	1.97	2.49	0.00	1.09	1.05	1.04	1.56	0.84	1.16	0.00	0.70	1.14	1.35	
0.00	0.74	0.80	1.06	0.06	0.00	0.01	3.58	1.49	1.38	6.36	2.04	2.47	0.00	1.09	1.07	1.05	1.44	0.81	1.24	0.00	0.75	1.10	1.44	
0.00	0.75	0.79	1.03	0.06	0.00	0.01	3.36	1.37	1.35	5.87	2.18	2.35	0.00	1.10	1.06	1.06	1.32	0.77	1.31	0.00	0.79	1.03	1.52	
0.00	0.76	0.78	1.03	0.06	0.00	0.01	3.08	1.21	1.34	5.20	2.41	2.15	0.00	1.12	1.03	1.04	1.18	0.73	1.36	0.00	0.83	0.94	1.59	
0.00	0.75	0.75	1.01	0.06	0.00	0.01	2.80	1.06	1.32	4.40	2.80	2.08	0.00	1.12	1.00	1.00	1.06	0.68	1.40	0.00	0.82	0.86	1.62	
0.00	0.73	0.76	1.04	0.06	0.00	0.01	2.51	0.93	1.38	3.50	3.22	2.06	0.00	1.12	0.98	1.00	0.91	0.64	1.42	0.00	0.79	0.82	1.61	
0.00	0.70	0.78	1.06	0.06	0.00	0.01	2.26	0.82	1.46	2.59	3.40	2.08	0.00	1.10	0.97	0.97	0.77	0.60	1.42	0.00	0.75	0.81	1.55	
0.00	0.66	0.80	1.08	0.06	0.00	0.01	2.04	0.76	1.59	1.82	3.31	2.14	0.00	1.05	0.98	0.97	0.62	0.57	1.40	0.00	0.69	0.82	1.47	
0.00	0.62	0.82	1.10	0.06	0.00	0.01	1.81	0.75	1.70	1.46	3.07	2.29	0.00	1.02	0.99	0.99	0.50	0.54	1.39	0.00	0.63	0.85	1.39	
0.00	0.59	0.84	1.11	0.06	0.00	0.01	1.62	0.77	1.80	1.79	2.85	2.42	0.00	0.98	1.00	1.01	0.43	0.51	1.39	0.00	0.58	0.87	1.30	
