gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-38.71	-12.88	5.24	-8.43	13.65	-10.10	-17.39	-23.51	8.50	-11.95	-19.53	4.04	6.90	-13.08	-2.15	-6.76	4.21	-17.19	-12.04	-0.51	2.03	0.03	0.03	
2.00	-26.61	-10.48	-1.60	11.68	-38.57	-5.15	-12.85	-23.81	6.40	-10.03	-21.03	5.90	4.38	-1.82	-2.39	-5.59	5.90	-17.37	-14.58	-1.63	3.33	0.03	0.03	
3.00	-26.64	-16.10	-0.32	-8.25	-41.24	22.01	-7.46	-22.92	5.89	-12.68	-22.67	8.74	1.32	1.85	-2.35	-4.33	11.09	-16.92	-18.84	-1.95	5.09	0.02	0.03	
4.00	-33.12	-11.02	-6.94	43.30	9.90	25.97	-7.85	-21.27	5.25	-19.77	-25.42	14.05	8.87	11.79	-0.61	-5.46	18.15	-16.11	-25.19	-2.54	8.05	0.03	0.03	
5.00	-23.40	0.01	-16.22	33.35	-36.70	-3.96	3.13	-17.21	2.88	-23.93	-32.10	20.47	9.86	22.96	-0.05	-1.28	30.30	-14.09	-34.53	-3.04	12.06	0.03	0.03	
6.00	-36.36	18.32	-26.52	46.04	-23.92	-19.51	5.59	-12.09	1.22	-32.04	-36.93	27.22	8.94	44.49	1.12	-1.55	45.18	-10.64	-47.66	-2.79	16.72	0.04	0.03	
7.00	-4.66	10.47	-24.74	12.31	-34.20	19.93	15.84	-13.67	1.64	-34.87	-33.98	35.16	33.16	56.65	5.80	2.31	63.66	-7.20	-63.67	-2.37	22.16	0.05	0.03	
8.00	-9.49	10.14	-30.41	-48.45	-20.55	20.80	10.97	-11.75	1.50	-43.11	-34.33	42.07	47.76	63.07	7.35	-0.12	79.77	-4.44	-80.39	-2.44	27.07	0.05	0.03	
9.00	-9.04	11.70	-35.99	-23.73	3.39	3.72	12.52	-8.28	0.81	-46.03	-33.42	45.92	54.88	67.21	7.51	-0.49	85.43	-1.34	-94.30	-1.31	30.43	0.05	0.03	
10.00	15.58	2.96	-38.34	-12.38	-117.71	24.80	16.15	-8.49	0.47	-39.87	-29.26	45.38	54.26	64.98	6.54	0.81	78.71	-0.27	-102.92	-1.28	31.23	0.04	0.03	
11.00	2.36	7.84	-25.72	-53.53	-70.42	49.37	13.78	-5.03	0.05	-42.83	-28.78	40.77	48.71	57.08	9.88	1.10	59.73	1.14	-103.89	-0.01	28.51	0.04	0.03	
12.00	-9.49	-0.31	-21.75	25.50	-72.28	22.14	17.77	-2.73	-0.61	-39.48	-24.27	32.47	26.40	40.48	6.60	3.20	36.60	1.08	-98.43	0.03	23.94	0.03	0.03	
13.00	-13.45	8.00	-14.42	17.49	43.86	13.72	14.96	-5.19	0.28	-36.63	-23.94	23.03	29.31	36.91	9.36	2.28	15.82	0.87	-86.67	-0.02	17.83	0.02	0.04	
14.00	-4.02	-2.23	0.08	15.68	-2.17	-2.91	12.46	-1.94	-0.77	-29.09	-17.43	13.45	20.56	16.34	12.92	1.03	-1.78	0.93	-67.56	-0.03	10.66	0.03	0.04	
15.00	-5.54	-7.20	-5.47	37.31	-65.67	-11.69	6.53	-1.00	-0.35	-20.92	-15.35	9.00	4.69	3.84	6.14	-2.49	-11.38	0.72	-48.71	-0.05	6.76	0.03	0.05	
16.00	-11.01	-1.45	-0.75	1.38	-11.16	-7.14	-1.67	-1.85	1.30	-20.92	-13.04	5.78	9.56	1.11	6.11	-5.03	-16.06	0.16	-33.90	-0.48	4.43	0.04	0.07	
