gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	1.18	1.12	2.25	0.05	0.01	0.03	2.75	2.44	1.72	5.56	3.67	1.81	0.00	4.04	2.63	2.89	5.46	3.44	1.92	0.00	0.89	2.00	1.24	
0.00	1.26	1.37	2.34	0.05	0.01	0.03	3.38	2.89	1.94	7.55	4.01	1.70	0.00	3.93	2.62	2.88	4.50	3.79	1.87	0.00	0.98	2.37	1.14	
0.00	1.44	1.38	2.39	0.05	0.01	0.03	4.19	3.11	1.99	9.58	3.86	1.43	0.00	4.11	2.41	2.88	4.48	4.18	2.42	0.00	1.21	2.49	1.00	
0.00	1.60	1.29	2.33	0.05	0.01	0.03	4.88	3.14	1.61	11.28	3.19	1.32	0.00	4.45	2.10	2.95	5.52	4.53	3.08	0.00	1.57	2.38	1.03	
0.00	1.76	1.27	2.25	0.05	0.01	0.03	5.31	3.06	1.16	12.39	2.09	1.65	0.00	4.82	1.83	2.90	6.80	4.81	3.26	0.00	1.90	2.11	1.07	
0.00	1.85	1.23	2.29	0.05	0.01	0.03	5.56	2.85	1.09	12.72	1.20	1.97	0.00	4.96	1.62	2.80	7.45	4.81	3.04	0.00	2.07	1.77	1.08	
0.00	1.86	1.40	2.43	0.05	0.01	0.03	5.69	2.77	1.32	12.30	2.54	2.12	0.00	4.97	1.60	2.57	7.32	4.44	2.60	0.00	1.93	1.60	1.19	
0.00	1.83	1.50	2.51	0.05	0.01	0.03	5.49	2.61	1.71	10.96	4.38	1.90	0.00	4.68	1.56	2.22	6.11	3.67	2.16	0.00	1.61	1.53	1.29	
0.00	1.86	1.53	2.53	0.05	0.01	0.03	5.03	2.39	2.09	9.01	5.25	1.44	0.00	4.44	1.35	2.26	4.97	3.06	2.12	0.00	1.06	1.60	1.24	
0.00	1.98	1.53	2.44	0.05	0.01	0.03	4.28	2.21	2.45	7.53	5.35	1.36	0.00	4.56	1.21	2.69	6.33	4.15	2.61	0.00	0.75	1.94	1.08	
0.00	2.24	1.49	2.12	0.05	0.02	0.03	3.36	2.06	2.66	8.34	5.57	1.65	0.00	5.09	1.11	3.24	9.73	7.29	3.82	0.00	1.26	2.51	0.92	
0.00	2.58	1.45	1.84	0.05	0.02	0.03	2.39	2.07	2.71	10.93	5.12	1.91	0.00	5.51	1.11	3.51	12.35	10.32	5.15	0.00	2.02	2.92	1.21	
0.00	2.80	1.45	1.75	0.05	0.03	0.03	1.67	2.24	2.73	13.60	4.68	1.96	0.00	5.32	1.20	3.34	12.48	11.85	6.47	0.00	2.56	3.05	1.70	
0.00	2.73	1.52	1.67	0.05	0.03	0.03	1.73	2.47	2.56	15.40	4.38	1.88	0.00	4.77	1.26	3.48	12.83	13.28	7.15	0.00	2.79	2.88	2.18	
0.00	2.53	1.59	1.83	0.05	0.03	0.03	2.19	2.53	2.21	15.85	3.86	1.67	0.00	3.75	1.29	3.16	13.94	13.05	7.29	0.00	2.67	2.36	2.49	
0.00	2.15	1.63	2.13	0.05	0.03	0.03	2.75	2.29	1.58	15.02	3.76	1.59	0.00	3.15	1.56	2.53	16.49	10.46	6.77	0.00	2.13	1.73	2.55	
0.00	1.81	1.47	2.40	0.04	0.03	0.03	3.33	1.85	0.99	12.72	2.95	2.02	0.00	3.56	2.32	2.35	21.19	7.13	5.87	0.00	1.68	1.30	2.67	
0.00	1.67	1.66	2.60	0.04	0.03	0.03	4.51	1.63	1.09	11.36	4.11	2.59	0.00	4.10	3.09	2.76	26.58	5.09	5.22	0.00	1.97	1.52	2.80	
0.00	1.77	1.66	2.73	0.04	0.04	0.03	5.28	1.41	1.45	11.70	5.98	2.37	0.00	4.28	3.51	3.31	30.50	4.36	4.21	0.00	2.38	1.75	2.52	
0.00	2.02	1.10	3.12	0.04	0.04	0.03	5.71	1.36	2.10	12.61	7.64	1.05	0.00	4.05	3.87	3.63	32.13	4.23	3.57	0.00	2.61	1.55	2.33	
0.00	2.22	0.80	3.37	0.04	0.05	0.03	6.16	1.39	2.45	14.90	8.72	2.97	0.00	3.49	3.39	4.21	31.07	4.07	4.10	0.00	2.92	1.32	2.25	
0.00	2.26	1.41	3.35	0.04	0.05	0.03	6.06	1.72	2.51	15.92	9.94	2.82	0.00	3.03	3.10	5.24	27.95	3.61	5.09	0.00	2.97	2.44	1.69	
0.00	2.06	2.16	3.04	0.04	0.05	0.03	6.06	2.45	2.02	15.64	10.28	2.38	0.00	2.84	2.94	5.96	24.04	3.19	5.62	0.00	2.50	3.06	1.55	
0.00	2.28	2.03	3.18	0.04	0.04	0.02	5.20	2.74	2.38	13.72	9.54	2.70	0.00	2.74	2.22	6.01	20.04	3.02	5.70	0.00	1.98	3.23	1.34	
0.00	2.44	1.68	3.97	0.04	0.03	0.02	4.09	2.91	3.11	10.28	7.58	3.14	0.00	2.88	2.04	5.09	16.46	2.89	5.49	0.00	1.95	2.65	1.26	
0.00	2.45	1.53	4.04	0.04	0.03	0.02	3.73	2.95	3.04	8.07	5.73	3.40	0.00	3.21	2.40	3.32	13.53	2.68	4.44	0.00	1.73	2.22	1.42	
0.00	2.47	0.64	3.99	0.04	0.02	0.02	3.09	2.66	3.31	6.40	4.33	3.43	0.00	3.29	3.05	2.15	11.08	3.04	3.61	0.00	1.88	2.33	1.48	
0.00	2.58	0.70	4.03	0.04	0.02	0.02	2.58	2.63	3.30	5.04	3.60	3.45	0.00	3.14	3.13	2.39	9.01	3.50	3.33	0.00	1.78	2.57	1.43	
0.00	2.65	1.29	4.14	0.04	0.02	0.02	2.28	2.45	2.66	4.30	3.07	3.54	0.00	3.12	2.36	3.40	7.41	4.46	3.67	0.00	1.54	1.76	1.65	
0.00	2.63	1.36	4.17	0.04	0.01	0.02	1.93	2.34	2.61	3.98	2.74	3.51	0.00	3.14	2.20	3.86	6.63	7.88	7.57	0.00	1.50	1.87	1.75	
0.00	2.57	1.30	4.15	0.05	0.01	0.02	1.73	2.12	2.58	4.07	2.53	3.40	0.00	3.12	2.29	4.28	6.30	9.08	9.63	0.00	1.50	2.04	1.91	
0.00	2.59	0.88	3.85	0.05	0.02	0.02	1.49	2.07	3.23	4.21	2.44	3.24	0.00	3.09	3.13	4.29	5.61	2.70	1.43	0.00	1.50	3.20	1.75	
0.00	2.61	1.01	3.73	0.05	0.02	0.02	1.55	2.14	3.40	4.59	2.36	3.15	0.00	3.10	3.10	4.46	5.50	2.66	1.64	0.00	1.51	3.37	1.71	
0.00	2.63	1.37	3.83	0.05	0.02	0.02	1.73	2.31	3.08	5.00	2.24	3.21	0.00	3.15	2.49	4.78	5.27	2.70	2.04	0.00	1.52	2.78	1.85	
0.00	2.56	1.76	3.64	0.05	0.02	0.02	1.75	2.48	2.82	5.14	2.21	3.24	0.00	3.02	2.29	4.96	4.93	2.49	2.16	0.00	1.66	1.90	1.87	
0.00	2.52	1.85	3.66	0.05	0.02	0.02	1.84	2.67	2.78	5.26	2.11	3.21	0.00	3.07	2.38	5.01	4.48	2.54	2.08	0.00	1.68	1.95	1.91	
0.00	2.36	1.98	3.73	0.05	0.02	0.02	1.90	2.71	2.64	5.29	2.04	3.15	0.00	3.23	2.46	5.09	4.08	2.73	1.64	0.00	1.67	1.88	2.00	
0.00	2.21	2.12	3.82	0.05	0.02	0.02	1.94	2.73	2.49	5.26	1.93	3.07	0.00	3.43	2.49	5.12	3.69	2.72	1.55	0.00	1.70	1.76	2.02	
0.00	2.05	2.25	3.87	0.05	0.02	0.02	1.97	2.81	2.40	5.20	1.78	3.00	0.00	3.62	2.49	5.02	3.45	2.69	1.76	0.00	1.70	1.70	2.00	
0.00	1.92	2.36	3.95	0.05	0.02	0.02	1.98	2.89	2.37	5.11	1.65	2.92	0.00	3.75	2.46	4.84	3.33	2.71	1.95	0.00	1.72	1.70	1.99	
0.00	1.84	2.43	3.99	0.05	0.02	0.02	1.97	2.96	2.36	5.04	1.50	2.87	0.00	3.81	2.44	4.69	3.15	2.56	2.01	0.00	1.76	1.71	1.96	
0.00	1.78	2.50	3.99	0.05	0.02	0.02	1.93	3.02	2.36	4.93	1.38	2.82	0.00	3.78	2.42	4.57	3.14	2.59	1.93	0.00	1.79	1.71	1.92	
0.00	1.74	2.58	4.00	0.05	0.02	0.02	1.95	3.07	2.39	4.79	1.34	2.84	0.00	3.75	2.39	4.51	3.07	2.59	1.80	0.00	1.77	1.67	1.91	
0.00	1.70	2.62	4.01	0.05	0.02	0.02	1.88	3.07	2.43	4.63	1.29	2.91	0.00	3.64	2.42	4.50	3.16	2.89	2.04	0.00	1.80	1.63	1.93	
0.00	1.67	2.65	3.98	0.05	0.02	0.02	1.83	3.05	2.47	4.43	1.29	2.98	0.00	3.53	2.44	4.55	3.20	3.03	2.24	0.00	1.83	1.58	1.92	
0.00	1.63	2.68	3.93	0.06	0.01	0.02	1.80	2.97	2.48	4.21	1.34	3.04	0.00	3.42	2.45	4.57	3.23	3.00	2.41	0.00	1.81	1.54	1.88	
0.00	1.66	2.74	3.86	0.06	0.01	0.02	1.77	2.94	2.43	3.96	1.40	3.09	0.00	3.30	2.36	4.62	3.23	2.98	2.43	0.00	1.82	1.48	1.78	
0.00	1.71	2.80	3.78	0.06	0.01	0.03	1.89	2.90	2.36	3.77	1.47	3.11	0.00	3.24	2.26	4.70	3.22	3.03	2.40	0.00	1.82	1.41	1.69	
0.00	1.78	2.84	3.68	0.06	0.01	0.03	2.16	2.81	2.31	3.72	1.61	3.06	0.00	3.09	2.15	4.73	3.26	2.90	2.43	0.00	1.87	1.40	1.61	
0.00	1.84	2.89	3.55	0.06	0.01	0.03	2.54	2.70	2.26	3.84	1.95	2.96	0.00	3.00	2.02	4.76	3.48	2.67	2.36	0.00	1.91	1.38	1.58	
0.00	1.93	2.90	3.38	0.06	0.02	0.03	3.08	2.58	2.22	4.20	2.34	2.85	0.00	2.92	1.91	4.71	3.99	2.46	2.43	0.00	1.95	1.43	1.53	
0.00	2.02	2.70	3.64	0.06	0.02	0.03	3.34	2.36	2.56	4.68	2.89	2.71	0.00	2.80	2.14	4.37	4.94	2.41	2.75	0.00	2.05	2.34	1.60	
0.00	2.15	2.56	3.64	0.06	0.02	0.03	3.85	2.27	3.05	5.46	3.56	2.64	0.00	2.56	2.36	4.12	6.48	2.44	2.67	0.00	2.30	3.13	1.61	
0.00	2.26	2.28	3.62	0.06	0.03	0.03	4.19	2.00	4.17	6.30	4.44	2.60	0.00	2.83	2.96	4.07	8.53	2.18	2.79	0.00	2.21	4.48	1.57	
0.00	2.35	2.28	3.39	0.06	0.03	0.04	4.92	1.72	4.30	7.62	5.40	2.70	0.00	2.92	3.13	4.12	11.10	1.87	2.96	0.00	2.45	4.65	1.69	
0.00	2.42	2.28	3.30	0.06	0.03	0.04	5.63	1.37	4.53	9.02	6.54	2.88	0.00	3.27	3.45	4.09	14.19	1.73	2.91	0.00	2.72	5.00	1.82	
0.00	2.36	2.33	3.11	0.06	0.04	0.04	6.34	0.63	4.94	10.41	7.66	3.00	0.00	4.09	4.50	3.99	17.55	1.49	4.26	0.00	3.05	5.34	2.11	
0.00	2.41	1.96	3.30	0.06	0.04	0.04	7.07	0.82	5.22	11.71	8.76	3.11	0.00	4.82	3.94	3.42	20.83	1.85	2.55	0.00	3.27	5.44	2.24	
0.00	2.38	2.10	3.33	0.05	0.04	0.05	7.36	1.12	5.15	12.42	9.61	3.08	0.00	5.66	4.17	3.45	23.90	2.07	2.63	0.00	3.52	5.74	2.64	
0.00	2.58	1.94	3.05	0.05	0.04	0.05	8.38	1.57	4.14	13.18	9.99	2.84	0.00	6.54	3.73	3.20	26.52	2.78	2.55	0.00	3.62	5.21	3.12	
0.00	2.50	2.10	3.44	0.05	0.04	0.06	8.56	1.77	3.54	13.29	9.96	2.66	0.00	7.30	3.11	4.15	27.73	2.92	3.20	0.00	3.74	4.25	3.81	
0.00	2.35	2.19	3.69	0.05	0.03	0.06	8.37	1.87	3.52	12.80	9.64	2.60	0.00	7.87	2.74	4.44	28.01	2.66	3.49	0.00	3.75	3.93	4.08	
0.00	2.28	2.37	3.89	0.05	0.02	0.06	7.94	1.71	3.26	11.96	9.23	2.76	0.00	8.27	2.27	4.57	27.33	4.07	3.44	0.00	3.54	3.63	4.10	
0.00	2.23	2.72	4.00	0.05	0.02	0.07	7.36	1.37	2.64	10.91	8.76	3.31	0.00	8.17	1.91	4.28	24.68	4.20	3.97	0.00	3.17	3.10	4.12	
0.00	2.18	2.89	4.03	0.05	0.01	0.07	6.53	1.16	1.93	9.39	8.20	4.04	0.00	7.74	1.96	3.70	21.54	4.26	4.33	0.00	2.72	2.79	3.99	
0.00	2.10	2.92	4.01	0.05	0.01	0.07	5.57	1.19	1.32	7.59	7.71	4.51	0.00	6.98	1.99	3.22	18.34	4.79	4.34	0.00	2.31	2.65	3.63	
0.00	1.95	2.89	3.88	0.05	0.01	0.07	4.67	1.41	1.39	5.93	7.34	4.83	0.00	5.93	1.80	3.02	15.14	4.06	3.79	0.00	2.06	2.58	3.35	
0.00	1.79	2.88	3.61	0.05	0.01	0.07	3.96	1.83	1.87	4.73	6.66	5.21	0.00	5.03	1.62	2.78	12.43	3.77	3.40	0.00	1.83	2.70	3.17	
0.00	1.69	2.94	3.40	0.06	0.01	0.07	3.43	2.44	2.14	4.03	5.79	5.31	0.00	4.38	1.74	2.52	10.34	4.21	3.77	0.00	1.69	3.09	3.03	
0.00	1.63	3.13	3.34	0.06	0.01	0.07	3.05	2.88	2.51	3.97	5.06	4.93	0.00	4.08	2.21	2.04	9.01	5.01	3.33	0.00	1.73	3.45	2.93	
0.00	1.48	3.36	3.34	0.06	0.01	0.07	2.87	3.00	2.87	4.27	4.37	4.27	0.00	3.69	2.67	1.66	7.83	4.62	2.66	0.00	1.85	3.55	2.88	
0.00	1.36	3.63	3.28	0.07	0.01	0.07	3.03	3.05	3.05	4.74	3.78	3.66	0.00	3.25	3.10	1.72	6.78	4.10	2.24	0.00	1.93	3.45	2.99	
0.00	1.26	3.92	3.14	0.07	0.01	0.07	3.51	3.10	3.44	5.45	3.81	3.13	0.00	2.77	3.49	1.79	5.57	3.53	2.12	0.00	1.95	3.22	3.12	
0.00	1.13	4.10	2.91	0.07	0.01	0.06	4.07	3.11	4.10	6.36	4.15	2.74	0.00	2.17	3.70	1.72	4.00	3.33	2.50	0.00	1.79	2.93	3.14	
0.00	1.09	4.15	2.64	0.07	0.01	0.06	4.59	2.81	4.57	7.48	4.79	3.05	0.00	1.77	3.70	1.48	2.65	3.34	2.73	0.00	1.54	2.60	2.77	
0.00	1.14	4.11	2.44	0.08	0.01	0.06	5.12	2.20	5.23	8.65	5.74	3.48	0.00	1.40	3.56	1.32	1.69	3.17	2.70	0.00	1.33	2.13	2.23	
0.00	1.29	4.07	2.44	0.08	0.01	0.06	5.64	1.64	5.97	9.67	6.57	4.22	0.00	1.15	3.41	1.37	1.64	2.92	2.68	0.00	1.29	1.82	2.06	
0.00	1.53	4.00	2.54	0.08	0.01	0.05	6.19	1.34	6.34	10.53	6.78	4.76	0.00	1.16	3.31	1.48	1.84	2.80	2.77	0.00	1.31	1.83	2.31	
0.00	1.69	3.85	2.65	0.08	0.01	0.05	6.62	1.26	6.51	11.15	6.38	4.94	0.00	1.46	3.20	1.58	1.79	2.75	2.90	0.00	1.44	1.98	2.61	
0.00	1.65	3.67	2.84	0.08	0.01	0.05	6.92	1.39	6.44	11.17	6.49	4.87	0.00	1.80	3.13	1.61	1.63	2.64	3.07	0.00	1.62	2.02	2.90	
0.00	1.55	3.36	2.96	0.08	0.01	0.05	7.18	1.53	5.96	10.51	6.40	4.72	0.00	2.06	3.00	1.53	1.47	2.54	3.25	0.00	1.83	1.92	3.01	
