gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	2.19	1.19	2.31	0.04	0.02	0.01	1.89	2.43	1.80	5.68	3.83	2.27	0.00	7.38	1.59	2.06	4.66	2.09	3.99	0.00	2.67	2.06	2.75	
0.00	2.15	1.07	2.53	0.03	0.03	0.01	2.48	2.35	1.64	7.33	4.53	2.57	0.00	5.66	1.59	2.77	4.62	1.98	3.83	0.00	3.82	1.98	3.35	
0.00	2.20	1.07	2.27	0.03	0.04	0.01	2.64	2.56	2.09	8.63	4.82	3.00	0.00	6.50	1.43	2.36	5.16	1.98	3.63	0.00	2.77	1.81	2.36	
0.00	1.89	1.22	2.66	0.03	0.04	0.01	3.68	2.99	3.22	10.24	5.64	3.43	0.00	6.13	1.45	2.71	6.20	2.22	3.47	0.00	2.10	2.99	1.90	
0.00	1.56	1.60	2.78	0.03	0.05	0.01	4.87	2.66	3.68	12.07	6.48	3.87	0.00	5.19	1.62	3.25	7.22	2.46	3.17	0.00	1.77	3.12	1.73	
0.00	1.71	1.35	1.83	0.03	0.05	0.01	6.41	1.70	3.47	14.36	7.57	4.45	0.00	3.72	1.22	3.05	8.46	2.24	2.90	0.00	2.46	3.19	1.68	
0.00	1.36	1.10	2.71	0.03	0.06	0.01	7.67	1.26	3.07	17.14	7.95	4.99	0.00	2.78	1.29	2.36	10.13	1.91	2.44	0.00	3.19	2.99	2.24	
0.00	1.04	1.47	2.90	0.03	0.06	0.01	9.47	1.29	3.13	20.30	9.06	5.09	0.00	2.52	2.04	1.79	12.23	2.07	2.03	0.00	2.79	3.66	2.46	
0.00	1.08	1.68	3.06	0.04	0.06	0.01	10.52	1.73	3.62	21.95	5.02	3.60	0.00	3.00	2.84	1.45	14.55	2.65	2.27	0.00	2.48	4.01	2.53	
0.00	1.34	1.75	3.09	0.04	0.06	0.01	10.14	2.10	4.17	19.68	2.44	6.16	0.00	4.07	3.45	2.01	16.28	3.46	3.08	0.00	2.17	4.00	2.36	
