gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	439.11	17.48	88.85	0.00	
0.00	444.22	17.69	89.92	0.00	
0.00	454.40	18.06	91.91	0.01	
0.00	456.96	18.18	92.48	0.01	
0.00	449.50	17.88	90.90	8.59	
0.00	379.72	15.10	76.72	60.11	
0.00	285.77	11.38	57.83	77.19	
0.00	296.42	11.78	59.97	55.43	
0.00	230.98	9.21	46.79	73.30	
0.00	110.19	4.42	22.50	51.51	
0.00	5.51	0.24	1.04	54.01	
0.00	12.22	0.47	2.46	61.39	
0.00	6.64	0.28	1.10	8.67	
0.00	12.03	0.42	2.37	9.14	
0.00	0.02	0.02	0.03	5.33	
0.00	0.01	0.01	0.00	1.84	
0.00	0.00	0.00	0.00	2.86	
0.00	12.00	0.43	2.37	7.41	
0.00	106.57	4.27	21.61	9.50	
0.00	219.68	8.75	44.47	10.45	
0.00	286.59	11.41	58.01	10.33	
0.00	293.23	11.66	59.40	8.26	
0.00	316.50	12.60	64.03	40.17	
0.00	336.80	13.40	68.14	44.07	
0.00	383.40	15.26	77.58	50.05	
0.00	437.61	17.43	88.58	52.98	
0.00	448.40	17.85	90.71	48.76	
0.00	460.20	18.32	93.09	45.92	
0.00	456.12	18.16	92.30	47.41	
0.00	440.28	17.52	89.05	41.10	
0.00	430.00	17.12	87.00	39.05	
0.00	414.59	16.48	83.71	37.56	
0.00	401.61	15.98	81.22	30.62	
0.00	403.98	16.07	81.72	15.59	
0.00	412.06	16.43	83.44	0.03	
0.00	420.54	16.73	85.08	0.01	
0.00	387.19	15.42	78.37	0.00	
0.00	283.12	11.28	57.40	0.00	
0.00	116.02	4.63	23.59	0.00	
0.00	224.43	8.94	45.42	0.00	
0.00	347.07	13.83	70.32	0.00	
0.00	458.16	18.24	92.69	0.00	
0.00	513.54	20.44	103.89	0.00	
0.00	298.92	11.90	60.49	0.00	
0.00	115.86	4.61	23.44	0.00	
0.00	79.98	3.18	16.18	0.00	
0.00	66.72	2.65	13.52	0.00	
0.00	88.82	3.53	18.02	0.00	
0.00	93.11	3.70	18.85	0.00	
0.00	99.74	3.97	20.19	0.00	
0.00	80.88	3.22	16.38	0.00	
0.00	85.30	3.39	17.29	0.00	
0.00	80.33	3.18	16.28	0.00	
0.00	82.82	3.28	16.77	0.00	
0.00	88.46	3.53	17.92	0.00	
0.00	95.86	3.81	19.46	0.00	
0.00	99.19	3.96	20.11	0.00	
0.00	120.06	4.76	24.31	0.00	
0.00	160.97	6.41	32.58	0.00	
0.00	209.23	8.32	42.27	0.00	
0.00	232.61	9.26	47.08	0.00	
0.00	214.94	8.56	43.49	0.00	
0.00	194.43	7.75	39.48	0.00	
0.00	196.01	7.83	39.70	0.00	
0.00	253.36	10.08	51.27	0.00	
0.00	308.85	12.33	62.68	0.00	
0.00	352.83	14.04	71.39	0.00	
0.00	389.82	15.52	78.84	0.00	
0.00	432.12	17.19	87.38	0.00	
0.00	453.32	18.04	91.63	0.00	
0.00	476.07	18.97	96.47	0.00	
0.00	492.19	19.58	99.55	0.00	
0.00	477.38	18.99	96.51	0.00	
0.00	455.32	18.11	91.99	0.00	
0.00	391.11	15.52	78.77	0.00	
0.00	330.34	13.13	66.83	0.01	
0.00	283.08	11.26	57.28	0.01	
0.00	263.97	10.48	53.39	0.01	
0.00	281.45	11.17	57.01	0.08	
0.00	291.26	11.57	58.92	0.94	
0.00	262.92	10.46	53.28	4.08	
0.00	165.78	6.61	33.67	7.56	
0.00	68.17	2.73	13.82	8.90	
0.00	6.80	0.28	1.32	9.37	
0.00	0.95	0.13	0.21	9.43	
0.00	0.00	0.00	0.00	6.15	
0.00	0.00	0.00	0.00	3.83	
0.00	0.31	0.02	0.03	3.57	
0.00	0.00	0.00	0.00	29.47	
0.00	7.41	0.31	1.52	77.66	
0.00	159.94	6.36	32.41	61.91	
0.00	315.63	12.58	63.93	100.75	
0.00	465.82	18.54	94.21	91.28	
0.00	490.13	19.52	99.35	56.31	
0.00	462.58	18.41	93.60	0.02	
0.00	409.10	16.28	82.73	0.00	
0.00	353.38	14.07	71.52	0.00	
0.00	311.89	12.41	63.09	0.00	
0.00	304.04	12.12	61.59	0.00	
0.00	287.69	11.45	58.22	0.00	
