gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-14.23	-6.01	7.54	34.90	6.79	18.92	18.52	-58.22	-7.70	-30.65	3.00	-0.11	17.25	-20.71	-5.11	-37.14	-33.25	-88.70	-2.41	-17.02	0.22	0.03	-0.04	
2.00	-38.15	29.63	11.07	4.79	87.87	-86.39	21.68	-54.33	-6.95	-44.70	-16.08	2.36	14.72	-18.69	-2.70	-34.24	-34.12	-90.61	-1.90	-17.14	0.07	0.03	-0.02	
3.00	-8.55	14.71	6.47	36.16	-93.50	-79.51	27.41	-50.65	-6.16	-47.72	-2.61	0.57	24.29	-8.31	0.50	-30.26	-32.52	-91.86	-1.16	-17.08	0.27	0.03	-0.00	
4.00	34.82	2.92	3.56	63.67	-110.07	-38.54	30.12	-47.77	-5.75	-18.22	2.23	-0.11	32.90	-8.35	4.47	-26.46	-14.29	-92.37	-0.20	-17.01	1.29	0.03	-0.01	
5.00	9.43	0.72	5.07	-13.20	-72.57	-56.40	31.44	-42.42	-5.50	-41.04	4.87	1.32	38.33	-7.59	5.21	-22.34	-20.54	-91.95	0.75	-17.01	3.19	0.03	0.02	
6.00	-3.47	-43.24	16.06	-42.35	-65.58	81.44	33.18	-42.68	-6.62	-58.31	22.43	2.79	46.01	-22.82	3.08	-18.62	-29.40	-90.23	0.89	-17.22	6.27	0.03	0.07	
7.00	-24.47	-12.86	-2.82	-134.83	-41.25	-52.96	27.80	-35.84	-5.47	-65.05	2.36	6.52	41.57	-12.14	-1.00	-14.83	-29.50	-86.94	-0.19	-17.51	9.13	0.02	0.11	
8.00	-30.13	-34.78	2.91	-77.57	5.16	75.01	29.94	-32.47	-7.36	-62.57	18.48	6.85	34.54	-14.33	-0.89	-10.91	-30.27	-81.69	-3.47	-17.44	11.76	0.02	0.12	
9.00	-41.94	-24.94	-10.15	-13.73	-0.87	26.23	27.23	-21.45	-7.77	-63.92	18.55	6.54	23.92	-1.19	-2.82	-8.43	-29.47	-74.41	-7.90	-16.91	12.74	0.02	0.09	
10.00	-18.30	-17.52	-10.64	35.13	-45.44	62.77	29.41	-17.19	-8.91	-57.37	8.11	5.93	28.05	7.16	-3.63	-4.23	-24.80	-64.99	-11.71	-15.65	12.13	0.02	0.05	
11.00	-11.57	8.44	-25.26	51.87	-97.13	-81.90	28.00	-4.72	-8.75	-65.47	-8.17	5.85	34.40	19.95	-6.41	-0.92	-24.04	-53.88	-14.26	-13.58	11.08	0.03	0.04	
12.00	7.55	-21.34	-2.39	52.74	-169.46	89.24	24.87	-9.51	-8.96	-62.81	-5.78	4.40	43.15	11.28	-5.77	1.34	-21.86	-41.58	-16.00	-10.75	10.17	0.05	0.03	
13.00	-11.46	2.18	-16.05	-13.23	-156.62	-24.70	16.16	-0.04	-7.43	-65.64	-13.76	4.63	35.87	24.16	-6.68	-0.10	-20.65	-29.30	-17.70	-7.76	9.84	0.08	0.02	
14.00	-13.54	-3.22	-2.15	-0.31	-90.40	52.28	15.78	-2.24	-5.14	-61.43	-15.13	4.87	34.70	24.54	-5.15	0.62	-20.20	-18.37	-19.46	-5.16	10.03	0.10	0.03	
