gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	23.10	19.59	10.25	56.59	141.94	50.76	10.18	8.83	2.23	7.14	12.53	1.06	21.96	9.92	7.25	5.60	3.97	4.49	0.80	2.72	0.79	0.01	0.02	
0.00	21.59	17.92	9.55	41.91	127.67	46.43	7.88	7.11	2.29	6.97	11.10	1.16	16.80	10.55	6.95	5.41	4.75	4.36	1.01	2.74	0.80	0.01	0.02	
0.00	22.41	16.01	7.30	50.43	125.07	34.91	6.23	5.99	2.22	7.12	8.48	1.31	17.30	7.70	5.07	4.60	6.58	4.30	1.90	2.76	1.19	0.01	0.02	
0.00	14.09	11.09	5.32	40.05	87.19	23.67	7.04	5.44	2.46	5.37	4.99	1.72	12.81	7.88	4.02	4.37	4.89	4.31	1.98	2.69	1.39	0.01	0.01	
0.00	14.11	12.28	7.89	49.26	80.55	25.93	6.38	5.87	2.35	7.12	3.40	1.79	13.46	8.03	4.43	4.48	3.24	4.47	1.78	2.60	1.56	0.00	0.02	
0.00	16.74	12.95	8.81	53.34	87.98	42.24	5.73	5.52	2.38	7.57	5.45	1.70	14.10	7.18	4.40	4.01	3.82	4.71	1.60	2.46	1.62	0.01	0.03	
0.00	20.04	16.68	14.65	78.26	105.49	89.72	8.03	7.13	2.43	8.34	6.53	1.84	16.22	8.96	4.92	3.77	4.03	5.11	2.15	2.31	1.87	0.01	0.02	
0.00	37.39	66.96	51.25	113.86	136.66	434.71	12.48	17.54	2.96	9.87	14.55	2.39	20.76	26.65	4.65	4.52	4.17	5.73	3.18	2.23	2.05	0.01	0.02	
0.00	41.53	78.15	58.77	111.70	158.90	459.73	13.52	23.34	3.20	9.45	16.22	2.72	25.33	33.65	7.11	4.23	5.44	6.37	3.74	2.20	2.38	0.02	0.02	
0.00	64.62	151.67	121.76	163.68	278.35	1000.39	21.64	39.50	5.09	16.59	26.66	4.94	26.40	65.05	8.47	5.79	5.94	6.76	3.84	2.35	2.82	0.02	0.02	
