gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	2.17	1.18	2.28	0.04	0.02	0.01	1.87	2.40	1.78	5.62	3.79	2.25	0.00	7.30	1.58	2.04	4.61	2.07	3.95	0.00	2.64	2.04	2.73	
0.00	2.13	1.06	2.50	0.03	0.03	0.01	2.45	2.33	1.63	7.25	4.48	2.54	0.00	5.60	1.57	2.74	4.58	1.96	3.80	0.00	3.78	1.96	3.32	
0.00	2.18	1.06	2.25	0.03	0.04	0.01	2.61	2.53	2.07	8.54	4.77	2.97	0.00	6.44	1.42	2.34	5.10	1.96	3.59	0.00	2.74	1.79	2.34	
0.00	1.87	1.20	2.63	0.03	0.04	0.01	3.64	2.96	3.19	10.14	5.58	3.40	0.00	6.06	1.44	2.68	6.13	2.20	3.44	0.00	2.07	2.96	1.89	
0.00	1.55	1.58	2.75	0.03	0.05	0.01	4.82	2.64	3.65	11.95	6.41	3.84	0.00	5.13	1.60	3.21	7.15	2.43	3.14	0.00	1.75	3.09	1.71	
0.00	1.70	1.34	1.81	0.03	0.05	0.01	6.34	1.68	3.43	14.22	7.49	4.40	0.00	3.68	1.21	3.01	8.37	2.22	2.87	0.00	2.43	3.16	1.66	
0.00	1.34	1.09	2.68	0.03	0.06	0.01	7.59	1.25	3.04	16.97	7.87	4.94	0.00	2.75	1.28	2.34	10.02	1.89	2.42	0.00	3.15	2.96	2.22	
0.00	1.03	1.46	2.87	0.03	0.06	0.01	9.37	1.28	3.10	20.09	8.97	5.04	0.00	2.50	2.02	1.77	12.10	2.05	2.01	0.00	2.76	3.63	2.43	
0.00	1.07	1.67	3.03	0.04	0.06	0.01	10.41	1.71	3.58	21.73	4.97	3.57	0.00	2.97	2.81	1.44	14.41	2.63	2.24	0.00	2.46	3.97	2.51	
0.00	1.33	1.73	3.06	0.04	0.06	0.01	10.04	2.07	4.12	19.48	2.41	6.10	0.00	4.03	3.41	1.99	16.12	3.43	3.05	0.00	2.15	3.96	2.34	
0.00	1.51	1.58	2.86	0.04	0.05	0.01	7.83	1.89	3.74	12.44	4.69	8.76	0.00	4.43	3.20	3.27	15.93	4.81	4.34	0.00	1.85	3.44	1.84	
0.00	1.45	1.92	2.44	0.04	0.04	0.01	5.08	1.54	2.60	5.37	3.06	8.43	0.00	4.31	2.40	3.65	14.56	6.11	5.13	0.00	1.44	2.74	1.05	
0.00	1.30	2.78	1.81	0.04	0.03	0.01	3.11	2.27	1.58	8.78	2.09	7.44	0.00	4.24	2.48	3.23	11.89	6.28	5.08	0.00	0.83	2.41	1.32	
0.00	1.28	3.26	1.36	0.04	0.02	0.01	2.69	3.01	2.28	13.50	3.19	5.22	0.00	4.58	3.10	2.40	9.49	5.42	3.73	0.00	0.55	2.53	2.09	
0.00	1.33	2.87	1.23	0.05	0.02	0.01	3.35	3.10	1.82	13.46	3.08	3.50	0.00	4.82	2.89	2.16	7.75	4.21	2.77	0.00	0.52	2.19	2.40	
0.00	1.40	1.97	1.43	0.05	0.01	0.01	4.41	2.50	1.16	10.17	2.18	1.60	0.00	4.65	1.87	2.07	5.89	3.08	2.41	0.00	0.61	1.52	2.57	
0.00	1.50	1.15	1.96	0.05	0.01	0.01	5.63	1.83	0.83	6.33	1.34	3.76	0.00	4.51	1.10	1.79	3.85	2.27	2.19	0.00	0.84	1.17	2.97	
0.00	1.65	0.68	2.64	0.05	0.00	0.02	6.68	1.57	0.93	6.79	0.84	3.72	0.00	4.43	0.89	1.80	2.47	2.12	2.29	0.00	1.08	1.28	3.39	
0.00	1.76	0.51	3.08	0.05	0.00	0.02	7.45	1.72	1.80	11.32	0.65	2.49	0.00	4.31	0.82	1.74	2.10	2.14	2.90	0.00	1.14	1.38	3.50	
0.00	1.79	0.37	3.23	0.05	0.00	0.02	7.54	1.78	3.31	15.24	1.22	3.37	0.00	4.39	0.73	1.63	2.12	2.01	3.19	0.00	1.03	1.37	3.24	
0.00	1.84	0.41	3.27	0.05	0.00	0.02	6.63	1.91	4.19	16.63	0.95	4.29	0.00	4.68	0.88	1.68	2.14	1.91	3.22	0.00	0.72	1.72	2.87	
0.00	1.88	1.09	3.20	0.05	0.00	0.02	5.00	2.35	4.49	15.02	1.40	4.19	0.00	5.06	1.56	1.44	2.67	2.05	3.38	0.00	0.50	2.37	2.43	
0.00	1.71	1.14	2.94	0.05	0.00	0.03	3.03	2.48	3.23	10.72	1.01	3.41	0.00	5.31	1.66	1.33	4.39	2.17	3.43	0.00	0.67	2.43	1.94	
0.00	1.46	1.10	2.34	0.05	0.00	0.02	2.21	2.55	1.53	6.43	2.01	1.87	0.00	5.50	1.70	1.33	6.96	2.13	3.09	0.00	0.99	2.35	1.45	
0.00	1.21	1.06	1.53	0.05	0.00	0.02	2.39	2.22	1.47	3.22	1.96	1.76	0.00	5.69	1.69	1.22	10.07	3.11	2.72	0.00	1.39	2.21	1.13	
0.00	1.04	1.22	1.02	0.05	0.00	0.02	2.68	1.83	1.20	1.85	1.31	1.62	0.00	6.08	1.76	1.08	13.19	5.47	2.64	0.00	1.62	2.21	1.18	
0.00	1.04	1.34	1.06	0.05	0.00	0.02	2.95	1.62	1.42	1.88	1.20	1.63	0.00	6.46	1.84	1.08	14.88	5.96	2.62	0.00	1.54	2.18	0.96	
0.00	0.98	1.29	1.40	0.06	0.00	0.02	2.98	1.20	1.33	2.03	1.27	2.48	0.00	5.98	1.73	1.22	13.60	4.05	2.48	0.00	1.26	1.84	0.71	
0.00	0.82	1.40	1.75	0.06	0.00	0.02	2.69	1.04	1.37	1.63	1.20	2.69	0.00	4.76	1.79	1.72	10.52	2.57	2.77	0.00	1.23	1.53	0.71	
0.00	0.66	1.54	1.89	0.06	0.00	0.01	2.64	1.26	1.71	1.31	1.07	2.37	0.00	3.45	2.03	1.87	8.60	3.47	2.69	0.00	1.33	1.44	0.83	
0.00	0.56	1.34	1.90	0.06	0.00	0.01	2.71	1.17	1.85	1.23	0.96	2.14	0.00	2.31	1.87	1.49	9.96	1.92	2.95	0.00	1.33	1.30	0.79	
0.00	0.54	1.09	1.90	0.06	0.01	0.01	2.81	0.95	2.00	1.33	1.31	1.99	0.00	1.76	1.64	1.39	12.41	1.04	2.72	0.00	1.31	1.50	0.59	
0.00	0.61	1.13	2.02	0.06	0.01	0.01	2.86	0.97	2.29	1.53	2.14	1.80	0.00	1.64	1.85	2.16	13.19	1.05	2.27	0.00	1.33	1.89	0.63	
0.00	0.73	1.19	2.12	0.07	0.01	0.01	2.49	0.89	2.46	3.09	3.58	1.90	0.00	1.36	2.06	1.98	11.37	1.08	1.54	0.00	1.31	1.92	0.93	
0.00	1.03	0.89	2.17	0.07	0.02	0.01	2.01	0.99	2.60	6.98	5.19	2.27	0.00	1.10	1.69	1.14	7.16	1.49	1.34	0.00	1.28	1.56	1.33	
0.00	1.37	1.02	2.20	0.07	0.02	0.02	2.74	2.04	2.46	11.39	5.82	2.28	0.00	1.90	1.33	1.61	4.64	1.26	2.58	0.00	1.39	1.83	1.88	
0.00	1.47	1.44	2.09	0.07	0.03	0.02	4.09	2.99	2.04	15.81	5.02	1.73	0.00	4.42	1.62	2.03	9.46	2.48	3.45	0.00	1.51	2.23	2.36	
0.00	1.56	1.54	1.83	0.07	0.04	0.02	5.11	3.36	2.03	19.07	2.88	2.14	0.00	6.78	1.58	2.59	14.90	3.49	3.65	0.00	1.85	2.24	2.65	
0.00	1.53	1.33	1.65	0.07	0.05	0.02	5.17	2.88	2.31	19.55	3.03	2.61	0.00	7.81	1.15	3.31	17.33	4.68	3.33	0.00	2.14	1.80	2.75	
0.00	1.42	1.07	1.57	0.07	0.05	0.02	4.13	1.90	2.78	17.01	4.18	2.49	0.00	7.91	1.09	3.16	17.52	5.80	2.88	0.00	1.99	1.20	2.76	
0.00	1.33	0.87	1.93	0.07	0.05	0.02	2.35	0.76	3.21	12.38	3.27	2.71	0.00	6.88	1.24	2.52	15.65	6.81	2.42	0.00	1.72	0.93	2.35	
0.00	1.26	0.88	2.30	0.07	0.05	0.02	2.17	0.54	3.18	8.53	1.43	3.15	0.00	6.19	1.58	1.99	13.87	6.35	2.10	0.00	1.74	1.10	1.71	
0.00	1.07	0.94	2.43	0.07	0.05	0.02	3.16	0.57	2.99	7.05	1.16	3.18	0.00	5.64	1.64	1.69	12.10	5.25	2.09	0.00	1.62	1.12	1.34	
0.00	1.05	0.95	2.25	0.07	0.05	0.02	3.10	0.43	2.88	6.38	1.14	3.42	0.00	5.15	1.50	1.30	10.37	4.56	2.53	0.00	1.55	1.29	1.24	
0.00	0.94	0.92	2.05	0.06	0.04	0.02	2.91	0.36	2.37	5.76	1.23	3.45	0.00	4.40	1.49	1.06	8.70	4.48	2.71	0.00	1.54	1.65	1.17	
