gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	4.31	-0.58	1.17	0.12	1.00	0.07	-5.19	-3.15	-17.87	-2.55	5.57	14.53	0.00	-4.56	-6.04	-6.14	-5.02	7.20	3.33	0.00	-16.80	-0.40	4.31	
2.00	3.76	-0.64	1.15	0.12	1.00	0.08	-4.52	-3.10	-17.69	-2.64	5.52	14.35	0.00	-3.83	-6.10	-5.90	-5.24	7.18	3.09	0.00	-16.28	-0.40	4.32	
3.00	3.09	-0.69	1.09	0.12	1.00	0.08	-3.67	-3.06	-17.51	-2.78	5.50	14.20	0.00	-2.89	-6.15	-5.65	-5.58	7.24	2.83	0.00	-15.68	-0.40	4.34	
4.00	2.26	-0.75	1.02	0.12	1.00	0.08	-2.60	-3.02	-17.33	-2.98	5.48	14.04	0.00	-1.75	-6.22	-5.49	-5.95	7.26	2.65	0.00	-14.96	-0.39	4.35	
5.00	1.27	-0.81	0.89	0.11	1.00	0.08	-1.28	-3.00	-17.16	-3.25	5.47	13.95	0.00	-0.39	-6.28	-5.46	-6.35	7.28	2.55	0.00	-14.13	-0.39	4.40	
6.00	0.12	-0.87	0.74	0.11	1.00	0.08	0.27	-3.00	-17.04	-3.61	5.48	13.94	0.00	1.18	-6.36	-5.55	-6.82	7.35	2.60	0.00	-13.23	-0.39	4.44	
7.00	-1.16	-0.93	0.59	0.11	1.00	0.08	2.05	-3.02	-17.00	-4.09	5.52	14.02	0.00	2.95	-6.47	-5.82	-7.35	7.44	2.83	0.00	-12.29	-0.39	4.47	
8.00	-2.53	-0.98	0.42	0.11	0.99	0.08	4.04	-3.07	-17.04	-4.73	5.59	14.20	0.00	4.90	-6.58	-6.21	-7.97	7.57	3.17	0.00	-11.36	-0.39	4.50	
9.00	-3.96	-1.02	0.26	0.10	0.99	0.08	6.18	-3.14	-17.18	-5.50	5.71	14.45	0.00	7.01	-6.70	-6.65	-8.73	7.74	3.61	0.00	-10.48	-0.41	4.49	
10.00	-5.44	-1.05	0.15	0.10	0.99	0.08	8.47	-3.27	-17.41	-6.41	5.89	14.79	0.00	9.31	-6.85	-7.11	-9.68	7.97	4.18	0.00	-9.67	-0.43	4.40	
