gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	113.30	4.50	22.96	0.01	
0.00	112.48	4.46	22.79	0.01	
0.00	111.66	4.45	22.67	0.01	
0.00	115.99	4.61	23.47	0.01	
0.00	122.33	4.85	24.71	0.01	
0.00	124.68	4.95	25.24	0.01	
0.00	124.36	4.93	25.16	0.01	
0.00	126.23	4.99	25.51	0.01	
0.00	130.17	5.18	26.31	0.01	
0.00	132.91	5.30	26.93	0.01	
0.00	135.51	5.41	27.47	0.02	
0.00	135.26	5.35	27.51	0.10	
0.00	130.96	5.21	26.56	2.41	
0.00	124.10	4.95	25.22	7.01	
0.00	112.58	4.51	22.81	15.06	
0.00	100.35	4.02	20.33	22.94	
0.00	88.05	3.54	17.86	27.36	
0.00	75.64	3.06	15.35	29.01	
0.00	65.76	2.65	13.34	28.98	
0.00	58.58	2.37	11.96	27.84	
0.00	57.02	2.30	11.60	25.52	
0.00	62.84	2.54	12.74	19.91	
0.00	72.45	2.92	14.70	9.99	
0.00	79.40	3.14	16.12	1.45	
0.00	80.30	3.21	16.26	0.02	
0.00	81.25	3.19	16.40	0.01	
0.00	84.37	3.33	17.00	0.01	
0.00	85.97	3.40	17.32	0.01	
0.00	86.50	3.45	17.54	0.01	
0.00	90.11	3.56	18.24	0.01	
0.00	95.15	3.78	19.25	0.00	
0.00	102.27	4.07	20.68	0.00	
0.00	112.35	4.47	22.73	0.00	
0.00	125.97	5.01	25.49	0.00	
0.00	136.77	5.44	27.64	0.00	
0.00	142.11	5.65	28.71	0.00	
0.00	150.07	5.97	30.36	0.00	
0.00	164.51	6.54	33.27	0.00	
0.00	181.31	7.22	36.68	0.00	
0.00	197.59	7.87	39.98	0.00	
0.00	210.98	8.37	42.45	0.00	
0.00	219.58	8.72	44.22	0.00	
0.00	223.16	8.88	45.17	0.00	
0.00	224.56	8.90	45.14	0.00	
0.00	225.01	8.95	45.49	0.00	
0.00	227.12	9.04	45.93	0.00	
0.00	231.17	9.19	46.73	0.00	
0.00	233.67	9.29	47.19	0.00	
0.00	230.47	9.17	46.60	0.00	
0.00	224.43	8.90	45.07	0.00	
0.00	221.43	8.80	44.65	0.00	
0.00	221.28	8.81	44.75	0.00	
0.00	220.66	8.77	44.50	0.00	
0.00	221.58	8.81	44.70	0.00	
0.00	222.96	8.86	44.92	0.00	
0.00	220.53	8.77	44.65	0.00	
0.00	216.30	8.60	43.76	0.00	
0.00	215.43	8.58	43.62	0.00	
0.00	219.06	8.71	44.19	0.00	
0.00	221.85	8.84	44.90	0.00	
0.00	223.13	8.88	45.13	0.00	
0.00	225.08	8.96	45.53	0.00	
0.00	228.74	9.10	46.28	0.00	
0.00	230.66	9.18	46.69	0.00	
0.00	227.17	9.03	45.94	0.01	
0.00	218.86	8.70	44.26	0.01	
0.00	209.07	8.29	42.29	0.01	
0.00	199.53	7.98	40.42	0.01	
0.00	188.26	7.51	38.20	0.04	
0.00	174.64	6.93	35.52	0.87	
0.00	156.23	6.22	31.67	7.60	
0.00	135.39	5.39	27.44	14.84	
0.00	114.23	4.55	23.13	20.89	
0.00	92.94	3.69	18.78	25.25	
0.00	73.76	2.95	14.94	28.46	
0.00	59.45	2.40	12.14	31.46	
0.00	50.61	2.03	10.40	34.84	
0.00	45.07	1.82	9.26	38.15	
0.00	42.34	1.71	8.71	40.85	
0.00	38.34	1.57	7.85	42.25	
0.00	34.14	1.44	7.01	42.84	
0.00	34.84	1.47	7.14	45.00	
0.00	39.37	1.63	8.06	47.11	
0.00	45.90	1.88	9.38	48.85	
0.00	53.99	2.19	11.01	51.17	
0.00	61.83	2.50	12.58	53.86	
0.00	71.18	2.88	14.44	55.23	
0.00	84.42	3.38	17.10	55.26	
0.00	96.12	3.82	19.47	54.73	
0.00	103.29	4.12	20.98	51.62	
0.00	112.93	4.51	22.88	47.26	
0.00	127.40	5.09	25.85	46.11	
0.00	144.36	5.75	29.26	43.44	
0.00	164.92	6.55	33.36	37.44	
0.00	182.79	7.27	36.98	28.72	
0.00	189.13	7.53	38.30	20.14	
0.00	183.31	7.28	37.07	12.37	
0.00	176.43	7.01	35.73	6.00	
0.00	172.67	6.86	34.97	4.26	
0.00	169.34	6.74	34.29	2.26	
