gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	2.55	4.50	0.11	-0.04	0.99	-0.00	14.79	-7.59	-21.72	-0.26	0.81	21.00	0.00	-10.97	5.62	2.09	-1.78	10.79	0.34	0.00	-18.08	-6.44	-3.93	
2.00	2.59	4.55	0.30	-0.04	0.99	0.00	14.66	-7.51	-21.21	-1.09	0.47	19.58	0.00	-11.40	5.44	2.11	-2.15	11.14	0.65	0.00	-18.10	-6.41	-3.79	
3.00	2.65	4.56	0.51	-0.04	0.99	0.00	14.47	-7.39	-20.41	-2.03	-0.05	18.17	0.00	-11.83	5.19	2.05	-2.61	11.53	1.11	0.00	-18.10	-6.35	-3.66	
4.00	2.72	4.54	0.77	-0.03	0.99	0.01	14.14	-7.19	-19.71	-2.60	-0.76	17.01	0.00	-12.25	4.87	1.93	-3.13	11.89	1.63	0.00	-18.08	-6.24	-3.54	
5.00	2.80	4.57	1.09	-0.03	0.99	0.01	13.70	-7.07	-19.23	-2.88	-2.37	15.64	0.00	-12.63	4.58	1.87	-3.76	12.19	2.13	0.00	-18.02	-6.17	-3.49	
6.00	2.89	4.56	1.39	-0.03	0.99	0.01	13.27	-6.99	-19.01	-3.23	-4.03	14.28	0.00	-13.02	4.27	1.87	-4.43	12.38	2.46	0.00	-17.91	-6.03	-3.40	
7.00	3.02	4.48	1.73	-0.03	0.99	0.02	12.87	-6.91	-18.97	-3.90	-4.84	13.24	0.00	-13.35	3.87	1.91	-5.25	12.48	2.78	0.00	-17.82	-5.76	-3.31	
8.00	3.17	4.23	1.99	-0.03	0.99	0.02	12.53	-6.65	-18.85	-4.86	-4.63	12.60	0.00	-13.63	3.30	1.87	-6.21	12.51	3.10	0.00	-17.75	-5.33	-3.06	
9.00	3.36	3.85	2.15	-0.02	0.99	0.02	12.21	-6.19	-18.48	-5.99	-3.82	12.04	0.00	-13.82	2.61	1.81	-7.33	12.40	3.31	0.00	-17.71	-4.80	-2.68	
10.00	3.55	3.46	2.20	-0.02	0.99	0.03	11.88	-5.63	-17.80	-7.09	-2.87	11.31	0.00	-13.93	1.94	1.75	-8.59	12.12	3.39	0.00	-17.70	-4.28	-2.21	
11.00	3.69	3.17	2.20	-0.02	0.99	0.03	11.51	-5.10	-17.03	-7.98	-1.98	10.52	0.00	-13.88	1.38	1.65	-10.02	11.63	3.44	0.00	-17.64	-3.92	-1.75	
12.00	3.77	3.00	2.21	-0.02	0.99	0.04	11.06	-4.66	-16.49	-8.56	-1.17	9.92	0.00	-13.61	0.93	1.52	-11.66	11.01	3.57	0.00	-17.53	-3.71	-1.39	
13.00	3.76	2.88	2.25	-0.02	0.99	0.04	10.57	-4.25	-16.23	-8.86	-0.44	9.54	0.00	-13.11	0.51	1.25	-13.54	10.29	3.90	0.00	-17.34	-3.58	-1.09	
14.00	3.73	2.80	2.35	-0.01	0.99	0.04	9.99	-3.88	-16.29	-8.93	0.22	9.44	0.00	-12.39	0.06	0.87	-15.70	9.54	4.44	0.00	-17.14	-3.46	-0.88	
15.00	3.69	2.69	2.50	-0.01	0.99	0.05	9.31	-3.51	-16.61	-8.81	0.80	9.62	0.00	-11.48	-0.45	0.39	-18.15	8.74	5.15	0.00	-16.97	-3.28	-0.68	
16.00	3.68	2.55	2.66	-0.01	1.00	0.05	8.56	-3.11	-17.03	-8.56	1.33	9.94	0.00	-10.39	-1.05	-0.19	-20.88	7.90	5.95	0.00	-16.81	-3.05	-0.48	
17.00	3.69	2.34	2.82	-0.01	1.00	0.05	7.73	-2.64	-17.45	-8.18	1.79	10.29	0.00	-9.13	-1.76	-0.86	-23.94	6.97	6.77	0.00	-16.70	-2.73	-0.22	
18.00	3.73	2.06	2.90	-0.01	1.00	0.06	6.87	-2.07	-17.73	-7.70	2.19	10.58	0.00	-7.70	-2.57	-1.62	-27.26	5.93	7.54	0.00	-16.61	-2.34	0.17	
19.00	3.77	1.73	2.95	-0.01	1.00	0.06	6.01	-1.43	-17.95	-7.18	2.56	10.82	0.00	-6.08	-3.49	-2.35	-30.86	4.74	8.20	0.00	-16.55	-1.89	0.63	
20.00	3.82	1.34	2.97	-0.01	1.00	0.06	5.15	-0.72	-18.15	-6.62	2.90	11.07	0.00	-4.30	-4.47	-3.00	-34.65	3.40	8.65	0.00	-16.51	-1.38	1.19	
21.00	3.89	0.92	2.96	-0.01	1.00	0.07	4.28	0.00	-18.34	-6.03	3.23	11.35	0.00	-2.42	-5.46	-3.50	-38.54	1.94	8.88	0.00	-16.51	-0.84	1.81	
22.00	3.99	0.50	2.93	-0.01	1.00	0.07	3.38	0.73	-18.52	-5.42	3.53	11.66	0.00	-0.51	-6.42	-3.80	-42.42	0.43	8.94	0.00	-16.57	-0.30	2.48	
23.00	4.13	0.10	2.89	-0.01	1.00	0.07	2.46	1.41	-18.76	-4.81	3.82	12.08	0.00	1.40	-7.28	-3.88	-46.16	-0.90	8.84	0.00	-16.68	0.22	3.16	
24.00	4.27	-0.26	2.81	-0.01	1.00	0.07	1.54	2.04	-18.96	-4.21	4.08	12.54	0.00	3.23	-8.00	-3.80	-49.63	-1.74	8.74	0.00	-16.82	0.68	3.90	
25.00	4.44	-0.57	2.67	-0.01	1.00	0.07	0.60	2.58	-19.15	-3.61	4.32	13.04	0.00	4.94	-8.54	-3.61	-52.73	-1.97	8.73	0.00	-16.98	1.07	4.67	
26.00	4.61	-0.78	2.48	-0.01	1.00	0.08	-0.32	3.01	-19.25	-3.06	4.54	13.51	0.00	6.55	-8.88	-3.37	-55.40	-1.67	8.82	0.00	-17.14	1.33	5.45	
27.00	4.77	-0.92	2.23	-0.01	1.00	0.08	-1.21	3.35	-19.21	-2.51	4.72	13.87	0.00	8.05	-9.06	-3.14	-57.59	-1.04	9.03	0.00	-17.29	1.48	6.25	
28.00	4.89	-0.98	1.95	-0.01	1.00	0.08	-2.04	3.59	-19.03	-2.02	4.89	14.12	0.00	9.47	-9.09	-2.94	-59.27	-0.26	9.27	0.00	-17.42	1.53	7.01	
29.00	4.98	-1.00	1.65	-0.01	1.00	0.08	-2.81	3.76	-18.77	-1.55	5.04	14.24	0.00	10.83	-9.03	-2.81	-60.45	0.60	9.50	0.00	-17.51	1.50	7.74	
30.00	5.02	-0.97	1.35	-0.01	1.00	0.08	-3.50	3.87	-18.48	-1.14	5.20	14.31	0.00	12.11	-8.89	-2.72	-61.11	1.48	9.66	0.00	-17.58	1.43	8.39	
31.00	5.03	-0.92	1.06	-0.02	1.00	0.08	-4.12	3.92	-18.16	-0.80	5.36	14.35	0.00	13.33	-8.73	-2.71	-61.26	2.30	9.68	0.00	-17.63	1.33	8.99	
32.00	5.02	-0.87	0.76	-0.02	1.00	0.09	-4.67	3.95	-17.86	-0.51	5.54	14.40	0.00	14.45	-8.56	-2.80	-60.92	3.01	9.54	0.00	-17.69	1.21	9.56	
33.00	4.96	-0.81	0.54	-0.02	1.00	0.09	-5.17	3.97	-17.67	-0.23	5.73	14.49	0.00	15.50	-8.39	-2.89	-60.06	3.61	9.24	0.00	-17.70	1.11	10.00	
34.00	4.88	-0.77	0.31	-0.02	1.00	0.09	-5.62	3.98	-17.46	0.01	5.94	14.59	0.00	16.43	-8.25	-3.05	-58.70	4.09	8.83	0.00	-17.74	1.02	10.43	
35.00	4.77	-0.71	0.12	-0.02	1.00	0.09	-6.04	3.97	-17.31	0.26	6.14	14.71	0.00	17.24	-8.08	-3.22	-56.83	4.42	8.33	0.00	-17.75	0.93	10.78	
36.00	4.66	-0.65	-0.02	-0.02	1.00	0.09	-6.46	3.94	-17.23	0.53	6.34	14.86	0.00	17.89	-7.90	-3.38	-54.44	4.64	7.82	0.00	-17.78	0.84	11.07	
37.00	4.45	-0.61	-0.20	-0.03	1.00	0.09	-6.75	3.89	-16.95	0.79	6.50	14.85	0.00	18.46	-7.70	-3.56	-51.58	4.76	7.30	0.00	-17.72	0.80	11.37	
38.00	4.22	-0.58	-0.35	-0.03	1.00	0.09	-7.03	3.85	-16.66	1.04	6.65	14.80	0.00	18.87	-7.49	-3.65	-48.29	4.84	6.95	0.00	-17.65	0.79	11.64	
39.00	3.90	-0.57	-0.61	-0.03	1.00	0.09	-7.17	3.76	-15.97	1.22	6.80	14.47	0.00	19.17	-7.27	-3.73	-44.58	4.77	6.67	0.00	-17.51	0.85	11.99	
40.00	3.66	-0.64	-0.68	-0.03	1.00	0.09	-7.43	3.81	-15.87	1.43	7.02	14.55	0.00	19.22	-7.14	-3.59	-40.52	4.63	6.71	0.00	-17.41	0.96	12.17	
41.00	3.37	-0.77	-0.84	-0.03	1.00	0.09	-7.59	3.87	-15.46	1.56	7.24	14.43	0.00	19.16	-7.05	-3.36	-36.17	4.34	6.79	0.00	-17.27	1.14	12.42	
42.00	3.11	-0.98	-0.91	-0.03	1.00	0.09	-7.80	4.04	-15.35	1.67	7.51	14.54	0.00	18.94	-7.06	-2.98	-31.68	3.98	6.87	0.00	-17.15	1.37	12.56	
43.00	2.85	-1.23	-0.97	-0.04	1.00	0.08	-8.00	4.24	-15.26	1.74	7.81	14.67	0.00	18.61	-7.11	-2.48	-27.14	3.56	6.72	0.00	-17.02	1.64	12.68	
44.00	2.58	-1.51	-1.02	-0.04	1.00	0.08	-8.20	4.47	-15.13	1.79	8.11	14.75	0.00	18.21	-7.21	-1.90	-22.65	3.08	6.26	0.00	-16.88	1.92	12.76	
45.00	2.33	-1.81	-1.06	-0.04	0.99	0.08	-8.42	4.73	-15.00	1.82	8.43	14.81	0.00	17.76	-7.35	-1.28	-18.32	2.58	5.47	0.00	-16.74	2.22	12.79	
46.00	2.12	-2.11	-1.03	-0.04	0.99	0.08	-8.70	4.99	-15.05	1.85	8.78	15.00	0.00	17.27	-7.48	-0.75	-14.27	2.08	4.43	0.00	-16.61	2.47	12.73	
47.00	1.88	-2.41	-1.11	-0.04	0.99	0.08	-8.94	5.20	-14.83	1.82	9.11	15.02	0.00	16.80	-7.62	-0.43	-10.62	1.63	3.21	0.00	-16.47	2.73	12.74	
48.00	1.67	-2.71	-1.20	-0.04	0.99	0.08	-9.19	5.40	-14.61	1.75	9.45	15.04	0.00	16.36	-7.75	-0.33	-7.48	1.31	2.17	0.00	-16.34	2.95	12.72	
49.00	1.52	-2.98	-1.26	-0.04	0.99	0.08	-9.52	5.57	-14.61	1.65	9.85	15.32	0.00	15.96	-7.86	-0.37	-5.02	1.20	1.41	0.00	-16.25	3.14	12.65	
50.00	1.32	-3.23	-1.43	-0.04	0.99	0.08	-9.75	5.62	-14.22	1.44	10.24	15.28	0.00	15.73	-7.90	-0.41	-3.33	1.16	0.74	0.00	-16.10	3.33	12.64	
51.00	1.25	-3.43	-1.49	-0.04	0.99	0.07	-10.13	5.64	-14.26	1.20	10.68	15.64	0.00	15.50	-7.85	-0.40	-2.46	1.18	0.37	0.00	-16.03	3.45	12.50	
52.00	1.19	-3.57	-1.62	-0.04	0.99	0.07	-10.49	5.54	-14.11	0.88	11.08	15.84	0.00	15.33	-7.72	-0.32	-2.33	0.97	0.17	0.00	-15.98	3.52	12.39	
53.00	1.23	-3.63	-1.76	-0.04	0.99	0.07	-10.93	5.30	-13.99	0.47	11.52	16.06	0.00	15.06	-7.48	-0.15	-2.60	0.49	0.13	0.00	-15.98	3.49	12.26	
54.00	1.32	-3.59	-2.00	-0.04	0.99	0.07	-11.39	4.91	-13.71	-0.03	11.95	16.17	0.00	14.64	-7.16	-0.02	-2.91	-0.28	0.04	0.00	-16.03	3.36	12.19	
55.00	1.50	-3.48	-2.21	-0.03	0.99	0.06	-11.93	4.44	-13.55	-0.58	12.35	16.34	0.00	14.03	-6.83	-0.02	-3.11	-1.31	-0.10	0.00	-16.11	3.12	12.07	
56.00	1.69	-3.34	-2.46	-0.03	0.99	0.06	-12.43	3.92	-13.31	-1.28	12.73	16.38	0.00	13.37	-6.52	-0.23	-3.30	-2.42	-0.33	0.00	-16.15	2.82	11.94	
57.00	1.86	-3.10	-2.74	-0.03	0.99	0.06	-12.78	3.27	-12.89	-2.19	13.08	16.22	0.00	12.75	-6.17	-0.60	-3.57	-3.24	-0.63	0.00	-16.15	2.41	11.81	
58.00	2.05	-2.72	-2.90	-0.03	0.99	0.05	-13.06	2.48	-12.74	-3.28	13.38	16.14	0.00	12.15	-5.64	-0.92	-3.97	-3.52	-0.71	0.00	-16.13	1.83	11.48	
59.00	2.24	-2.20	-3.08	-0.02	0.99	0.05	-13.17	1.50	-12.44	-4.62	13.53	15.88	0.00	11.57	-4.91	-1.17	-4.49	-3.26	-0.74	0.00	-16.14	1.13	11.11	
60.00	2.43	-1.64	-3.18	-0.02	0.99	0.05	-13.17	0.46	-12.16	-6.15	13.49	15.52	0.00	11.00	-4.07	-1.33	-5.04	-2.75	-0.80	0.00	-16.15	0.41	10.63	
61.00	2.69	-1.12	-3.08	-0.02	0.99	0.04	-13.22	-0.48	-12.25	-7.78	13.20	15.32	0.00	10.31	-3.25	-1.43	-5.51	-2.14	-0.72	0.00	-16.22	-0.24	9.98	
62.00	2.89	-0.77	-3.00	-0.02	0.99	0.04	-13.05	-1.28	-12.14	-9.64	12.66	14.96	0.00	9.65	-2.59	-1.62	-5.87	-1.52	-0.56	0.00	-16.27	-0.70	9.40	
63.00	2.93	-0.56	-2.98	-0.02	0.99	0.03	-12.52	-1.95	-11.68	-11.80	11.88	14.35	0.00	9.08	-2.10	-1.91	-6.11	-0.94	-0.38	0.00	-16.18	-0.95	8.94	
64.00	2.94	-0.46	-2.98	-0.01	0.99	0.03	-11.76	-2.53	-11.18	-14.24	10.92	13.71	0.00	8.50	-1.73	-2.22	-6.21	-0.41	-0.18	0.00	-16.08	-1.09	8.53	
65.00	2.91	-0.42	-3.00	-0.01	0.99	0.03	-10.78	-3.06	-10.65	-16.98	9.82	13.05	0.00	7.89	-1.43	-2.58	-6.18	0.08	0.04	0.00	-15.96	-1.17	8.17	
66.00	2.89	-0.39	-3.09	-0.01	1.00	0.02	-9.54	-3.60	-10.12	-20.09	8.63	12.40	0.00	7.23	-1.16	-2.96	-6.04	0.56	0.26	0.00	-15.88	-1.27	7.89	
67.00	2.87	-0.31	-3.21	-0.01	1.00	0.02	-8.09	-4.21	-9.67	-23.54	7.37	11.82	0.00	6.53	-0.86	-3.35	-5.84	1.04	0.49	0.00	-15.82	-1.43	7.61	
68.00	2.87	-0.18	-3.34	-0.01	1.00	0.02	-6.42	-4.90	-9.30	-27.34	6.07	11.25	0.00	5.83	-0.51	-3.66	-5.62	1.51	0.69	0.00	-15.80	-1.67	7.28	
69.00	2.91	0.04	-3.46	-0.01	1.00	0.01	-4.59	-5.70	-8.98	-31.41	4.76	10.68	0.00	5.11	-0.07	-3.88	-5.38	1.98	0.84	0.00	-15.83	-2.02	6.91	
70.00	2.98	0.34	-3.56	-0.01	1.00	0.01	-2.62	-6.57	-8.71	-35.71	3.44	10.02	0.00	4.38	0.45	-4.00	-5.14	2.45	0.95	0.00	-15.92	-2.47	6.44	
71.00	3.08	0.70	-3.64	-0.01	1.00	0.01	-0.56	-7.48	-8.37	-40.11	2.14	9.29	0.00	3.64	1.03	-4.09	-4.90	2.92	1.05	0.00	-16.07	-2.99	5.90	
72.00	3.22	1.09	-3.66	-0.01	1.00	0.01	1.52	-8.35	-7.98	-44.44	0.86	8.35	0.00	2.88	1.62	-4.15	-4.67	3.38	1.20	0.00	-16.29	-3.53	5.25	
73.00	3.42	1.50	-3.70	-0.01	1.00	0.00	3.52	-9.16	-7.52	-48.54	-0.28	7.34	0.00	2.05	2.23	-4.20	-4.39	3.82	1.34	0.00	-16.55	-4.09	4.58	
74.00	3.65	1.86	-3.67	-0.01	1.00	0.00	5.39	-9.83	-7.06	-52.25	-1.03	6.42	0.00	1.20	2.78	-4.21	-4.14	4.26	1.52	0.00	-16.86	-4.57	3.82	
75.00	3.92	2.14	-3.61	-0.01	1.00	0.00	7.10	-10.32	-6.61	-55.48	-1.17	5.68	0.00	0.30	3.24	-4.15	-3.85	4.64	1.66	0.00	-17.22	-4.95	3.05	
76.00	4.19	2.33	-3.53	-0.01	1.00	-0.00	8.66	-10.67	-6.25	-58.12	-0.67	5.22	0.00	-0.61	3.61	-4.02	-3.56	4.97	1.70	0.00	-17.57	-5.19	2.29	
77.00	4.44	2.43	-3.43	-0.01	1.00	-0.00	10.10	-10.83	-5.96	-60.17	0.21	4.94	0.00	-1.50	3.88	-3.83	-3.29	5.26	1.67	0.00	-17.90	-5.30	1.58	
78.00	4.67	2.41	-3.30	-0.01	1.00	-0.00	11.42	-10.78	-5.77	-61.58	1.14	4.72	0.00	-2.32	4.00	-3.60	-3.08	5.52	1.59	0.00	-18.19	-5.26	0.89	
79.00	4.84	2.31	-3.12	-0.01	1.00	-0.01	12.64	-10.61	-5.72	-62.35	1.90	4.53	0.00	-3.06	4.02	-3.31	-2.91	5.76	1.47	0.00	-18.44	-5.11	0.24	
80.00	4.96	2.16	-2.95	-0.02	1.00	-0.01	13.77	-10.35	-5.76	-62.50	2.47	4.37	0.00	-3.73	3.97	-3.00	-2.77	5.98	1.32	0.00	-18.63	-4.89	-0.34	
81.00	5.04	1.98	-2.75	-0.02	1.00	-0.01	14.81	-10.05	-5.91	-62.08	2.94	4.22	0.00	-4.29	3.87	-2.74	-2.73	6.23	1.24	0.00	-18.79	-4.64	-0.88	
82.00	5.10	1.81	-2.55	-0.02	1.00	-0.01	15.73	-9.77	-6.17	-61.11	3.39	4.14	0.00	-4.86	3.78	-2.42	-2.62	6.42	1.09	0.00	-18.94	-4.39	-1.37	
83.00	5.12	1.65	-2.39	-0.02	1.00	-0.01	16.54	-9.48	-6.49	-59.58	3.79	4.13	0.00	-5.37	3.66	-2.21	-2.53	6.63	1.00	0.00	-19.06	-4.14	-1.77	
84.00	5.11	1.50	-2.20	-0.02	1.00	-0.01	17.22	-9.25	-6.97	-57.51	4.12	4.13	0.00	-5.84	3.55	-1.97	-2.45	6.85	0.93	0.00	-19.18	-3.92	-2.16	
85.00	5.06	1.39	-2.02	-0.02	1.00	-0.01	17.80	-9.07	-7.53	-54.94	4.36	4.24	0.00	-6.27	3.48	-1.71	-2.33	7.06	0.83	0.00	-19.27	-3.73	-2.51	
86.00	4.98	1.32	-1.89	-0.02	1.00	-0.01	18.23	-8.91	-8.15	-51.85	4.45	4.38	0.00	-6.70	3.43	-1.50	-2.15	7.27	0.74	0.00	-19.33	-3.60	-2.79	
87.00	4.86	1.30	-1.76	-0.03	1.00	-0.01	18.52	-8.81	-8.86	-48.28	4.37	4.61	0.00	-7.10	3.43	-1.28	-1.95	7.47	0.63	0.00	-19.36	-3.53	-3.04	
88.00	4.69	1.34	-1.65	-0.03	1.00	-0.01	18.68	-8.72	-9.61	-44.27	4.07	4.92	0.00	-7.46	3.46	-1.06	-1.74	7.67	0.51	0.00	-19.33	-3.53	-3.25	
89.00	4.50	1.44	-1.54	-0.03	1.00	-0.01	18.69	-8.66	-10.43	-39.87	3.67	5.46	0.00	-7.79	3.56	-0.82	-1.53	7.87	0.39	0.00	-19.27	-3.61	-3.45	
90.00	4.27	1.61	-1.43	-0.03	1.00	-0.01	18.57	-8.62	-11.30	-35.15	3.15	6.30	0.00	-8.08	3.72	-0.54	-1.33	8.07	0.23	0.00	-19.18	-3.77	-3.63	
91.00	4.01	1.85	-1.34	-0.03	1.00	-0.01	18.35	-8.58	-12.17	-30.21	2.50	7.51	0.00	-8.32	3.93	-0.30	-1.17	8.28	0.11	0.00	-19.04	-4.01	-3.77	
92.00	3.74	2.15	-1.24	-0.03	1.00	-0.01	18.02	-8.55	-13.07	-25.15	1.79	9.16	0.00	-8.55	4.20	-0.01	-1.03	8.47	-0.04	0.00	-18.88	-4.31	-3.89	
93.00	3.46	2.50	-1.13	-0.03	1.00	-0.01	17.59	-8.52	-14.05	-20.09	1.15	11.17	0.00	-8.76	4.51	0.28	-0.96	8.71	-0.14	0.00	-18.70	-4.67	-3.99	
94.00	3.20	2.89	-1.00	-0.03	0.99	-0.01	17.10	-8.48	-15.11	-15.20	0.66	13.43	0.00	-8.97	4.84	0.60	-0.93	8.97	-0.25	0.00	-18.52	-5.06	-4.09	
95.00	2.97	3.29	-0.85	-0.04	0.99	-0.01	16.57	-8.40	-16.28	-10.64	0.34	15.71	0.00	-9.23	5.15	0.93	-0.92	9.23	-0.35	0.00	-18.36	-5.45	-4.15	
96.00	2.77	3.66	-0.67	-0.04	0.99	-0.01	16.03	-8.26	-17.54	-6.58	0.17	17.78	0.00	-9.49	5.42	1.23	-0.98	9.53	-0.37	0.00	-18.23	-5.80	-4.20	
97.00	2.62	3.97	-0.47	-0.04	0.99	-0.01	15.52	-8.05	-18.87	-3.23	0.16	19.53	0.00	-9.80	5.60	1.53	-1.08	9.83	-0.35	0.00	-18.13	-6.08	-4.20	
98.00	2.52	4.21	-0.26	-0.04	0.99	-0.00	15.12	-7.83	-20.18	-0.93	0.42	20.83	0.00	-10.16	5.70	1.79	-1.26	10.14	-0.28	0.00	-18.09	-6.27	-4.16	
99.00	2.49	4.41	-0.03	-0.04	0.99	-0.00	14.87	-7.66	-21.29	0.17	0.76	21.58	0.00	-10.55	5.73	2.00	-1.51	10.48	-0.16	0.00	-18.08	-6.38	-4.10	
100.00	2.53	4.53	0.16	-0.03	0.99	-0.00	14.73	-7.57	-21.77	0.11	0.89	21.24	0.00	-11.02	5.67	2.20	-1.76	10.78	-0.06	0.00	-18.13	-6.40	-3.97	
