gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	217.11	8.69	44.02	0.02	
2.00	220.87	8.84	44.72	0.02	
3.00	220.68	8.83	44.71	0.01	
4.00	216.48	8.66	43.87	0.01	
5.00	214.35	8.58	43.49	0.02	
6.00	213.69	8.54	43.34	0.02	
7.00	212.57	8.50	43.12	0.02	
8.00	213.09	8.53	43.25	0.02	
9.00	218.47	8.73	44.32	0.02	
10.00	229.37	9.18	46.52	0.02	
11.00	245.89	9.82	49.81	0.02	
12.00	263.20	10.49	53.31	0.01	
13.00	288.70	11.54	58.49	0.01	
14.00	330.85	13.23	67.06	0.01	
15.00	378.74	15.11	76.75	0.01	
16.00	430.46	17.17	87.21	0.01	
17.00	492.31	19.64	99.66	0.01	
18.00	553.75	22.06	112.10	0.00	
19.00	604.76	24.08	122.44	0.00	
20.00	656.97	26.15	132.79	0.00	
21.00	720.43	28.69	145.83	0.00	
22.00	793.48	31.60	160.65	0.00	
23.00	867.67	34.55	175.62	0.00	
24.00	941.61	37.49	190.60	0.00	
25.00	1024.46	40.80	207.34	0.00	
26.00	1120.46	44.61	226.73	0.00	
27.00	1208.09	48.10	244.45	0.00	
28.00	1276.80	50.84	258.36	0.00	
29.00	1329.47	52.96	269.19	0.00	
30.00	1367.47	54.47	276.87	0.00	
31.00	1388.51	55.31	281.19	0.00	
32.00	1391.31	55.39	281.50	0.00	
33.00	1369.83	54.55	277.32	0.00	
34.00	1344.11	53.54	272.15	0.00	
35.00	1330.61	52.98	269.25	0.00	
36.00	1325.64	52.79	268.20	0.11	
37.00	1330.69	52.99	269.30	1.24	
38.00	1321.16	52.60	267.31	2.08	
39.00	1259.37	50.14	254.82	2.59	
40.00	1173.16	46.72	237.42	2.81	
41.00	1079.50	43.00	218.35	2.80	
42.00	920.47	36.65	186.26	3.24	
43.00	691.53	27.52	139.69	4.03	
44.00	450.58	17.97	91.16	4.65	
45.00	284.50	11.36	57.62	5.81	
46.00	188.81	7.54	38.08	8.13	
47.00	115.30	4.59	23.26	12.40	
48.00	52.95	2.14	10.66	14.85	
49.00	18.85	0.76	3.85	16.61	
50.00	6.38	0.26	1.31	18.77	
51.00	2.13	0.09	0.40	18.38	
52.00	11.27	0.48	2.33	14.38	
53.00	63.14	2.52	12.79	20.68	
54.00	146.23	5.82	29.59	19.81	
55.00	314.65	12.52	63.67	16.57	
56.00	525.04	20.91	106.27	12.71	
57.00	665.40	26.49	134.65	18.55	
58.00	742.14	29.58	150.10	9.47	
59.00	857.57	34.15	173.53	9.09	
60.00	1034.42	41.19	209.31	2.01	
61.00	1222.24	48.66	247.27	3.58	
62.00	1258.59	50.10	254.68	6.47	
63.00	1188.42	47.31	240.38	0.73	
64.00	1141.62	45.46	231.07	0.00	
65.00	1159.33	46.16	234.60	0.00	
66.00	1150.10	45.77	232.61	0.00	
67.00	1076.30	42.85	217.77	0.00	
68.00	1010.51	40.23	204.47	0.00	
69.00	937.86	37.34	189.79	0.00	
70.00	853.32	33.98	172.65	0.00	
71.00	782.02	31.15	158.31	0.00	
72.00	725.81	28.91	146.93	0.00	
73.00	682.11	27.16	138.06	0.01	
74.00	639.80	25.46	129.51	0.00	
75.00	603.30	24.04	122.12	0.10	
76.00	579.00	23.07	117.23	2.32	
77.00	559.54	22.29	113.31	5.48	
78.00	542.27	21.60	109.82	8.33	
79.00	532.54	21.22	107.86	10.71	
80.00	524.97	20.91	106.29	12.54	
81.00	516.94	20.59	104.65	13.94	
82.00	514.17	20.48	104.10	14.99	
83.00	509.24	20.28	103.11	15.44	
84.00	502.28	20.01	101.71	15.67	
85.00	491.66	19.59	99.57	15.99	
86.00	477.95	19.04	96.78	16.18	
87.00	469.67	18.71	95.13	16.04	
88.00	460.36	18.34	93.25	15.55	
89.00	451.70	18.00	91.51	14.96	
90.00	445.33	17.74	90.20	14.40	
91.00	442.45	17.63	89.61	13.51	
92.00	442.86	17.65	89.72	11.95	
93.00	437.02	17.41	88.50	9.85	
94.00	428.80	17.09	86.88	7.97	
95.00	424.60	16.93	86.07	6.20	
96.00	422.61	16.84	85.63	4.15	
97.00	415.11	16.55	84.15	1.59	
98.00	403.48	16.09	81.67	0.06	
99.00	392.23	15.62	79.43	0.01	
100.00	382.75	15.25	77.51	0.01	
