gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-3.03	1.52	-1.05	-0.38	0.97	-0.05	1.64	-6.71	-15.46	-10.95	17.14	13.77	0.00	7.51	-0.17	-3.50	-17.42	17.87	4.08	0.00	-13.57	-4.91	6.38	
2.00	-3.16	1.67	-0.50	-0.38	0.97	-0.05	3.43	-7.33	-14.95	-15.19	19.18	13.25	0.00	8.20	-0.09	-3.73	-19.09	19.60	5.20	0.00	-13.80	-5.21	5.79	
3.00	-3.22	1.88	-0.08	-0.37	0.96	-0.05	5.76	-8.16	-14.25	-20.57	21.07	12.84	0.00	8.97	-0.05	-4.24	-21.17	21.69	6.56	0.00	-14.18	-5.66	5.15	
4.00	-3.27	2.07	0.34	-0.37	0.95	-0.05	8.68	-9.04	-13.37	-27.05	22.45	12.29	0.00	10.07	-0.21	-4.93	-23.90	24.03	8.27	0.00	-14.75	-6.11	4.35	
5.00	-3.19	2.26	0.71	-0.36	0.95	-0.05	11.95	-9.98	-12.44	-34.33	23.16	11.68	0.00	11.15	-0.50	-5.77	-26.94	26.43	10.21	0.00	-15.61	-6.58	3.44	
6.00	-3.10	2.41	1.03	-0.36	0.94	-0.05	15.52	-10.91	-11.66	-41.92	23.17	11.13	0.00	12.26	-0.95	-6.66	-30.11	28.73	12.15	0.00	-16.62	-6.96	2.45	
7.00	-3.01	2.42	1.28	-0.35	0.93	-0.05	19.09	-11.70	-11.13	-49.12	22.46	10.62	0.00	13.19	-1.57	-7.50	-32.98	30.70	14.02	0.00	-17.65	-7.04	1.47	
8.00	-3.08	2.18	1.56	-0.35	0.93	-0.05	22.52	-12.19	-10.89	-55.20	21.43	10.07	0.00	13.91	-2.39	-8.02	-35.20	32.20	15.48	0.00	-18.43	-6.62	0.59	
9.00	-3.33	1.79	1.85	-0.34	0.92	-0.05	25.55	-12.41	-10.94	-59.55	20.35	9.39	0.00	14.09	-3.19	-8.17	-35.98	32.74	16.42	0.00	-18.89	-5.80	-0.12	
10.00	-3.80	1.38	2.02	-0.33	0.93	-0.04	28.01	-12.37	-11.14	-61.68	19.47	8.58	0.00	13.40	-3.80	-7.96	-34.74	31.98	16.49	0.00	-18.94	-4.73	-0.58	
11.00	-4.50	1.01	2.03	-0.32	0.93	-0.04	29.83	-12.08	-11.45	-61.49	18.55	7.77	0.00	11.80	-4.20	-7.56	-31.36	29.56	15.74	0.00	-18.52	-3.52	-0.78	
12.00	-5.36	0.56	2.09	-0.30	0.94	-0.03	30.92	-11.48	-12.04	-59.00	17.77	7.24	0.00	9.71	-4.53	-6.98	-26.78	25.77	14.28	0.00	-17.81	-2.04	-0.80	
13.00	-6.34	0.27	2.25	-0.29	0.95	-0.03	31.40	-10.83	-12.80	-54.57	16.93	7.15	0.00	7.64	-4.69	-6.64	-22.35	21.18	12.15	0.00	-16.91	-0.62	-0.78	
14.00	-7.35	0.17	2.48	-0.27	0.96	-0.02	31.43	-10.19	-13.59	-48.76	15.49	7.41	0.00	5.87	-4.86	-6.37	-18.89	16.05	9.95	0.00	-15.99	0.63	-0.63	
15.00	-8.28	0.34	2.87	-0.25	0.97	-0.02	31.18	-9.81	-14.49	-42.47	13.88	8.10	0.00	4.96	-4.85	-6.03	-18.03	11.64	7.56	0.00	-15.23	1.61	-0.49	
16.00	-8.94	0.73	3.24	-0.24	0.98	-0.01	30.75	-9.55	-15.29	-36.43	12.21	9.01	0.00	5.13	-4.90	-6.36	-21.36	9.33	5.79	0.00	-14.85	2.33	-0.25	
17.00	-9.34	1.20	3.44	-0.22	0.98	-0.00	30.54	-9.28	-15.65	-32.00	11.77	9.79	0.00	5.91	-5.28	-6.90	-27.94	8.64	5.30	0.00	-14.91	2.86	0.31	
18.00	-9.48	1.90	3.55	-0.20	0.97	0.01	30.99	-9.43	-15.85	-29.55	11.20	10.79	0.00	6.93	-5.56	-6.73	-36.43	8.79	5.96	0.00	-15.39	3.12	0.97	
19.00	-9.43	2.56	3.65	-0.19	0.96	0.01	31.39	-9.51	-16.09	-28.10	10.68	11.15	0.00	8.15	-6.07	-6.43	-46.62	9.83	6.70	0.00	-16.08	3.26	1.50	
20.00	-9.28	2.68	3.39	-0.18	0.95	0.02	32.66	-8.90	-15.54	-29.59	11.57	10.01	0.00	9.61	-7.58	-6.51	-58.14	11.43	7.28	0.00	-17.01	3.77	2.39	
21.00	-9.10	2.61	2.95	-0.16	0.93	0.03	35.43	-8.49	-14.67	-34.41	13.66	9.85	0.00	11.32	-9.23	-6.31	-70.25	13.25	7.50	0.00	-18.30	4.44	3.50	
22.00	-9.00	2.17	3.06	-0.15	0.91	0.04	37.75	-8.28	-14.74	-39.44	16.70	9.91	0.00	13.13	-11.01	-4.84	-81.85	15.03	8.31	0.00	-19.52	5.67	3.97	
23.00	-9.14	1.58	3.19	-0.14	0.89	0.05	40.03	-8.08	-15.03	-44.65	20.02	10.03	0.00	14.72	-12.73	-2.91	-91.99	16.37	9.56	0.00	-20.50	7.14	4.35	
24.00	-9.39	1.20	2.98	-0.13	0.87	0.06	42.78	-8.12	-14.92	-50.72	23.34	10.21	0.00	16.06	-13.70	-1.19	-100.47	17.21	10.90	0.00	-21.60	8.36	4.99	
25.00	-9.61	0.71	2.80	-0.12	0.85	0.06	45.15	-7.89	-14.94	-56.20	26.69	10.56	0.00	17.19	-14.56	0.56	-107.13	17.66	12.08	0.00	-22.73	9.67	5.46	
26.00	-10.00	0.46	2.45	-0.11	0.84	0.07	47.03	-7.52	-14.79	-60.24	29.37	10.77	0.00	18.21	-14.93	1.90	-112.27	17.89	13.05	0.00	-23.71	10.61	5.91	
