gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	129.29	5.12	26.19	15.21	
0.00	134.83	5.43	27.35	0.25	
0.00	140.47	5.63	28.53	0.03	
0.00	174.83	6.91	35.47	0.72	
0.00	202.55	8.05	41.05	5.55	
0.00	199.49	7.94	40.40	7.42	
0.00	167.78	6.69	33.97	8.63	
0.00	133.08	5.32	27.05	9.13	
0.00	80.12	3.20	16.23	8.69	
0.00	20.98	0.85	4.29	8.34	
0.00	1.11	0.09	0.14	6.70	
0.00	0.00	0.00	0.00	2.45	
0.00	0.00	0.00	0.00	2.40	
0.00	0.00	0.00	0.00	14.16	
0.00	10.81	0.46	2.22	3.58	
0.00	78.22	3.17	15.88	12.00	
0.00	118.10	4.71	23.95	22.92	
0.00	234.79	9.35	47.56	18.65	
0.00	350.38	13.96	70.92	42.75	
0.00	493.32	19.64	99.82	33.20	
0.00	623.64	24.81	126.16	24.05	
0.00	648.20	25.79	131.11	1.10	
0.00	578.84	23.05	117.16	0.00	
0.00	487.40	19.40	98.63	0.00	
0.00	372.91	14.84	75.42	0.00	
0.00	319.41	12.72	64.67	0.00	
0.00	321.21	12.80	65.06	0.00	
0.00	328.83	13.08	66.48	0.00	
0.00	310.07	12.35	62.71	0.00	
0.00	302.16	12.01	61.03	0.00	
0.00	327.75	13.06	66.38	0.00	
0.00	358.74	14.28	72.58	0.00	
0.00	381.35	15.18	77.17	0.00	
0.00	392.78	15.63	79.46	0.00	
0.00	396.14	15.77	80.16	0.00	
0.00	386.28	15.39	78.22	0.00	
0.00	379.44	15.12	76.84	0.00	
0.00	373.09	14.86	75.50	0.00	
0.00	376.87	15.00	76.20	0.00	
0.00	396.50	15.76	80.06	0.00	
0.00	413.21	16.43	83.47	0.00	
0.00	421.29	16.79	85.38	0.00	
0.00	433.10	17.25	87.66	0.00	
0.00	441.58	17.59	89.42	0.00	
0.00	446.32	17.77	90.37	0.00	
0.00	449.34	17.89	90.93	0.00	
0.00	457.90	18.23	92.63	0.00	
0.00	470.48	18.73	95.18	0.00	
0.00	478.52	19.05	96.82	0.00	
0.00	493.16	19.63	99.79	0.00	
0.00	496.94	19.78	100.57	0.00	
0.00	490.99	19.55	99.36	0.00	
0.00	490.62	19.53	99.28	0.00	
0.00	492.31	19.60	99.61	0.00	
0.00	502.01	19.99	101.56	0.00	
0.00	524.17	20.87	106.06	0.00	
0.00	546.76	21.77	110.62	0.00	
0.00	559.08	22.25	113.05	0.00	
0.00	550.70	21.92	111.42	0.00	
0.00	530.76	21.12	107.35	0.00	
0.00	492.87	19.61	99.72	0.01	
0.00	426.53	16.98	86.36	10.22	
0.00	348.58	13.87	70.54	42.29	
0.00	283.62	11.29	57.41	56.35	
0.00	234.03	9.31	47.36	63.43	
0.00	192.55	7.65	39.11	70.73	
0.00	155.32	6.19	31.46	76.70	
0.00	123.72	4.93	25.06	81.72	
0.00	104.52	4.17	21.20	82.49	
0.00	103.41	4.12	20.96	86.46	
0.00	107.49	4.29	21.81	87.72	
0.00	105.95	4.23	21.48	82.74	
0.00	91.90	3.67	18.62	87.06	
0.00	59.42	2.40	12.08	76.95	
0.00	23.08	0.95	4.72	69.70	
0.00	0.23	0.01	0.04	55.81	
0.00	0.00	0.00	0.00	45.93	
0.00	0.17	0.04	0.10	4.23	
0.00	11.70	0.49	2.38	10.07	
0.00	8.80	0.34	1.72	7.49	
0.00	1.24	0.13	0.28	7.42	
0.00	0.00	0.00	0.00	4.89	
0.00	0.00	0.00	0.00	3.81	
0.00	1.35	0.10	0.21	8.00	
0.00	7.66	0.32	1.55	9.73	
0.00	21.88	0.87	4.46	9.59	
0.00	53.14	2.15	10.84	9.23	
0.00	87.47	3.50	17.71	8.82	
0.00	101.11	4.02	20.47	9.16	
0.00	109.43	4.37	22.19	9.43	
0.00	122.17	4.85	24.78	9.15	
0.00	133.62	5.32	27.15	11.57	
0.00	149.28	5.94	30.42	11.31	
0.00	149.19	5.95	30.31	0.08	
0.00	147.16	5.84	29.89	7.52	
0.00	151.18	6.02	30.60	25.37	
0.00	154.70	6.14	31.32	27.81	
0.00	156.85	6.21	31.77	29.30	
0.00	160.47	6.35	32.50	27.37	
0.00	164.65	6.52	33.46	26.94	
