gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	34.58	13.32	8.34	90.46	124.16	52.69	6.46	5.31	1.72	5.80	3.39	0.89	25.64	14.58	6.57	2.63	2.97	4.89	5.57	1.55	1.52	0.01	0.01	
0.00	15.44	4.16	4.54	25.73	80.48	26.00	3.84	3.88	1.50	4.16	2.45	0.87	13.99	4.00	2.46	2.31	2.53	4.83	5.58	1.45	1.42	0.01	0.01	
0.00	18.76	4.14	4.28	57.78	102.08	17.54	4.14	3.06	1.12	3.54	1.44	0.28	10.56	2.80	1.90	2.94	2.79	4.70	5.59	1.19	1.30	0.00	0.01	
0.00	21.83	3.92	6.35	72.73	77.86	23.34	5.32	2.66	1.19	2.10	2.01	0.73	15.05	3.99	4.04	3.14	2.37	4.60	5.60	0.97	1.30	0.01	0.01	
0.00	16.48	7.02	5.30	61.07	90.09	11.53	6.84	2.52	1.35	3.29	1.60	0.60	8.04	6.03	3.83	3.06	2.59	4.87	5.74	0.91	1.06	0.00	0.00	
0.00	12.61	7.94	6.18	54.48	81.84	26.57	4.90	2.57	1.33	4.47	1.64	1.02	12.43	6.73	2.64	3.22	3.14	4.88	5.55	0.87	0.82	0.00	0.01	
0.00	48.00	29.83	6.45	97.79	68.09	59.89	6.28	4.09	1.21	5.22	1.86	1.12	33.23	27.93	7.60	3.76	2.66	4.86	5.49	0.86	1.03	0.00	0.00	
0.00	18.56	17.32	9.14	80.44	88.41	37.14	5.24	1.91	1.03	3.49	1.49	1.21	11.44	13.20	5.75	3.30	2.32	4.89	5.23	0.85	1.19	0.00	0.00	
0.00	18.01	13.84	6.24	72.44	69.63	28.35	2.96	2.11	1.06	3.14	2.35	1.25	17.03	10.62	3.65	3.49	3.20	5.11	5.27	0.88	1.28	0.00	0.00	
0.00	28.55	10.99	10.40	28.10	119.22	68.13	3.06	3.51	1.37	7.92	2.28	1.58	29.25	9.47	5.59	3.61	3.12	5.32	5.25	0.97	1.11	0.00	0.01	
0.00	24.36	13.71	14.56	51.82	103.42	44.91	3.84	1.97	1.33	5.00	2.29	1.34	18.07	8.62	14.28	4.04	3.19	5.71	5.43	1.10	1.13	0.00	0.01	
0.00	22.64	15.64	7.77	45.07	80.86	35.96	3.16	1.74	1.41	4.24	1.81	0.86	22.49	13.78	6.23	3.80	3.41	6.00	5.51	1.14	1.19	0.00	0.00	
0.00	23.90	23.03	17.47	61.75	115.21	69.68	3.12	4.43	1.48	4.08	2.02	0.53	25.60	21.79	13.52	4.38	4.29	6.01	5.40	1.00	1.06	0.01	0.00	
0.00	33.25	21.78	19.37	64.92	120.75	40.50	2.52	3.37	1.16	5.77	2.32	1.14	20.64	17.96	16.90	4.11	4.59	5.72	4.99	0.71	0.95	0.00	0.00	
0.00	58.80	27.09	18.76	110.06	94.00	78.80	6.12	3.40	1.19	6.81	3.16	1.51	48.05	20.69	12.40	4.82	4.90	5.48	4.82	0.69	1.01	0.00	0.01	
0.00	18.35	18.53	10.59	55.74	133.36	17.62	4.36	4.49	1.30	3.10	2.18	1.64	20.94	12.32	9.05	4.24	3.97	5.20	4.77	0.92	1.17	0.00	0.01	
0.00	33.65	12.84	6.92	56.06	82.76	22.43	6.61	2.65	1.39	6.83	3.80	1.46	27.76	9.88	7.33	4.83	6.06	4.98	4.73	1.01	1.31	0.00	0.01	
0.00	32.91	9.94	6.68	49.72	109.88	33.69	5.88	2.82	1.96	5.00	2.38	1.32	28.91	7.79	5.36	5.09	4.93	4.56	4.30	1.07	1.18	0.00	0.00	
0.00	29.63	8.00	7.92	68.10	62.15	45.89	9.64	1.80	2.57	5.56	4.27	1.12	24.01	4.53	3.98	5.64	4.85	4.16	3.84	1.10	1.01	0.01	0.00	
0.00	40.36	13.42	14.23	37.56	130.43	44.53	6.25	2.98	2.20	4.66	3.48	1.26	38.85	14.11	13.23	5.82	5.29	3.76	3.69	1.11	1.07	0.01	0.00	
0.00	23.91	8.78	5.80	97.78	95.31	27.62	7.86	3.89	1.96	8.53	2.36	0.86	27.26	8.64	5.21	5.24	6.64	3.52	3.77	1.16	0.96	0.00	0.00	
0.00	21.48	10.68	15.58	117.67	107.39	61.05	8.13	5.06	2.04	7.94	5.20	1.40	26.75	7.59	8.16	5.62	8.17	3.45	4.06	1.28	0.82	0.00	0.01	
0.00	19.46	13.56	19.12	76.09	151.36	134.49	6.56	5.68	1.40	6.25	6.00	1.48	23.32	9.39	10.37	6.61	7.85	3.46	4.53	1.26	0.93	0.00	0.01	
0.00	28.66	16.01	12.09	48.78	119.23	168.34	8.14	6.23	1.99	5.97	5.70	1.52	32.43	14.71	8.50	6.70	7.50	3.64	5.02	1.05	1.06	0.00	0.01	
0.00	25.50	31.34	18.26	123.29	113.61	202.31	5.16	5.60	1.39	8.53	5.53	2.11	29.75	28.35	2.66	6.63	8.42	3.78	5.41	0.87	0.90	0.00	0.01	
0.00	76.92	17.40	56.90	464.93	294.15	55.88	8.09	6.96	2.76	6.56	5.62	1.75	93.63	44.79	10.63	6.56	7.88	4.06	5.66	0.94	0.81	0.00	0.01	
0.00	84.76	38.68	46.02	463.68	317.66	62.46	9.00	5.69	1.88	8.05	7.87	2.13	88.89	5.80	4.03	5.23	5.33	4.08	5.81	0.91	1.02	0.01	0.01	
0.00	32.65	11.37	23.69	72.80	162.40	171.23	5.94	5.03	2.06	7.54	1.19	1.72	29.49	13.95	6.57	4.60	5.66	4.04	5.93	0.90	1.05	0.00	0.00	
0.00	22.15	55.15	28.18	641.36	103.18	617.77	5.08	16.08	2.23	11.51	15.62	1.68	54.86	37.91	6.05	4.03	5.26	3.97	6.05	1.00	1.00	0.00	0.01	
0.00	47.19	60.10	32.90	650.19	177.42	578.64	11.47	15.44	1.94	14.06	18.33	2.12	49.44	51.86	6.54	4.58	5.24	4.05	5.93	1.23	1.07	0.00	0.01	
0.00	20.31	45.46	18.12	170.73	154.52	142.89	10.58	8.60	1.55	15.71	5.31	1.88	20.23	39.18	12.68	5.08	6.14	4.20	5.74	1.69	0.92	0.00	0.00	
0.00	89.96	147.07	67.02	574.81	298.52	463.68	10.91	13.19	3.12	17.85	9.93	3.80	101.31	142.74	10.75	6.22	12.65	4.12	5.50	1.93	0.82	0.00	0.01	
0.00	169.23	189.71	105.88	858.88	721.83	616.29	10.48	17.85	2.21	27.34	22.88	5.70	179.18	171.90	7.72	7.57	13.08	4.03	5.39	1.94	1.09	0.01	0.01	
0.00	184.79	157.62	113.40	1241.98	690.34	1174.20	11.56	26.91	1.96	15.27	28.10	4.69	256.18	160.79	4.84	8.08	12.67	4.13	4.57	1.92	1.12	0.00	0.02	
0.00	129.01	224.35	49.80	725.44	521.36	382.70	6.89	10.70	2.96	34.23	18.89	4.24	190.73	136.62	6.02	7.62	9.47	4.46	4.80	1.83	1.13	0.01	0.01	
0.00	155.49	48.25	80.74	794.16	368.10	993.32	15.82	13.47	2.66	4.29	16.20	4.40	210.17	58.99	19.82	6.09	8.12	4.97	4.44	1.55	1.32	0.00	0.01	
0.00	132.49	177.40	121.16	755.32	351.94	834.53	10.40	17.64	6.09	20.00	15.80	5.56	176.62	185.65	9.57	5.87	8.06	5.29	4.68	1.71	1.26	0.01	0.01	
0.00	115.71	85.03	40.65	682.92	281.93	774.29	7.90	15.92	3.68	8.43	18.54	2.07	164.43	63.82	7.75	4.52	6.38	5.64	4.66	1.61	1.26	0.00	0.01	
0.00	44.34	48.47	17.68	211.79	308.78	113.95	5.73	7.58	3.68	6.22	4.12	2.14	65.00	35.46	10.40	4.65	6.36	5.94	4.80	1.67	0.99	0.00	0.00	
0.00	110.42	34.29	15.52	214.50	321.88	144.08	9.03	4.43	3.69	6.32	4.94	2.04	153.42	18.02	10.36	4.76	5.67	6.37	5.09	1.69	0.97	0.00	0.00	
0.00	43.73	15.55	7.04	81.21	161.23	103.32	7.01	5.85	3.53	5.77	6.65	2.66	42.52	28.29	3.97	5.01	5.42	6.71	5.52	1.76	1.07	0.01	0.01	
0.00	9.81	23.18	5.30	105.24	135.36	57.45	9.02	6.16	2.91	5.63	5.04	2.45	17.16	18.74	9.62	5.29	5.43	7.01	6.09	1.72	0.99	0.01	0.00	
0.00	24.58	12.70	8.22	99.77	109.34	129.40	4.84	5.93	3.30	6.49	7.85	2.32	26.09	11.50	3.17	5.86	5.08	7.33	6.63	1.76	1.09	0.00	0.00	
0.00	17.01	21.37	6.85	58.47	70.66	50.81	8.97	5.78	3.34	3.73	4.87	3.35	15.65	22.19	7.64	5.41	5.47	7.56	7.17	1.86	1.12	0.00	0.00	
0.00	30.67	22.78	9.90	75.29	93.95	91.95	7.56	4.23	2.92	6.99	6.64	3.08	37.38	26.84	7.87	5.38	5.48	7.57	7.64	1.90	1.16	0.00	0.01	
0.00	28.27	32.09	16.86	81.74	162.62	109.43	9.89	4.89	2.84	17.40	25.87	9.78	20.86	23.75	6.45	4.78	6.78	7.42	7.95	1.78	1.19	0.01	0.01	
0.00	34.82	15.75	17.42	49.02	72.45	104.30	10.21	5.57	3.23	10.65	17.83	5.86	33.34	20.26	5.52	4.88	6.19	7.32	8.23	1.65	1.25	0.01	0.01	
0.00	20.77	15.38	5.42	29.38	112.48	33.45	11.54	2.67	3.28	6.37	4.83	3.87	30.63	16.64	5.94	3.97	4.72	7.61	8.54	1.59	1.34	0.00	0.00	
0.00	17.09	10.27	7.26	36.12	132.34	40.44	10.93	3.30	3.16	4.30	3.93	3.77	29.76	12.53	7.33	3.62	4.24	7.94	8.93	1.57	1.55	0.00	0.00	
0.00	23.58	15.17	22.55	44.23	97.80	52.74	10.65	3.78	3.46	16.49	24.81	6.59	23.42	12.72	6.03	3.09	3.83	8.07	9.19	1.74	1.72	0.00	0.01	
