gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	112.14	4.45	22.72	0.01	
0.00	111.33	4.41	22.56	0.01	
0.00	110.52	4.40	22.44	0.01	
0.00	114.81	4.56	23.23	0.01	
0.00	121.08	4.80	24.46	0.01	
0.00	123.41	4.90	24.98	0.01	
0.00	123.09	4.88	24.90	0.01	
0.00	124.95	4.94	25.25	0.01	
0.00	128.84	5.13	26.04	0.01	
0.00	131.56	5.25	26.66	0.01	
0.00	134.12	5.36	27.19	0.02	
0.00	133.88	5.30	27.23	0.10	
0.00	129.62	5.16	26.29	2.38	
0.00	122.84	4.90	24.97	6.94	
0.00	111.44	4.46	22.57	14.91	
0.00	99.32	3.98	20.12	22.70	
0.00	87.15	3.50	17.68	27.08	
0.00	74.87	3.03	15.20	28.71	
0.00	65.09	2.62	13.21	28.69	
0.00	57.98	2.35	11.84	27.55	
0.00	56.44	2.27	11.48	25.26	
0.00	62.20	2.51	12.61	19.70	
0.00	71.71	2.89	14.55	9.89	
0.00	78.59	3.11	15.96	1.43	
0.00	79.48	3.18	16.09	0.02	
0.00	80.42	3.16	16.23	0.01	
0.00	83.51	3.30	16.82	0.01	
0.00	85.09	3.37	17.15	0.01	
0.00	85.62	3.41	17.36	0.01	
0.00	89.20	3.52	18.05	0.01	
0.00	94.18	3.74	19.05	0.00	
0.00	101.23	4.02	20.47	0.00	
0.00	111.21	4.42	22.50	0.00	
0.00	124.69	4.96	25.23	0.00	
0.00	135.37	5.38	27.35	0.00	
0.00	140.66	5.59	28.41	0.00	
0.00	148.54	5.91	30.05	0.00	
0.00	162.83	6.48	32.94	0.00	
0.00	179.46	7.14	36.31	0.00	
0.00	195.57	7.79	39.57	0.00	
0.00	208.83	8.29	42.01	0.00	
0.00	217.34	8.63	43.76	0.00	
0.00	220.88	8.79	44.71	0.00	
0.00	222.27	8.81	44.68	0.00	
0.00	222.71	8.86	45.03	0.00	
0.00	224.80	8.95	45.46	0.00	
0.00	228.81	9.10	46.25	0.00	
0.00	231.29	9.20	46.70	0.00	
0.00	228.12	9.08	46.13	0.00	
0.00	222.14	8.81	44.61	0.00	
0.00	219.17	8.71	44.20	0.00	
0.00	219.03	8.72	44.29	0.00	
0.00	218.40	8.68	44.04	0.00	
0.00	219.32	8.72	44.25	0.00	
0.00	220.68	8.77	44.46	0.00	
0.00	218.28	8.69	44.20	0.00	
0.00	214.09	8.51	43.32	0.00	
0.00	213.23	8.50	43.17	0.00	
0.00	216.82	8.62	43.74	0.00	
0.00	219.59	8.74	44.44	0.00	
0.00	220.85	8.78	44.67	0.00	
0.00	222.78	8.87	45.07	0.00	
0.00	226.41	9.00	45.81	0.00	
0.00	228.30	9.09	46.22	0.00	
0.00	224.85	8.94	45.47	0.01	
0.00	216.62	8.61	43.81	0.01	
0.00	206.94	8.21	41.85	0.01	
0.00	197.50	7.90	40.01	0.01	
0.00	186.33	7.43	37.81	0.04	
0.00	172.86	6.86	35.16	0.86	
0.00	154.64	6.16	31.35	7.53	
0.00	134.01	5.34	27.16	14.69	
0.00	113.07	4.50	22.89	20.67	
0.00	91.99	3.66	18.59	24.99	
0.00	73.00	2.92	14.78	28.17	
0.00	58.84	2.38	12.01	31.13	
0.00	50.09	2.01	10.30	34.48	
0.00	44.61	1.80	9.17	37.76	
0.00	41.91	1.69	8.62	40.43	
0.00	37.95	1.55	7.77	41.81	
0.00	33.80	1.43	6.93	42.40	
0.00	34.48	1.45	7.07	44.54	
0.00	38.97	1.61	7.98	46.63	
0.00	45.43	1.86	9.28	48.35	
0.00	53.44	2.17	10.89	50.65	
0.00	61.20	2.47	12.45	53.31	
0.00	70.45	2.85	14.29	54.66	
0.00	83.56	3.35	16.93	54.70	
0.00	95.14	3.79	19.28	54.17	
0.00	102.23	4.07	20.77	51.09	
0.00	111.78	4.46	22.64	46.77	
0.00	126.10	5.03	25.59	45.64	
0.00	142.88	5.70	28.96	43.00	
0.00	163.24	6.49	33.02	37.06	
0.00	180.93	7.20	36.60	28.43	
0.00	187.20	7.45	37.91	19.94	
0.00	181.44	7.21	36.70	12.24	
0.00	174.63	6.94	35.36	5.94	
0.00	170.91	6.79	34.62	4.22	
0.00	167.61	6.67	33.94	2.24	
