gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	41.28	15.64	11.74	101.56	155.26	48.76	13.13	6.77	1.25	6.60	4.53	1.90	41.04	10.78	8.53	6.59	9.14	0.73	10.94	0.50	1.26	0.01	0.01	
0.00	22.20	12.59	7.34	35.35	78.65	29.19	5.54	3.57	0.71	4.29	2.59	1.83	21.41	6.95	10.72	2.37	9.08	0.59	10.83	0.60	1.09	0.02	0.01	
0.00	12.95	7.01	3.95	40.12	83.91	10.27	3.15	3.47	0.60	2.91	2.88	1.85	16.12	5.85	4.16	2.03	9.09	0.75	10.71	0.51	1.00	0.01	0.00	
0.00	31.13	10.92	9.63	80.90	116.37	33.29	3.95	2.42	0.88	5.25	3.02	1.76	32.71	11.63	6.11	2.36	8.36	1.38	10.70	0.54	0.95	0.01	0.01	
0.00	17.20	7.71	6.91	47.61	64.40	17.49	3.78	6.62	1.13	4.53	4.25	1.56	16.33	3.65	6.35	2.49	8.85	1.73	10.56	0.63	1.15	0.01	0.00	
0.00	27.59	9.63	11.38	78.38	128.57	29.92	4.04	5.20	1.06	4.83	4.53	1.73	30.04	8.14	7.19	2.52	8.34	1.90	10.19	0.65	1.13	0.01	0.00	
0.00	16.44	8.05	6.87	28.15	96.74	21.67	3.93	7.68	1.17	5.77	5.74	1.35	21.63	7.61	6.87	3.77	8.15	2.09	10.03	0.50	1.10	0.00	0.00	
0.00	15.59	8.70	7.98	33.47	64.03	18.91	3.26	5.30	1.28	2.92	4.76	1.07	11.32	5.94	8.87	3.23	7.35	2.41	10.00	0.53	1.12	0.00	0.00	
0.00	24.94	6.81	5.90	49.48	82.65	17.67	4.70	7.05	1.40	3.96	3.70	0.94	25.78	6.34	4.85	3.21	6.74	2.87	9.64	0.49	1.15	0.00	0.00	
0.00	21.27	10.51	9.59	32.08	82.38	20.47	5.45	5.30	1.53	4.46	3.71	0.98	21.97	7.80	9.51	3.63	6.81	3.35	8.93	0.59	1.16	0.01	0.01	
0.00	23.50	9.34	3.85	51.30	82.24	15.61	6.16	7.49	1.48	3.28	3.86	1.04	20.29	7.08	2.27	3.88	6.24	4.09	8.31	0.72	1.13	0.00	0.01	
0.00	25.65	8.88	8.38	59.91	91.10	22.12	3.56	8.63	1.59	4.23	2.60	0.71	25.42	7.35	8.63	4.08	4.82	4.91	7.85	0.86	1.14	0.00	0.01	
0.00	18.22	8.47	6.35	43.01	84.16	20.94	2.74	7.61	1.67	4.88	1.64	0.69	24.81	5.89	3.71	4.05	4.39	5.89	7.45	0.89	1.23	0.00	0.01	
0.00	13.28	7.35	4.52	48.74	107.72	21.05	4.75	7.00	1.63	4.26	2.74	0.56	12.29	5.85	3.86	3.78	4.71	6.56	7.16	0.77	1.37	0.00	0.01	
0.00	12.32	8.78	4.81	26.59	95.84	17.18	3.47	6.36	1.35	4.17	2.55	0.47	17.31	8.37	3.53	3.60	4.51	7.01	7.05	0.70	1.39	0.00	0.01	
0.00	6.07	2.70	4.10	24.13	98.05	15.90	3.62	6.73	1.05	3.47	2.67	0.54	13.29	6.29	2.97	3.87	4.00	7.60	7.05	0.62	1.51	0.00	0.01	
0.00	8.75	8.03	2.35	15.10	62.98	19.32	2.45	7.78	1.12	3.84	1.54	0.63	12.30	7.21	1.71	4.17	3.83	7.89	7.23	0.80	1.65	0.00	0.01	
0.00	14.47	7.58	4.00	16.95	53.28	21.04	2.16	7.68	1.39	3.37	1.38	0.76	13.89	7.46	1.81	4.26	3.36	8.18	7.28	1.05	1.63	0.00	0.01	
0.00	8.73	7.28	3.26	35.73	102.33	15.05	2.20	7.23	1.30	4.00	1.80	1.06	17.04	7.01	2.86	4.56	3.14	8.69	7.20	1.00	1.68	0.00	0.01	
0.00	17.43	4.84	4.06	31.61	71.54	15.89	2.11	7.90	1.22	2.68	0.99	1.13	12.30	4.61	2.63	5.13	3.17	9.17	7.18	0.88	1.72	0.00	0.01	
0.00	13.89	5.07	3.91	22.16	64.37	19.71	2.83	8.63	1.22	5.95	1.81	1.03	12.69	5.42	3.25	5.68	3.32	9.74	7.31	0.95	1.67	0.00	0.01	
0.00	19.88	8.21	3.38	42.51	87.71	25.93	3.16	8.68	1.14	3.79	1.87	1.00	19.07	5.26	3.95	6.22	2.79	10.13	7.42	0.95	1.45	0.01	0.01	
0.00	9.10	5.57	4.18	44.33	84.58	13.15	3.13	8.22	1.31	4.90	2.10	0.73	9.92	4.91	4.41	6.41	2.53	10.53	7.58	0.94	1.29	0.00	0.01	
0.00	14.56	9.86	7.62	32.69	107.63	11.10	2.82	8.79	1.44	6.38	2.30	0.82	15.30	9.06	5.31	7.47	2.40	11.00	7.95	1.08	1.32	0.00	0.01	
0.00	17.15	11.85	4.76	33.72	112.55	28.22	2.97	9.56	1.58	6.19	3.35	1.02	15.98	10.74	4.66	8.06	2.20	11.51	8.31	1.17	1.31	0.00	0.01	
0.00	12.33	6.11	2.77	27.40	69.44	17.35	2.47	8.12	1.88	3.57	2.74	1.18	11.63	4.20	3.26	9.42	2.15	12.15	8.29	1.42	1.27	0.00	0.01	
0.00	14.63	11.03	7.61	38.28	106.08	26.35	2.14	7.96	2.19	3.02	3.67	1.51	13.38	7.16	6.61	9.99	2.77	12.86	8.06	1.61	1.14	0.00	0.01	
0.00	21.83	15.83	7.74	45.97	81.17	19.06	5.47	8.37	2.34	4.53	4.21	1.53	19.74	8.00	9.14	10.25	2.50	13.53	7.68	1.94	1.09	0.01	0.01	
0.00	11.03	4.91	3.43	34.08	97.44	20.09	6.64	7.26	2.57	3.65	3.08	0.71	12.99	5.09	1.92	11.29	2.33	14.16	6.92	2.15	1.00	0.00	0.01	
0.00	8.54	4.64	4.37	48.38	98.03	17.14	3.77	6.31	2.71	4.95	2.15	0.62	14.39	5.00	4.55	12.13	1.92	14.50	5.75	2.29	0.80	0.00	0.02	
0.00	10.59	7.80	3.19	25.27	98.95	28.00	5.59	5.39	2.93	5.95	3.26	1.15	11.44	6.08	3.13	12.52	2.63	14.85	4.56	2.28	0.64	0.01	0.01	
0.00	18.18	11.19	5.06	36.31	105.88	15.71	4.84	5.76	3.47	7.72	3.12	1.02	13.70	7.90	4.78	13.63	1.97	14.94	3.32	2.62	0.49	0.00	0.01	
0.00	13.17	7.89	4.93	14.58	109.09	19.44	4.72	4.48	3.56	4.97	3.73	1.10	12.06	7.22	4.56	12.84	1.15	15.19	2.06	2.68	0.38	0.00	0.01	
0.00	17.31	16.04	7.30	35.00	94.82	25.14	7.65	4.51	3.68	7.56	5.82	2.94	13.63	9.18	6.23	12.09	2.76	15.38	0.90	2.54	0.25	0.01	0.01	
0.00	10.57	5.87	3.43	23.95	74.32	25.41	5.05	3.73	3.13	4.76	1.63	0.87	8.44	4.96	1.67	13.73	2.09	15.68	0.22	2.44	0.07	0.00	0.01	
0.00	11.01	8.41	6.28	13.67	114.88	21.76	5.85	4.18	3.08	3.54	2.62	1.09	15.13	8.93	4.96	13.60	1.35	15.94	0.24	2.38	0.08	0.01	0.01	
0.00	24.19	9.48	7.76	38.71	104.39	20.02	3.56	2.47	3.08	5.49	2.98	0.82	25.00	8.36	7.76	13.34	1.88	16.14	0.29	2.47	0.07	0.01	0.01	
