gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	3.28	-6.36	-6.13	-0.03	0.97	0.03	-16.18	6.18	-8.16	-1.26	11.63	17.17	0.00	15.28	-9.85	-4.74	0.10	-0.37	1.13	0.00	-18.85	5.02	15.40	
2.00	3.30	-6.34	-5.95	-0.03	0.97	0.03	-16.49	5.94	-8.19	-2.16	12.02	17.31	0.00	15.17	-9.44	-5.11	0.15	-0.28	0.91	0.00	-18.87	4.95	15.00	
3.00	3.45	-6.13	-5.68	-0.03	0.97	0.03	-16.86	5.48	-8.25	-3.19	12.36	17.39	0.00	15.13	-8.81	-4.94	-0.80	-0.73	0.21	0.00	-19.01	4.69	14.44	
4.00	3.72	-5.82	-5.35	-0.03	0.97	0.02	-17.30	4.90	-8.32	-4.34	12.63	17.41	0.00	15.01	-8.09	-4.59	-2.17	-1.56	-0.42	0.00	-19.22	4.36	13.81	
5.00	4.07	-5.48	-5.01	-0.03	0.97	0.02	-17.79	4.28	-8.40	-5.60	12.78	17.35	0.00	14.68	-7.37	-4.38	-3.25	-3.06	-0.66	0.00	-19.47	4.01	13.21	
6.00	4.46	-5.13	-4.71	-0.03	0.97	0.02	-18.23	3.62	-8.54	-7.06	12.77	17.28	0.00	14.13	-6.68	-4.29	-3.91	-4.94	-0.85	0.00	-19.72	3.62	12.68	
7.00	4.82	-4.74	-4.45	-0.02	0.97	0.02	-18.51	2.94	-8.82	-8.77	12.55	17.22	0.00	13.49	-6.04	-4.32	-4.44	-6.38	-1.12	0.00	-19.92	3.16	12.21	
8.00	5.05	-4.32	-4.29	-0.02	0.97	0.01	-18.40	2.19	-8.99	-10.87	12.08	16.98	0.00	12.98	-5.49	-4.29	-5.10	-6.76	-1.40	0.00	-19.98	2.62	11.82	
9.00	5.19	-3.76	-4.19	-0.02	0.97	0.01	-17.94	1.27	-9.17	-13.37	11.32	16.66	0.00	12.57	-4.85	-4.32	-5.97	-6.08	-1.30	0.00	-19.98	1.89	11.42	
10.00	5.28	-3.06	-4.17	-0.02	0.97	0.01	-17.12	0.17	-9.30	-16.32	10.16	16.16	0.00	12.18	-4.07	-4.54	-6.94	-4.90	-0.80	0.00	-19.96	0.97	11.03	
