gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1288.03	51.29	260.72	0.00	
2.00	1270.49	50.60	257.17	0.00	
3.00	1221.90	48.65	247.20	0.00	
4.00	1137.07	45.30	230.25	0.00	
5.00	1003.32	39.93	202.90	2.92	
6.00	818.34	32.57	165.47	20.39	
7.00	531.98	21.19	107.74	26.19	
8.00	221.92	8.89	44.99	19.74	
9.00	117.02	4.65	23.70	62.93	
10.00	51.54	2.08	10.35	18.70	
11.00	2.43	0.14	0.44	33.57	
12.00	4.15	0.16	0.84	44.73	
13.00	3.99	0.18	0.60	12.71	
14.00	6.24	0.23	1.23	11.69	
15.00	0.01	0.01	0.01	14.79	
16.00	0.00	0.01	0.00	16.49	
17.00	0.00	0.00	0.00	18.42	
18.00	4.07	0.15	0.81	16.43	
19.00	49.20	1.98	10.00	14.52	
20.00	133.42	5.32	27.03	10.02	
21.00	208.66	8.31	42.24	7.66	
22.00	247.99	9.93	50.34	4.49	
23.00	277.87	11.08	56.28	13.65	
24.00	366.79	14.63	74.28	14.96	
25.00	463.12	18.45	93.79	16.98	
26.00	560.04	22.30	113.37	17.98	
27.00	668.09	26.61	135.25	16.54	
28.00	792.90	31.57	160.42	15.58	
29.00	866.68	34.50	175.40	16.08	
30.00	883.57	35.17	178.75	13.95	
31.00	903.02	35.94	182.75	13.25	
32.00	888.32	35.34	179.54	12.74	
33.00	857.67	34.14	173.51	10.39	
34.00	882.45	35.12	178.54	5.29	
35.00	944.81	37.60	191.09	0.01	
36.00	1067.97	42.51	216.00	0.00	
37.00	1176.97	46.88	238.25	0.00	
38.00	1245.83	49.63	252.34	0.00	
39.00	1253.91	49.92	253.65	0.00	
40.00	1290.40	51.37	261.06	0.00	
41.00	1385.35	55.14	280.24	0.00	
42.00	1498.30	59.65	303.18	0.00	
43.00	1546.66	61.58	312.98	0.00	
44.00	1587.39	63.19	321.19	0.00	
45.00	1664.70	66.27	336.83	0.00	
46.00	1684.37	67.05	340.82	0.00	
47.00	1660.65	66.11	336.00	0.00	
48.00	1645.62	65.51	332.93	0.00	
49.00	1660.73	66.13	336.01	0.00	
50.00	1685.12	67.08	340.96	0.00	
51.00	1688.34	67.21	341.60	0.00	
52.00	1702.70	67.79	344.49	0.00	
53.00	1713.50	68.23	346.69	0.00	
54.00	1742.28	69.38	352.54	0.00	
55.00	1763.65	70.21	356.86	0.00	
56.00	1762.65	70.17	356.60	0.00	
57.00	1769.14	70.42	357.95	0.00	
58.00	1756.13	69.93	355.34	0.00	
59.00	1709.72	68.06	345.94	0.00	
60.00	1639.02	65.26	331.67	0.00	
61.00	1593.25	63.43	322.36	0.00	
62.00	1594.24	63.47	322.60	0.00	
63.00	1626.58	64.75	329.07	0.00	
64.00	1635.16	65.08	330.82	0.00	
65.00	1610.60	64.11	325.80	0.00	
66.00	1567.16	62.39	316.96	0.00	
67.00	1498.38	59.65	303.19	0.00	
68.00	1413.31	56.27	285.98	0.00	
69.00	1334.07	53.11	269.99	0.00	
70.00	1267.00	50.45	256.42	0.00	
71.00	1165.42	46.42	236.09	0.00	
72.00	1041.48	41.47	210.78	0.00	
73.00	927.68	36.95	187.77	0.00	
74.00	792.04	31.53	160.19	0.00	
75.00	650.56	25.88	131.46	0.00	
76.00	563.60	22.46	114.09	0.00	
77.00	524.99	20.92	106.28	0.00	
78.00	511.55	20.39	103.60	0.01	
79.00	462.16	18.43	93.57	0.03	
80.00	318.92	12.74	64.61	0.33	
81.00	161.39	6.45	32.65	2.17	
82.00	72.09	2.89	14.45	5.99	
83.00	23.44	1.00	4.80	8.50	
84.00	2.32	0.10	0.46	11.41	
85.00	0.33	0.05	0.08	15.32	
86.00	0.00	0.00	0.00	17.64	
87.00	0.00	0.00	0.00	22.46	
88.00	0.11	0.01	0.01	25.86	
89.00	0.00	0.00	0.00	43.33	
90.00	3.40	0.15	0.61	54.08	
91.00	55.90	2.25	11.20	77.89	
92.00	171.25	6.83	34.67	68.31	
93.00	409.82	16.32	82.94	47.49	
94.00	656.21	26.15	132.92	19.11	
95.00	873.66	34.77	176.88	0.01	
96.00	1038.52	41.35	210.12	0.00	
97.00	1137.65	45.31	230.28	0.00	
98.00	1226.78	48.83	248.22	0.00	
99.00	1270.04	50.59	257.32	0.00	
100.00	1267.48	50.48	256.63	0.00	
