gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	421.37	16.77	85.26	0.00	
0.00	426.28	16.98	86.29	0.00	
0.00	436.04	17.33	88.20	0.01	
0.00	438.50	17.44	88.74	0.01	
0.00	431.33	17.16	87.23	8.25	
0.00	364.38	14.49	73.62	57.68	
0.00	274.22	10.92	55.49	74.07	
0.00	284.45	11.30	57.54	53.19	
0.00	221.64	8.84	44.90	70.34	
0.00	105.73	4.25	21.59	49.43	
0.00	5.28	0.23	1.00	51.83	
0.00	11.73	0.45	2.36	58.91	
0.00	6.37	0.27	1.06	8.32	
0.00	11.54	0.41	2.27	8.77	
0.00	0.02	0.02	0.02	5.12	
0.00	0.00	0.01	0.00	1.77	
0.00	0.00	0.00	0.00	2.75	
0.00	11.51	0.42	2.27	7.11	
0.00	102.26	4.09	20.74	9.11	
0.00	210.80	8.39	42.67	10.02	
0.00	275.01	10.95	55.67	9.91	
0.00	281.38	11.19	57.00	7.93	
0.00	303.71	12.09	61.44	38.54	
0.00	323.19	12.86	65.39	42.29	
0.00	367.91	14.64	74.45	48.03	
0.00	419.93	16.72	85.00	50.84	
0.00	430.29	17.13	87.05	46.79	
0.00	441.60	17.58	89.33	44.06	
0.00	437.69	17.42	88.57	45.49	
0.00	422.49	16.82	85.45	39.44	
0.00	412.63	16.42	83.48	37.47	
0.00	397.84	15.82	80.33	36.04	
0.00	385.38	15.34	77.94	29.39	
0.00	387.66	15.43	78.41	14.96	
0.00	395.41	15.76	80.06	0.03	
0.00	403.55	16.05	81.64	0.01	
0.00	371.55	14.79	75.20	0.00	
0.00	271.68	10.83	55.08	0.00	
0.00	111.33	4.45	22.64	0.00	
0.00	215.36	8.58	43.59	0.00	
0.00	333.04	13.27	67.48	0.00	
0.00	439.65	17.50	88.94	0.00	
0.00	492.79	19.62	99.69	0.00	
0.00	286.85	11.42	58.04	0.00	
0.00	111.18	4.42	22.49	0.00	
0.00	76.74	3.05	15.53	0.00	
0.00	64.02	2.54	12.98	0.00	
0.00	85.23	3.38	17.29	0.00	
0.00	89.35	3.55	18.09	0.00	
0.00	95.71	3.81	19.37	0.00	
0.00	77.61	3.09	15.72	0.00	
0.00	81.86	3.25	16.59	0.00	
0.00	77.08	3.06	15.62	0.00	
0.00	79.47	3.15	16.09	0.00	
0.00	84.88	3.38	17.20	0.00	
0.00	91.98	3.66	18.67	0.00	
0.00	95.18	3.80	19.30	0.00	
0.00	115.21	4.57	23.33	0.00	
0.00	154.46	6.15	31.27	0.00	
0.00	200.77	7.98	40.57	0.00	
0.00	223.21	8.89	45.18	0.00	
0.00	206.26	8.21	41.74	0.00	
0.00	186.58	7.44	37.89	0.00	
0.00	188.09	7.52	38.10	0.00	
0.00	243.12	9.68	49.20	0.00	
0.00	296.37	11.83	60.15	0.00	
0.00	338.57	13.48	68.50	0.00	
0.00	374.07	14.89	75.66	0.00	
0.00	414.66	16.50	83.85	0.00	
0.00	435.01	17.31	87.93	0.00	
0.00	456.84	18.20	92.58	0.00	
0.00	472.31	18.79	95.53	0.00	
0.00	458.09	18.23	92.61	0.00	
0.00	436.93	17.38	88.27	0.00	
0.00	375.31	14.90	75.59	0.00	
0.00	316.99	12.60	64.13	0.01	
0.00	271.64	10.80	54.96	0.00	
0.00	253.31	10.06	51.23	0.01	
0.00	270.08	10.72	54.71	0.07	
0.00	279.49	11.10	56.54	0.90	
0.00	252.30	10.04	51.13	3.92	
0.00	159.08	6.34	32.31	7.25	
0.00	65.41	2.62	13.26	8.54	
0.00	6.53	0.27	1.27	8.99	
0.00	0.91	0.12	0.20	9.05	
0.00	0.00	0.00	0.00	5.90	
0.00	0.00	0.00	0.00	3.68	
0.00	0.30	0.02	0.03	3.42	
0.00	0.00	0.00	0.00	28.28	
0.00	7.11	0.29	1.46	74.52	
0.00	153.47	6.10	31.10	59.41	
0.00	302.88	12.07	61.35	96.68	
0.00	447.00	17.79	90.40	87.60	
0.00	470.32	18.73	95.34	54.03	
0.00	443.89	17.66	89.82	0.02	
0.00	392.57	15.62	79.38	0.00	
0.00	339.11	13.50	68.63	0.00	
0.00	299.29	11.91	60.54	0.00	
0.00	291.76	11.63	59.10	0.00	
0.00	276.06	10.99	55.87	0.00	
