gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	0.88	0.47	1.72	0.04	0.00	0.02	1.34	0.90	1.38	3.27	2.32	2.23	0.00	0.96	0.82	1.19	1.34	0.78	1.76	0.00	0.84	0.79	1.90	
0.00	0.98	0.50	1.74	0.04	0.00	0.02	1.39	0.93	1.49	3.48	2.52	2.22	0.00	0.94	0.87	1.18	1.23	0.85	1.99	0.00	0.89	0.81	1.95	
0.00	1.06	0.53	1.79	0.04	0.00	0.02	1.43	0.95	1.64	3.67	2.77	2.23	0.00	0.94	0.92	1.14	1.18	0.93	2.16	0.00	0.95	0.86	2.03	
0.00	1.10	0.56	1.83	0.04	0.00	0.02	1.43	0.97	1.76	3.86	3.08	2.25	0.00	0.96	0.98	1.09	1.16	0.96	2.26	0.00	0.99	0.89	2.08	
0.00	1.12	0.60	1.87	0.04	0.00	0.02	1.45	0.98	1.93	4.04	3.45	2.29	0.00	0.98	1.02	1.05	1.17	0.82	2.30	0.00	1.00	0.90	2.11	
0.00	1.13	0.64	1.83	0.04	0.00	0.02	1.52	0.99	1.98	4.20	3.83	2.29	0.00	1.03	1.07	1.05	1.26	1.05	2.12	0.00	1.01	0.91	2.11	
0.00	1.09	0.67	1.80	0.04	0.00	0.02	1.57	0.99	2.01	4.32	4.20	2.27	0.00	1.04	1.11	1.05	1.43	1.53	2.01	0.00	0.98	0.91	2.02	
0.00	1.04	0.72	1.79	0.04	0.00	0.02	1.55	1.00	1.96	4.39	4.56	2.26	0.00	1.06	1.17	1.06	1.63	1.61	2.01	0.00	0.96	0.94	2.00	
0.00	1.03	0.77	1.81	0.04	0.00	0.02	1.52	1.02	1.92	4.44	4.87	2.23	0.00	1.08	1.25	1.06	1.79	1.50	2.09	0.00	0.98	0.98	2.06	
0.00	1.01	0.83	1.81	0.04	0.00	0.02	1.55	1.03	1.97	4.46	5.09	2.15	0.00	1.09	1.32	1.08	1.88	1.47	2.12	0.00	1.00	1.00	2.06	
0.00	1.01	0.85	1.73	0.04	0.00	0.02	1.52	1.04	1.90	4.39	5.16	2.01	0.00	1.13	1.35	1.08	1.94	1.54	2.21	0.00	1.04	0.98	2.06	
0.00	0.97	0.82	1.79	0.04	0.00	0.02	1.53	1.04	1.71	4.27	5.11	1.96	0.00	1.13	1.32	1.09	2.01	1.68	2.37	0.00	1.07	0.92	2.13	
0.00	0.98	0.84	1.91	0.04	0.00	0.02	1.60	1.10	1.68	4.12	4.95	1.94	0.00	1.14	1.38	1.10	2.10	1.83	2.67	0.00	1.11	0.87	2.30	
