gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-53.58	-3.41	-1.11	12.95	39.75	7.09	-15.63	-25.19	-4.11	-10.88	-11.79	-0.95	0.66	8.68	3.25	-14.08	-12.82	-23.14	-25.62	-9.70	2.39	0.03	0.03	
2.00	-26.25	-9.89	-5.65	11.32	-90.93	-23.26	-13.37	-22.37	-3.84	-8.50	-8.91	-0.68	4.63	2.36	-0.62	-14.17	-12.56	-23.50	-25.75	-9.45	2.72	0.03	0.03	
3.00	-39.13	-12.29	-0.99	10.18	3.57	5.25	-14.20	-24.36	-3.30	-9.77	-8.66	-0.93	4.33	2.31	-0.62	-14.21	-11.78	-23.52	-25.91	-9.06	2.89	0.03	0.03	
4.00	-36.84	-13.34	-6.33	-17.96	-38.58	-14.26	-16.18	-23.02	-3.08	-10.10	-9.10	-0.35	3.90	-0.25	-2.65	-14.34	-11.43	-23.50	-25.94	-8.74	3.20	0.03	0.03	
5.00	-38.01	-16.15	-4.13	26.50	-23.05	-2.05	-16.23	-23.75	-2.99	-7.64	-8.34	0.00	-0.47	-2.30	-2.24	-14.85	-10.62	-23.08	-25.49	-8.75	3.43	0.03	0.03	
6.00	-32.93	-17.77	-4.84	17.08	-33.91	1.36	-15.54	-22.39	-3.00	-6.42	-6.91	-0.14	-0.38	-3.25	-2.81	-14.54	-9.15	-22.60	-24.81	-8.71	3.33	0.03	0.03	
7.00	-66.32	-2.39	-6.04	-11.34	-36.79	-0.72	-18.50	-20.85	-3.01	-10.77	-7.01	0.16	-22.50	8.88	0.48	-14.01	-9.75	-21.85	-23.90	-8.69	3.01	0.03	0.03	
8.00	-45.97	-14.56	-6.42	-25.17	-33.83	-13.66	-19.36	-21.45	-2.93	-11.15	-7.12	0.27	-6.47	-3.09	-1.47	-13.58	-9.24	-21.08	-22.95	-8.66	2.71	0.03	0.03	
9.00	-45.95	-10.40	-5.41	27.69	-17.26	8.95	-18.88	-22.66	-2.67	-9.02	-7.04	-0.03	-8.89	1.78	-2.18	-13.16	-8.31	-20.27	-22.12	-8.64	2.44	0.03	0.03	
10.00	-60.75	-1.58	-0.50	31.49	16.65	23.63	-20.05	-22.78	-2.15	-11.86	-6.93	0.40	-18.24	7.57	3.86	-12.45	-8.32	-19.32	-21.27	-8.65	2.13	0.03	0.03	
11.00	-39.48	-4.53	0.40	30.31	-43.13	-2.88	-20.80	-21.11	-2.24	-10.54	-7.81	0.78	-5.57	2.19	5.81	-11.70	-8.11	-18.48	-20.11	-8.73	1.64	0.03	0.03	
12.00	-44.69	-10.42	-3.17	33.55	8.39	0.55	-19.75	-22.87	-1.99	-11.57	-8.57	0.19	-7.31	-1.12	0.74	-10.30	-6.72	-17.50	-18.66	-8.77	1.05	0.03	0.03	
13.00	-38.80	-2.17	-14.00	53.91	-10.81	-23.37	-21.55	-21.62	-1.31	-9.01	-9.47	0.96	-6.02	3.95	-5.31	-9.47	-5.70	-16.47	-17.31	-8.61	0.58	0.03	0.03	
14.00	-53.48	-6.16	-9.68	72.95	25.16	7.37	-22.09	-23.29	-0.99	-10.07	-9.02	0.86	-14.67	1.76	-5.42	-8.23	-4.48	-15.27	-15.99	-8.54	0.05	0.03	0.03	
15.00	-54.81	-15.21	-10.03	49.03	-28.03	-30.96	-23.55	-22.29	-0.97	-13.76	-11.11	1.46	-16.38	-11.16	-3.29	-6.76	-3.55	-14.14	-14.92	-8.79	-0.26	0.03	0.03	
16.00	-51.36	-14.48	-0.06	23.24	20.43	19.68	-25.23	-25.06	-0.74	-14.70	-10.01	1.47	-7.96	-6.51	3.57	-5.94	-2.46	-13.02	-13.89	-9.02	-0.53	0.03	0.03	
17.00	-52.04	-13.50	0.38	61.93	-75.95	18.95	-22.42	-24.41	-0.00	-14.20	-12.11	1.85	-19.70	-7.72	2.46	-4.70	-1.07	-12.10	-13.06	-9.05	-0.84	0.03	0.03	
18.00	-25.51	-7.95	-7.50	30.93	21.46	9.86	-25.82	-25.10	0.49	-13.86	-12.38	1.93	13.16	-2.18	-2.41	-3.46	-0.73	-11.19	-12.06	-9.17	-1.29	0.03	0.03	
19.00	-29.23	-7.45	-0.02	-22.64	-115.41	14.37	-29.66	-22.89	1.34	-18.91	-12.19	2.05	5.06	-3.01	2.55	-2.43	-0.27	-10.50	-11.38	-9.19	-1.82	0.03	0.03	
20.00	-17.70	-0.00	-2.47	-6.78	18.82	-7.78	-31.45	-23.22	2.14	-20.53	-13.51	2.77	29.95	1.82	2.24	-0.29	1.34	-9.94	-11.07	-9.44	-2.27	0.03	0.03	
