gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	50.31	2.01	10.18	0.00	
0.00	49.46	1.97	10.01	0.00	
0.00	50.73	2.02	10.26	0.00	
0.00	54.51	2.18	11.03	0.00	
0.00	61.48	2.45	12.44	0.00	
0.00	72.85	2.90	14.74	0.00	
0.00	89.92	3.58	18.19	0.00	
0.00	112.45	4.48	22.76	0.00	
0.00	137.36	5.47	27.79	0.00	
0.00	158.81	6.32	32.14	0.00	
0.00	169.82	6.77	34.40	0.00	
0.00	164.82	6.56	33.34	0.00	
0.00	142.41	5.66	28.77	0.00	
0.00	107.49	4.27	21.74	0.00	
0.00	70.71	2.80	14.31	0.00	
0.00	44.72	1.76	9.03	0.01	
0.00	36.42	1.44	7.33	0.01	
0.00	36.33	1.45	7.35	0.01	
0.00	34.73	1.40	7.08	0.01	
0.00	29.99	1.24	6.13	0.01	
0.00	23.50	0.99	4.82	0.02	
0.00	17.56	0.74	3.61	0.03	
0.00	13.73	0.56	2.85	0.04	
0.00	11.96	0.46	2.51	0.06	
0.00	11.32	0.41	2.40	0.08	
0.00	11.10	0.39	2.42	0.18	
0.00	10.90	0.37	2.40	0.54	
0.00	10.61	0.35	2.30	1.03	
0.00	10.20	0.34	2.18	1.52	
0.00	9.64	0.33	2.06	2.00	
0.00	9.00	0.30	1.91	2.51	
0.00	8.33	0.28	1.75	3.06	
0.00	7.57	0.26	1.59	3.69	
0.00	6.78	0.24	1.37	4.36	
0.00	5.99	0.24	1.08	5.00	
0.00	5.14	0.23	0.82	5.59	
0.00	4.43	0.22	0.63	6.20	
0.00	3.94	0.20	0.53	6.77	
0.00	3.48	0.19	0.43	7.18	
0.00	2.78	0.17	0.36	7.36	
0.00	1.98	0.14	0.27	7.26	
0.00	1.17	0.11	0.22	6.98	
0.00	0.61	0.08	0.16	6.68	
0.00	0.30	0.05	0.08	6.58	
0.00	0.05	0.02	0.03	7.16	
0.00	0.00	0.00	0.00	8.59	
0.00	0.00	0.00	0.00	9.78	
0.00	0.49	0.02	0.10	11.85	
0.00	2.99	0.12	0.58	18.73	
0.00	6.54	0.26	1.28	23.06	
0.00	8.92	0.34	1.75	23.01	
0.00	8.41	0.33	1.67	50.66	
0.00	5.50	0.22	1.09	81.12	
0.00	4.41	0.17	0.89	78.77	
0.00	0.94	0.03	0.19	53.27	
0.00	1.43	0.06	0.29	58.89	
0.00	11.92	0.49	2.41	74.51	
0.00	38.14	1.53	7.75	56.43	
0.00	62.67	2.51	12.72	24.52	
0.00	73.51	2.93	14.88	4.68	
0.00	76.99	3.05	15.56	0.01	
0.00	80.73	3.20	16.33	0.01	
0.00	85.77	3.41	17.38	0.00	
0.00	92.01	3.65	18.64	0.00	
0.00	99.62	3.95	20.16	0.00	
0.00	108.57	4.32	21.97	0.00	
0.00	118.44	4.71	23.97	0.00	
0.00	128.40	5.11	25.97	0.00	
0.00	137.37	5.46	27.78	0.00	
0.00	144.57	5.75	29.24	0.00	
0.00	149.95	5.96	30.33	0.00	
0.00	154.21	6.13	31.19	0.00	
0.00	158.06	6.29	31.97	0.00	
0.00	161.60	6.43	32.68	0.00	
0.00	164.45	6.54	33.26	0.00	
0.00	166.19	6.61	33.61	0.00	
0.00	166.83	6.64	33.73	0.00	
0.00	166.92	6.64	33.74	0.00	
0.00	167.47	6.66	33.85	0.00	
0.00	169.33	6.73	34.19	0.00	
0.00	172.62	6.87	34.87	0.00	
0.00	177.08	7.04	35.78	0.00	
0.00	182.14	7.25	36.83	0.00	
0.00	187.12	7.45	37.89	0.00	
0.00	191.42	7.63	38.76	0.00	
0.00	194.37	7.74	39.36	0.00	
0.00	195.28	7.78	39.54	0.00	
0.00	193.25	7.70	39.14	0.00	
0.00	187.56	7.47	37.97	0.00	
0.00	177.94	7.09	36.01	0.00	
0.00	164.51	6.55	33.29	0.00	
0.00	147.79	5.88	29.91	0.00	
0.00	129.04	5.14	26.11	0.00	
0.00	110.06	4.38	22.27	0.00	
0.00	92.60	3.69	18.74	0.00	
0.00	77.84	3.10	15.75	0.00	
0.00	66.31	2.65	13.42	0.00	
0.00	57.92	2.31	11.72	0.00	
0.00	52.24	2.08	10.57	0.00	
0.00	48.95	1.95	9.91	0.00	
