gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-37.48	-3.57	-8.53	-18.21	-4.57	-23.62	-33.69	-26.46	-1.00	-27.36	-6.73	1.00	30.66	4.29	-1.59	0.70	-0.67	-19.62	-23.50	-11.03	1.28	0.03	0.03	
2.00	-20.59	-8.01	-7.78	35.33	-0.66	-22.08	-30.10	-26.78	-0.24	-20.76	-4.62	0.86	37.83	3.89	1.03	0.81	1.26	-19.80	-23.32	-10.90	1.29	0.03	0.03	
3.00	-22.15	-8.22	-7.51	-13.22	-46.56	-1.52	-34.62	-26.68	0.08	-19.90	-4.40	0.68	32.93	2.93	0.27	1.36	2.87	-19.92	-22.91	-10.59	1.17	0.03	0.03	
4.00	-9.76	-2.78	-8.63	32.07	65.16	5.82	-30.54	-27.53	0.31	-16.81	-6.33	0.61	46.69	7.28	-1.42	2.95	4.28	-19.68	-22.06	-10.56	0.85	0.03	0.03	
5.00	-35.56	-1.55	-6.55	14.56	-9.12	11.79	-33.23	-27.30	0.14	-21.11	-6.66	0.60	24.00	7.90	-0.42	4.24	5.30	-19.33	-21.35	-10.64	0.47	0.03	0.03	
6.00	-43.58	1.59	-7.22	52.91	-25.78	15.84	-33.22	-26.81	0.89	-17.67	-6.83	0.65	11.81	8.72	0.87	5.75	6.68	-19.34	-20.82	-10.48	0.30	0.03	0.03	
7.00	-25.96	-4.57	-10.23	8.57	-12.42	-3.38	-33.33	-24.64	1.58	-19.21	-7.69	0.92	29.44	2.38	-2.76	7.61	8.95	-19.60	-20.55	-10.11	0.13	0.03	0.03	
8.00	-26.27	-6.36	-13.98	32.86	51.69	-17.56	-34.16	-24.84	2.47	-21.82	-8.54	1.60	38.49	1.44	-5.18	9.44	8.75	-19.95	-20.45	-9.63	-0.09	0.03	0.04	
9.00	-25.03	-5.12	-8.10	18.26	-38.76	-0.97	-34.25	-24.56	4.16	-21.27	-8.10	1.44	29.44	4.06	-0.45	11.35	10.80	-20.64	-21.01	-9.12	-0.26	0.03	0.03	
10.00	-16.12	-11.24	-9.55	-30.03	-39.29	-12.90	-37.14	-25.43	4.91	-21.53	-9.80	1.97	38.40	0.54	-1.57	12.68	12.26	-21.40	-21.41	-9.00	-0.42	0.03	0.03	
11.00	-17.47	-1.60	-5.53	2.20	16.41	27.79	-33.38	-26.32	6.35	-24.11	-7.79	2.03	42.11	11.30	-0.05	15.26	14.09	-22.24	-21.89	-9.11	-0.73	0.03	0.03	
12.00	-19.43	-16.14	-6.30	-25.11	-96.79	-18.70	-39.18	-22.80	7.09	-27.19	-6.50	1.97	36.61	-4.36	-0.46	16.21	15.56	-23.66	-22.92	-9.29	-1.00	0.03	0.03	
13.00	-6.51	-4.59	-8.15	25.86	15.03	-1.08	-38.69	-24.42	7.99	-24.62	-9.71	2.98	56.14	5.78	-0.94	18.83	20.24	-25.36	-24.62	-9.66	-1.16	0.03	0.03	
14.00	-9.01	-8.10	-7.27	-23.82	-67.97	-13.81	-41.24	-23.01	8.53	-30.43	-7.27	2.72	52.37	4.15	-0.20	22.63	22.37	-27.96	-27.12	-9.83	-1.08	0.03	0.03	
15.00	-9.36	-5.78	-10.24	6.60	-3.29	-16.47	-46.60	-22.65	9.86	-32.36	-7.74	3.34	64.94	3.92	-0.35	26.19	25.76	-31.18	-30.90	-9.78	-0.87	0.03	0.04	
16.00	-16.28	-4.34	-12.36	-7.52	-113.74	-29.71	-50.88	-21.44	10.28	-38.08	-8.15	3.24	59.53	7.92	-2.31	30.85	31.59	-34.61	-35.34	-9.74	-0.59	0.03	0.03	
17.00	6.22	-12.53	-9.48	0.13	50.23	-3.15	-54.14	-22.68	11.65	-39.87	-5.06	2.99	99.56	3.12	-0.92	34.99	36.69	-38.15	-39.69	-9.98	-0.10	0.03	0.03	
18.00	16.93	-12.52	-8.31	-60.90	-20.68	-13.46	-55.92	-20.96	12.39	-47.60	-5.35	3.07	109.27	4.39	-2.14	40.74	41.36	-41.81	-43.89	-9.94	0.50	0.03	0.03	
19.00	13.72	-8.84	-6.16	-76.86	-0.95	-16.96	-60.95	-18.95	12.57	-51.91	-3.46	2.46	116.61	7.32	1.74	44.22	46.81	-45.42	-48.44	-9.78	1.23	0.04	0.03	
20.00	6.95	-5.20	-10.34	-0.29	-69.59	-18.14	-62.45	-17.46	12.67	-54.39	-0.25	1.07	108.76	11.73	2.58	50.05	52.50	-49.03	-53.00	-9.82	2.00	0.03	0.04	
21.00	9.70	-5.32	-4.24	3.71	12.38	36.74	-64.85	-18.34	13.09	-58.04	-0.38	-0.04	126.02	14.18	1.33	54.87	57.68	-53.01	-57.62	-9.80	2.87	0.03	0.03	
22.00	31.88	-5.16	-6.86	-62.28	-2.29	5.02	-68.00	-17.15	13.50	-63.67	0.41	-0.89	149.42	16.79	2.56	60.28	62.08	-56.70	-61.69	-9.64	3.78	0.03	0.03	
