gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	1.25	1.19	2.39	0.05	0.01	0.03	2.91	2.59	1.82	5.89	3.89	1.92	0.00	4.28	2.79	3.07	5.79	3.65	2.04	0.00	0.95	2.12	1.31	
0.00	1.34	1.46	2.48	0.05	0.01	0.03	3.58	3.06	2.05	8.01	4.25	1.81	0.00	4.17	2.78	3.06	4.78	4.02	1.99	0.00	1.04	2.52	1.21	
0.00	1.52	1.47	2.54	0.05	0.01	0.03	4.45	3.29	2.11	10.16	4.10	1.52	0.00	4.36	2.55	3.05	4.75	4.44	2.56	0.00	1.28	2.64	1.06	
0.00	1.70	1.37	2.47	0.05	0.01	0.03	5.17	3.33	1.71	11.96	3.39	1.40	0.00	4.72	2.23	3.13	5.85	4.81	3.26	0.00	1.66	2.52	1.10	
0.00	1.87	1.34	2.39	0.05	0.01	0.03	5.63	3.25	1.23	13.15	2.21	1.75	0.00	5.11	1.94	3.08	7.21	5.10	3.46	0.00	2.02	2.24	1.13	
0.00	1.97	1.31	2.43	0.05	0.02	0.03	5.90	3.02	1.16	13.50	1.27	2.09	0.00	5.26	1.72	2.97	7.90	5.10	3.22	0.00	2.20	1.88	1.15	
0.00	1.97	1.48	2.57	0.05	0.02	0.03	6.04	2.93	1.40	13.05	2.69	2.24	0.00	5.27	1.70	2.73	7.76	4.71	2.76	0.00	2.04	1.69	1.26	
0.00	1.94	1.59	2.67	0.05	0.01	0.03	5.82	2.77	1.81	11.62	4.64	2.01	0.00	4.96	1.66	2.35	6.48	3.89	2.30	0.00	1.71	1.62	1.36	
0.00	1.97	1.63	2.69	0.05	0.01	0.03	5.34	2.53	2.22	9.56	5.57	1.52	0.00	4.71	1.44	2.40	5.27	3.24	2.25	0.00	1.12	1.70	1.31	
0.00	2.10	1.63	2.58	0.05	0.01	0.03	4.54	2.35	2.60	7.99	5.68	1.44	0.00	4.84	1.28	2.85	6.71	4.41	2.77	0.00	0.79	2.06	1.15	
0.00	2.37	1.58	2.25	0.05	0.02	0.03	3.56	2.18	2.82	8.84	5.91	1.75	0.00	5.40	1.17	3.44	10.32	7.73	4.05	0.00	1.34	2.66	0.97	
0.00	2.74	1.54	1.96	0.05	0.03	0.03	2.53	2.20	2.87	11.59	5.43	2.02	0.00	5.84	1.18	3.72	13.09	10.94	5.46	0.00	2.14	3.09	1.28	
0.00	2.97	1.54	1.86	0.05	0.03	0.03	1.77	2.38	2.89	14.42	4.96	2.08	0.00	5.64	1.27	3.54	13.24	12.56	6.86	0.00	2.71	3.24	1.80	
0.00	2.90	1.61	1.77	0.05	0.03	0.03	1.83	2.62	2.71	16.33	4.64	1.99	0.00	5.06	1.33	3.69	13.60	14.09	7.59	0.00	2.96	3.05	2.31	
0.00	2.69	1.69	1.94	0.05	0.03	0.03	2.32	2.68	2.34	16.81	4.10	1.77	0.00	3.98	1.37	3.35	14.79	13.84	7.74	0.00	2.83	2.51	2.64	
