gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-37.13	-3.54	-8.45	-18.04	-4.52	-23.40	-33.37	-26.21	-0.99	-27.10	-6.67	0.99	30.37	4.25	-1.57	0.70	-0.66	-19.43	-23.28	-10.93	1.27	0.03	0.03	
2.00	-20.40	-7.93	-7.70	35.00	-0.65	-21.87	-29.81	-26.53	-0.24	-20.56	-4.58	0.85	37.47	3.85	1.02	0.80	1.25	-19.61	-23.10	-10.80	1.28	0.03	0.03	
3.00	-21.94	-8.14	-7.44	-13.09	-46.12	-1.50	-34.29	-26.43	0.08	-19.71	-4.36	0.67	32.62	2.90	0.27	1.35	2.84	-19.73	-22.69	-10.48	1.16	0.03	0.03	
4.00	-9.67	-2.75	-8.55	31.76	64.54	5.76	-30.25	-27.27	0.30	-16.65	-6.27	0.60	46.24	7.21	-1.40	2.92	4.24	-19.50	-21.85	-10.46	0.84	0.03	0.03	
5.00	-35.22	-1.53	-6.48	14.42	-9.03	11.68	-32.92	-27.04	0.14	-20.91	-6.59	0.59	23.78	7.82	-0.41	4.20	5.25	-19.15	-21.15	-10.54	0.46	0.03	0.03	
6.00	-43.16	1.57	-7.15	52.40	-25.53	15.69	-32.90	-26.56	0.88	-17.50	-6.76	0.65	11.70	8.64	0.86	5.70	6.62	-19.15	-20.62	-10.38	0.30	0.03	0.03	
7.00	-25.71	-4.53	-10.13	8.48	-12.30	-3.35	-33.01	-24.41	1.56	-19.03	-7.62	0.91	29.16	2.35	-2.73	7.54	8.87	-19.41	-20.36	-10.01	0.13	0.03	0.03	
8.00	-26.01	-6.30	-13.85	32.55	51.20	-17.40	-33.83	-24.61	2.45	-21.61	-8.46	1.58	38.13	1.43	-5.13	9.35	8.66	-19.76	-20.26	-9.54	-0.09	0.03	0.03	
9.00	-24.79	-5.07	-8.02	18.08	-38.39	-0.96	-33.92	-24.33	4.12	-21.07	-8.03	1.43	29.16	4.02	-0.45	11.25	10.70	-20.45	-20.81	-9.03	-0.25	0.03	0.03	
10.00	-15.96	-11.14	-9.45	-29.74	-38.92	-12.78	-36.79	-25.19	4.87	-21.32	-9.71	1.95	38.03	0.53	-1.56	12.56	12.14	-21.20	-21.20	-8.92	-0.42	0.03	0.03	
