gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	109.39	4.38	22.21	0.02	
0.00	101.06	4.04	20.52	0.01	
0.00	95.32	3.82	19.37	0.01	
0.00	93.98	3.76	19.03	0.01	
0.00	102.42	4.09	20.78	0.01	
0.00	110.82	4.43	22.43	0.01	
0.00	124.61	4.96	25.21	0.01	
0.00	141.22	5.62	28.55	0.02	
0.00	153.65	6.11	31.07	0.02	
0.00	164.75	6.54	33.33	0.02	
0.00	180.70	7.19	36.55	0.02	
0.00	198.07	7.90	40.08	0.01	
0.00	206.93	8.20	41.85	0.02	
0.00	223.53	8.86	45.23	0.01	
0.00	254.26	10.10	51.41	0.01	
0.00	288.22	11.45	58.30	0.01	
0.00	322.44	12.80	65.24	0.01	
0.00	340.51	13.55	68.90	0.00	
0.00	344.10	13.68	69.57	0.00	
0.00	341.18	13.53	68.67	0.00	
0.00	336.46	13.38	68.02	0.00	
0.00	326.38	12.98	65.96	0.00	
0.00	309.95	12.33	62.65	0.00	
0.00	303.51	12.08	61.41	0.00	
0.00	319.17	12.71	64.57	0.00	
0.00	356.01	14.17	72.00	0.00	
0.00	390.82	15.56	79.03	0.00	
0.00	395.33	15.75	79.96	0.00	
0.00	359.29	14.30	72.69	0.00	
0.00	290.83	11.59	58.90	0.00	
0.00	258.90	10.31	52.41	0.00	
0.00	342.57	13.65	69.36	0.00	
0.00	485.64	19.33	98.23	0.00	
0.00	602.43	23.98	121.93	0.00	
0.00	649.29	25.84	131.38	0.01	
0.00	644.76	25.65	130.53	0.32	
0.00	641.12	25.52	129.73	3.75	
0.00	698.79	27.82	141.40	6.30	
0.00	807.33	32.14	163.35	7.84	
0.00	914.42	36.38	185.00	8.51	
0.00	931.48	37.07	188.59	8.42	
0.00	871.75	34.71	176.40	7.98	
0.00	782.86	31.15	158.39	8.24	
0.00	702.80	27.96	142.22	9.05	
0.00	646.23	25.72	130.73	9.21	
0.00	534.94	21.29	108.34	9.66	
0.00	341.83	13.61	69.22	10.16	
0.00	158.01	6.28	32.02	10.18	
0.00	57.13	2.30	11.64	10.27	
0.00	19.35	0.77	3.96	13.54	
0.00	6.45	0.27	1.20	12.52	
0.00	33.24	1.33	6.79	9.20	
0.00	191.45	7.63	38.77	17.41	
0.00	402.77	16.04	81.50	16.00	
0.00	617.19	24.58	124.89	19.96	
0.00	864.60	34.41	174.93	12.83	
0.00	958.55	38.16	193.95	24.84	
0.00	951.47	37.85	192.61	14.56	
0.00	802.18	31.93	162.29	21.11	
0.00	731.62	29.12	148.04	6.09	
0.00	699.56	27.85	141.56	10.85	
0.00	703.39	28.00	142.31	19.62	
0.00	680.85	27.08	137.68	2.21	
0.00	474.82	18.90	96.05	0.00	
0.00	380.08	15.12	76.88	0.00	
0.00	470.21	18.72	95.12	0.00	
0.00	489.64	19.49	99.05	0.00	
0.00	502.45	19.99	101.61	0.00	
0.00	503.89	20.05	101.92	0.00	
0.00	454.46	18.05	91.86	0.01	
0.00	409.89	16.31	82.98	0.01	
0.00	381.38	15.17	77.13	0.01	
0.00	367.12	14.61	74.27	0.01	
0.00	355.07	14.17	71.87	0.01	
0.00	341.36	13.56	69.12	0.30	
0.00	327.90	13.05	66.35	7.02	
0.00	314.72	12.53	63.68	16.62	
0.00	303.99	12.10	61.53	25.24	
0.00	298.16	11.87	60.36	32.47	
0.00	295.35	11.76	59.76	38.01	
0.00	295.43	11.76	59.80	42.26	
0.00	297.18	11.83	60.16	45.45	
0.00	291.95	11.63	59.09	46.81	
0.00	281.78	11.22	57.04	47.53	
0.00	269.70	10.74	54.62	48.49	
0.00	254.29	10.13	51.48	49.05	
0.00	241.65	9.62	48.93	48.63	
0.00	236.09	9.40	47.81	47.16	
0.00	234.32	9.33	47.46	45.37	
0.00	234.72	9.35	47.54	43.65	
0.00	237.08	9.44	48.02	40.97	
0.00	238.84	9.51	48.37	36.24	
0.00	234.54	9.34	47.49	29.85	
0.00	228.95	9.12	46.36	24.15	
0.00	224.96	8.96	45.56	18.79	
0.00	221.36	8.82	44.84	12.58	
0.00	215.23	8.56	43.59	4.81	
0.00	206.45	8.20	41.97	0.17	
0.00	197.16	7.87	39.88	0.03	
0.00	186.07	7.42	37.68	0.02	
