gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	4.79	-17.71	-10.26	23.05	-49.16	-8.22	-178.07	8.52	41.02	96.12	20.10	-5.53	81.85	-20.41	1.38	70.51	94.92	-76.88	-0.05	-5.20	-2.85	0.03	0.06	
2.00	-18.31	-11.29	2.78	147.28	29.10	-43.01	-176.06	7.07	40.65	83.58	14.79	-4.04	86.39	-20.86	5.84	65.37	86.51	-74.30	-2.39	-5.30	-2.63	0.03	0.03	
3.00	-24.46	-28.20	-2.63	-122.12	-111.13	18.49	-177.28	4.77	39.65	74.33	18.22	-4.29	64.61	-30.64	0.01	61.67	90.14	-70.39	-5.64	-5.52	-2.70	0.03	0.01	
4.00	-21.14	-20.39	10.53	254.61	265.26	32.92	-159.65	-4.23	38.51	68.39	9.81	-1.12	107.87	-19.01	0.90	57.64	84.87	-64.30	-9.60	-4.96	-2.43	0.03	0.02	
5.00	-20.00	-14.52	-2.45	-28.47	5.22	13.05	-155.80	-7.83	36.98	59.85	8.34	-2.45	78.46	-17.16	-5.35	53.44	85.56	-55.49	-14.70	-4.67	-1.82	0.03	0.01	
6.00	-13.34	-16.26	6.16	202.38	156.18	-49.94	-132.81	-13.45	32.44	55.00	5.09	-1.54	89.17	-12.77	3.03	46.64	74.35	-42.80	-19.61	-4.03	-1.65	0.04	0.04	
7.00	-49.81	-2.99	4.80	24.58	-6.95	22.08	-110.79	-15.46	26.96	46.19	-1.05	1.25	26.28	-3.77	2.73	34.25	75.94	-26.81	-27.87	-2.36	-1.81	0.04	0.04	
8.00	-41.19	-10.89	1.18	12.35	71.87	35.38	-79.38	-21.28	19.97	36.73	-15.36	8.09	25.85	-6.64	4.93	16.23	77.24	-7.98	-39.95	-1.69	-2.94	0.10	0.01	
9.00	-23.33	2.32	-17.05	-61.65	-56.30	-29.85	-51.08	-16.00	12.02	14.83	-33.77	14.76	23.90	2.35	-3.45	2.93	61.37	-4.67	-52.95	-1.13	-4.46	0.04	0.04	
10.00	-5.89	-2.85	-12.76	-10.53	-27.23	5.78	-22.66	-11.38	6.88	14.85	-30.86	11.92	14.78	11.27	-3.87	1.47	48.08	-1.72	-63.50	0.41	-4.51	0.02	0.03	
11.00	-40.33	11.38	-1.72	3.96	86.02	-8.37	-7.86	-2.25	3.86	-6.86	-39.23	9.38	2.09	14.91	4.59	-4.23	21.49	2.20	-69.90	0.89	-3.08	0.05	0.06	
12.00	-7.34	-5.81	-8.35	-10.21	-23.16	13.61	-3.70	-6.94	2.09	1.08	-33.95	6.04	9.30	12.60	0.08	-6.43	16.67	1.60	-74.92	-0.50	-1.57	0.05	0.03	
13.00	-2.68	4.51	-14.38	13.08	-40.99	-8.70	10.20	-10.47	0.65	-5.73	-48.57	7.39	5.75	15.98	-1.06	-2.53	0.53	0.49	-78.16	-1.00	0.70	0.02	0.03	
14.00	-17.87	8.53	-4.33	7.54	8.31	-7.36	12.74	-6.40	1.18	-14.46	-52.89	4.97	4.02	14.54	3.60	-1.02	-14.20	1.16	-80.33	-0.21	3.07	0.04	0.03	
15.00	-31.75	3.48	-5.04	43.15	-85.65	28.03	13.66	-6.87	1.09	-16.62	-52.48	3.94	-14.56	16.49	-0.42	1.95	-24.86	1.29	-81.49	-0.24	5.82	0.04	0.03	
16.00	-14.08	6.68	-7.92	39.43	-68.46	-7.42	21.47	-6.90	0.19	-20.46	-54.89	6.31	-1.05	19.11	3.10	4.79	-30.35	1.37	-80.40	-0.14	7.92	0.04	0.03	
