gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-4.57	2.88	1.09	-0.06	1.05	0.04	23.04	-3.51	-12.52	-9.70	8.57	16.14	0.00	-5.12	1.55	2.59	-28.48	-4.23	6.05	0.00	-18.18	-3.00	-11.32	
2.00	-4.26	2.78	1.04	-0.06	1.05	0.04	22.76	-3.32	-12.94	-9.66	7.76	15.53	0.00	-4.80	1.41	2.53	-31.09	-4.47	6.22	0.00	-18.44	-2.75	-10.79	
3.00	-3.91	2.61	1.00	-0.06	1.05	0.04	22.47	-3.09	-13.19	-10.03	6.35	14.45	0.00	-4.42	1.18	2.45	-33.90	-4.61	6.47	0.00	-18.72	-2.44	-10.21	
4.00	-3.52	2.42	0.98	-0.06	1.05	0.05	22.16	-2.87	-13.26	-10.84	4.37	13.02	0.00	-3.97	0.90	2.37	-36.87	-4.68	6.78	0.00	-19.04	-2.08	-9.58	
5.00	-3.11	2.21	0.99	-0.06	1.04	0.05	21.84	-2.68	-13.12	-12.11	2.20	11.43	0.00	-3.48	0.60	2.31	-39.97	-4.68	7.14	0.00	-19.38	-1.72	-8.92	
6.00	-2.67	1.94	0.98	-0.06	1.04	0.05	21.55	-2.46	-12.63	-13.95	1.45	10.13	0.00	-2.92	0.22	2.22	-43.17	-4.48	7.60	0.00	-19.75	-1.30	-8.17	
7.00	-2.26	1.46	0.91	-0.05	1.03	0.05	21.50	-1.97	-11.94	-16.43	3.56	9.28	0.00	-2.19	-0.43	2.05	-46.52	-3.98	8.25	0.00	-20.13	-0.66	-7.22	
8.00	-1.92	0.81	0.81	-0.06	1.03	0.05	21.78	-1.28	-11.21	-19.44	6.40	8.71	0.00	-1.27	-1.26	1.88	-49.97	-3.26	9.00	0.00	-20.51	0.15	-6.14	
9.00	-1.65	0.07	0.66	-0.06	1.02	0.05	22.37	-0.52	-10.50	-22.83	9.12	8.34	0.00	-0.16	-2.14	1.79	-53.48	-2.33	9.82	0.00	-20.91	1.06	-4.95	
10.00	-1.42	-0.64	0.48	-0.06	1.02	0.05	23.17	0.16	-9.87	-26.39	11.25	8.12	0.00	1.09	-2.90	1.82	-56.96	-1.24	10.64	0.00	-21.34	1.94	-3.71	
11.00	-1.15	-1.13	0.40	-0.06	1.02	0.05	23.83	0.47	-9.75	-29.78	13.35	8.37	0.00	2.36	-3.34	2.10	-60.23	-0.16	11.38	0.00	-21.85	2.59	-2.63	
12.00	-0.87	-1.44	0.38	-0.06	1.01	0.05	24.21	0.52	-9.90	-32.82	15.57	9.14	0.00	3.61	-3.57	2.47	-63.28	0.90	12.11	0.00	-22.38	3.04	-1.71	
13.00	-0.63	-1.67	0.39	-0.06	1.01	0.05	24.33	0.44	-10.23	-35.39	17.79	10.15	0.00	4.90	-3.68	2.85	-66.13	1.96	12.86	0.00	-22.85	3.37	-0.84	
14.00	-0.46	-1.91	0.38	-0.06	1.00	0.05	24.22	0.38	-10.70	-37.39	19.93	11.18	0.00	6.27	-3.82	3.16	-68.80	3.05	13.63	0.00	-23.20	3.69	0.05	
15.00	-0.38	-2.23	0.32	-0.06	1.00	0.05	23.90	0.47	-11.23	-38.81	21.85	12.10	0.00	7.74	-4.09	3.35	-71.25	4.11	14.37	0.00	-23.39	4.07	1.02	
16.00	-0.42	-2.62	0.18	-0.06	1.00	0.05	23.51	0.70	-11.62	-39.85	23.58	12.90	0.00	9.35	-4.45	3.42	-73.50	5.13	15.01	0.00	-23.44	4.52	2.07	
17.00	-0.55	-3.02	-0.03	-0.07	0.99	0.05	23.13	0.98	-11.83	-40.64	25.09	13.62	0.00	11.07	-4.82	3.38	-75.51	6.05	15.46	0.00	-23.37	4.96	3.18	
18.00	-0.77	-3.34	-0.39	-0.07	0.99	0.05	22.78	1.25	-11.74	-41.26	26.38	14.25	0.00	12.84	-5.12	3.18	-77.23	6.85	15.64	0.00	-23.21	5.32	4.42	
19.00	-0.96	-3.63	-0.80	-0.07	0.99	0.05	22.31	1.50	-11.57	-41.72	27.46	14.85	0.00	14.49	-5.41	2.87	-78.60	7.53	15.57	0.00	-23.09	5.60	5.74	
20.00	-1.23	-3.70	-1.41	-0.07	0.99	0.05	21.95	1.57	-11.02	-42.10	28.26	15.39	0.00	16.17	-5.42	2.36	-79.57	8.10	15.06	0.00	-22.92	5.69	7.22	
21.00	-1.50	-3.67	-2.02	-0.07	0.99	0.05	21.48	1.53	-10.47	-42.29	28.93	15.96	0.00	17.75	-5.33	1.81	-80.19	8.64	14.40	0.00	-22.76	5.63	8.66	
22.00	-1.69	-3.59	-2.53	-0.07	0.99	0.05	20.78	1.42	-10.09	-42.23	29.49	16.58	0.00	19.18	-5.26	1.28	-80.48	9.15	13.68	0.00	-22.64	5.47	9.99	
23.00	-1.88	-3.42	-3.11	-0.07	0.99	0.05	19.98	1.21	-9.61	-41.92	29.89	17.20	0.00	20.51	-5.10	0.66	-80.42	9.64	12.83	0.00	-22.51	5.18	11.31	
24.00	-2.04	-3.22	-3.64	-0.07	0.99	0.05	18.97	0.99	-9.16	-41.28	30.12	17.78	0.00	21.70	-4.96	0.04	-80.01	10.10	11.98	0.00	-22.38	4.81	12.57	
25.00	-2.16	-3.07	-4.06	-0.07	0.99	0.05	17.73	0.85	-8.88	-40.33	30.17	18.27	0.00	22.77	-4.96	-0.48	-79.31	10.56	11.21	0.00	-22.25	4.45	13.72	
26.00	-2.31	-2.89	-4.48	-0.07	1.00	0.05	16.46	0.70	-8.51	-39.18	30.04	18.63	0.00	23.79	-4.93	-1.02	-78.32	10.95	10.41	0.00	-22.08	4.05	14.85	
27.00	-2.50	-2.69	-4.88	-0.07	1.00	0.05	15.14	0.55	-8.09	-37.83	29.72	18.85	0.00	24.75	-4.89	-1.55	-77.03	11.29	9.60	0.00	-21.84	3.64	15.92	
28.00	-2.71	-2.49	-5.23	-0.07	1.00	0.05	13.77	0.43	-7.65	-36.31	29.20	18.93	0.00	25.63	-4.85	-2.05	-75.44	11.52	8.77	0.00	-21.56	3.23	16.92	
29.00	-2.93	-2.29	-5.51	-0.07	1.01	0.05	12.33	0.32	-7.25	-34.61	28.46	18.88	0.00	26.44	-4.81	-2.49	-73.56	11.61	7.90	0.00	-21.23	2.82	17.81	
30.00	-3.17	-2.07	-5.74	-0.07	1.01	0.05	10.85	0.18	-6.83	-32.79	27.48	18.71	0.00	27.16	-4.73	-2.92	-71.41	11.63	7.02	0.00	-20.85	2.39	18.62	
31.00	-3.42	-1.81	-5.95	-0.07	1.02	0.05	9.35	-0.00	-6.41	-30.88	26.26	18.44	0.00	27.77	-4.60	-3.31	-69.00	11.60	6.20	0.00	-20.43	1.93	19.33	
32.00	-3.68	-1.51	-6.13	-0.07	1.02	0.05	7.86	-0.24	-6.00	-28.93	24.81	18.07	0.00	28.25	-4.39	-3.65	-66.31	11.55	5.50	0.00	-19.99	1.46	19.96	
33.00	-3.96	-1.19	-6.28	-0.07	1.02	0.05	6.41	-0.53	-5.63	-27.00	23.14	17.63	0.00	28.63	-4.12	-3.93	-63.38	11.44	4.86	0.00	-19.51	0.98	20.50	
34.00	-4.25	-0.87	-6.40	-0.07	1.03	0.05	5.00	-0.84	-5.32	-25.13	21.28	17.12	0.00	28.92	-3.82	-4.13	-60.23	11.26	4.27	0.00	-19.03	0.51	20.96	
35.00	-4.53	-0.57	-6.49	-0.07	1.03	0.05	3.66	-1.15	-5.09	-23.34	19.28	16.57	0.00	29.11	-3.50	-4.23	-56.88	11.02	3.75	0.00	-18.54	0.08	21.33	
36.00	-4.81	-0.30	-6.53	-0.07	1.04	0.04	2.39	-1.44	-4.95	-21.69	17.15	16.02	0.00	29.20	-3.19	-4.23	-53.37	10.75	3.30	0.00	-18.06	-0.29	21.62	
37.00	-5.08	-0.08	-6.55	-0.07	1.04	0.04	1.18	-1.72	-4.89	-20.19	14.92	15.50	0.00	29.18	-2.90	-4.10	-49.70	10.44	2.92	0.00	-17.60	-0.60	21.85	
38.00	-5.33	0.09	-6.54	-0.07	1.04	0.04	0.05	-1.96	-4.90	-18.87	12.64	15.01	0.00	29.04	-2.62	-3.85	-45.90	10.10	2.63	0.00	-17.16	-0.82	22.01	
39.00	-5.55	0.19	-6.52	-0.07	1.05	0.04	-1.00	-2.18	-4.96	-17.73	10.35	14.56	0.00	28.79	-2.38	-3.47	-42.02	9.77	2.47	0.00	-16.76	-0.96	22.14	
40.00	-5.76	0.24	-6.47	-0.07	1.05	0.04	-1.99	-2.34	-5.03	-16.79	8.10	14.14	0.00	28.45	-2.21	-2.94	-38.13	9.50	2.48	0.00	-16.38	-1.02	22.21	
41.00	-5.94	0.21	-6.41	-0.07	1.05	0.04	-2.87	-2.43	-5.05	-16.07	5.97	13.76	0.00	28.04	-2.11	-2.30	-34.29	9.30	2.62	0.00	-16.03	-0.99	22.25	
42.00	-6.11	0.12	-6.35	-0.06	1.05	0.04	-3.67	-2.46	-4.99	-15.59	4.00	13.37	0.00	27.59	-2.10	-1.58	-30.55	9.15	2.81	0.00	-15.71	-0.89	22.26	
43.00	-6.27	-0.04	-6.29	-0.06	1.06	0.04	-4.35	-2.41	-4.83	-15.36	2.24	12.93	0.00	27.11	-2.19	-0.82	-26.98	9.04	2.97	0.00	-15.42	-0.72	22.26	
44.00	-6.40	-0.26	-6.23	-0.06	1.06	0.04	-4.93	-2.29	-4.56	-15.41	0.72	12.44	0.00	26.64	-2.37	-0.09	-23.64	8.98	3.09	0.00	-15.16	-0.49	22.23	
45.00	-6.51	-0.53	-6.18	-0.06	1.06	0.03	-5.35	-2.10	-4.19	-15.82	-0.52	11.89	0.00	26.20	-2.64	0.56	-20.65	8.96	3.09	0.00	-14.93	-0.23	22.16	
46.00	-6.61	-0.81	-6.16	-0.06	1.06	0.03	-5.63	-1.89	-3.74	-16.56	-1.51	11.30	0.00	25.82	-2.95	1.07	-18.03	8.95	2.92	0.00	-14.73	0.03	22.07	
47.00	-6.65	-1.09	-6.10	-0.06	1.06	0.03	-5.79	-1.66	-3.36	-17.69	-2.26	10.72	0.00	25.48	-3.27	1.38	-15.88	8.90	2.56	0.00	-14.58	0.24	21.90	
48.00	-6.62	-1.33	-6.03	-0.06	1.06	0.03	-5.87	-1.45	-3.02	-19.14	-2.79	10.17	0.00	25.17	-3.56	1.48	-14.17	8.83	2.09	0.00	-14.50	0.36	21.63	
49.00	-6.53	-1.50	-5.98	-0.06	1.06	0.03	-5.82	-1.33	-2.67	-20.97	-3.13	9.66	0.00	24.88	-3.75	1.34	-12.93	8.77	1.60	0.00	-14.48	0.38	21.31	
50.00	-6.37	-1.57	-5.94	-0.06	1.05	0.03	-5.68	-1.30	-2.32	-23.13	-3.32	9.22	0.00	24.60	-3.84	1.01	-12.13	8.74	1.29	0.00	-14.53	0.27	20.91	
51.00	-6.15	-1.54	-5.93	-0.06	1.05	0.03	-5.42	-1.41	-1.96	-25.61	-3.36	8.81	0.00	24.33	-3.79	0.50	-11.77	8.57	1.23	0.00	-14.65	0.04	20.44	
52.00	-5.82	-1.39	-5.87	-0.05	1.05	0.03	-5.13	-1.63	-1.70	-28.36	-3.27	8.48	0.00	24.03	-3.61	-0.08	-11.82	8.05	1.46	0.00	-14.87	-0.35	19.83	
53.00	-5.42	-1.13	-5.78	-0.05	1.05	0.03	-4.79	-1.98	-1.50	-31.36	-3.06	8.21	0.00	23.71	-3.30	-0.65	-12.27	6.91	1.90	0.00	-15.17	-0.87	19.09	
54.00	-4.98	-0.79	-5.71	-0.05	1.04	0.03	-4.35	-2.43	-1.28	-34.59	-2.73	8.01	0.00	23.37	-2.89	-1.15	-13.15	5.15	2.37	0.00	-15.52	-1.47	18.28	
55.00	-4.49	-0.41	-5.60	-0.05	1.04	0.03	-3.90	-2.92	-1.12	-37.96	-2.33	7.83	0.00	23.01	-2.44	-1.59	-14.46	3.65	2.85	0.00	-15.94	-2.12	17.36	
56.00	-4.01	0.05	-5.53	-0.05	1.04	0.03	-3.28	-3.49	-0.88	-41.50	-1.84	7.67	0.00	22.73	-1.89	-2.01	-16.27	3.84	3.15	0.00	-16.38	-2.84	16.40	
57.00	-3.56	0.59	-5.44	-0.05	1.03	0.03	-2.51	-4.11	-0.61	-45.17	-1.29	7.48	0.00	22.64	-1.27	-2.46	-18.58	5.73	3.56	0.00	-16.84	-3.64	15.34	
58.00	-3.15	1.19	-5.27	-0.05	1.03	0.03	-1.60	-4.74	-0.38	-48.93	-0.66	7.29	0.00	22.82	-0.62	-2.98	-21.38	8.38	4.45	0.00	-17.34	-4.54	14.12	
59.00	-2.76	1.85	-5.08	-0.05	1.02	0.03	-0.54	-5.38	-0.12	-52.72	0.10	7.12	0.00	23.18	0.02	-3.53	-24.40	10.73	5.57	0.00	-17.89	-5.51	12.81	
60.00	-2.47	2.54	-5.00	-0.05	1.02	0.03	0.76	-6.00	0.41	-56.52	0.98	7.03	0.00	23.68	0.62	-4.12	-27.39	12.72	6.57	0.00	-18.43	-6.48	11.53	
61.00	-2.29	3.18	-5.02	-0.05	1.02	0.03	2.29	-6.47	1.17	-60.23	1.94	7.05	0.00	24.18	1.08	-4.76	-30.19	14.61	7.60	0.00	-18.93	-7.35	10.31	
62.00	-2.19	3.68	-5.10	-0.06	1.01	0.03	3.95	-6.74	2.05	-63.76	2.96	7.19	0.00	24.59	1.36	-5.46	-32.68	16.47	8.75	0.00	-19.36	-8.06	9.17	
63.00	-2.13	4.04	-5.07	-0.06	1.01	0.03	5.58	-6.81	2.73	-67.02	4.02	7.37	0.00	24.81	1.45	-6.19	-34.83	18.31	10.09	0.00	-19.77	-8.59	7.97	
64.00	-2.07	4.34	-4.88	-0.06	1.00	0.03	7.14	-6.82	3.14	-69.99	5.07	7.62	0.00	24.81	1.48	-6.90	-36.61	20.09	11.49	0.00	-20.15	-9.02	6.66	
65.00	-2.00	4.62	-4.56	-0.06	1.00	0.03	8.64	-6.86	3.28	-72.67	6.04	7.97	0.00	24.58	1.56	-7.54	-37.98	21.76	12.87	0.00	-20.49	-9.40	5.22	
66.00	-1.96	4.93	-4.18	-0.06	1.00	0.03	10.15	-6.98	3.28	-75.05	6.92	8.33	0.00	24.17	1.71	-8.09	-39.00	23.28	14.11	0.00	-20.77	-9.74	3.74	
67.00	-1.94	5.22	-3.76	-0.06	1.00	0.03	11.64	-7.13	3.16	-77.09	7.70	8.68	0.00	23.61	1.90	-8.48	-39.69	24.62	15.21	0.00	-20.98	-10.03	2.23	
68.00	-1.94	5.47	-3.32	-0.06	0.99	0.03	13.10	-7.27	2.94	-78.75	8.35	8.98	0.00	22.93	2.10	-8.73	-40.11	25.75	16.18	0.00	-21.17	-10.25	0.72	
69.00	-1.94	5.66	-2.84	-0.06	0.99	0.03	14.50	-7.36	2.59	-80.04	8.89	9.16	0.00	22.14	2.25	-8.82	-40.32	26.68	17.05	0.00	-21.35	-10.39	-0.79	
70.00	-1.94	5.75	-2.30	-0.07	0.99	0.03	15.81	-7.37	2.11	-80.94	9.41	9.26	0.00	21.27	2.33	-8.75	-40.37	27.43	17.85	0.00	-21.55	-10.43	-2.28	
71.00	-1.95	5.76	-1.82	-0.07	0.99	0.03	17.11	-7.30	1.67	-81.46	9.89	9.33	0.00	20.33	2.35	-8.59	-40.23	27.99	18.48	0.00	-21.71	-10.35	-3.63	
72.00	-1.96	5.69	-1.36	-0.07	1.00	0.03	18.31	-7.17	1.18	-81.62	10.37	9.36	0.00	19.26	2.32	-8.34	-39.88	28.40	19.01	0.00	-21.86	-10.16	-4.89	
73.00	-1.94	5.53	-0.87	-0.07	1.00	0.03	19.36	-6.97	0.58	-81.40	10.86	9.31	0.00	18.04	2.19	-8.00	-39.32	28.67	19.51	0.00	-22.02	-9.88	-6.08	
74.00	-1.92	5.31	-0.41	-0.07	1.00	0.03	20.32	-6.74	-0.05	-80.80	11.33	9.23	0.00	16.71	2.03	-7.58	-38.50	28.75	19.86	0.00	-22.14	-9.51	-7.17	
75.00	-1.91	5.08	-0.00	-0.07	1.00	0.03	21.24	-6.52	-0.65	-79.87	11.76	9.14	0.00	15.29	1.91	-7.07	-37.45	28.58	19.98	0.00	-22.23	-9.10	-8.15	
76.00	-1.88	4.80	0.47	-0.07	1.01	0.03	21.97	-6.31	-1.41	-78.61	12.16	8.98	0.00	13.75	1.72	-6.46	-36.23	28.24	20.03	0.00	-22.31	-8.64	-9.12	
77.00	-1.84	4.47	0.97	-0.07	1.01	0.03	22.55	-6.09	-2.29	-77.02	12.51	8.77	0.00	12.13	1.50	-5.77	-34.87	27.69	19.96	0.00	-22.37	-8.13	-10.06	
78.00	-1.91	4.21	1.28	-0.07	1.01	0.03	23.28	-5.96	-2.91	-75.20	12.77	8.62	0.00	10.59	1.46	-5.00	-33.32	26.79	19.40	0.00	-22.31	-7.62	-10.78	
79.00	-2.02	3.94	1.55	-0.07	1.02	0.03	23.94	-5.82	-3.52	-73.08	12.95	8.43	0.00	9.07	1.41	-4.16	-31.70	25.65	18.65	0.00	-22.18	-7.09	-11.41	
80.00	-2.18	3.63	1.79	-0.07	1.02	0.03	24.55	-5.65	-4.13	-70.66	13.04	8.21	0.00	7.61	1.32	-3.29	-30.05	24.30	17.73	0.00	-21.98	-6.52	-11.96	
81.00	-2.37	3.29	2.02	-0.07	1.03	0.03	25.08	-5.45	-4.76	-67.96	13.03	7.92	0.00	6.21	1.19	-2.41	-28.41	22.76	16.71	0.00	-21.74	-5.93	-12.45	
82.00	-2.60	2.93	2.22	-0.07	1.03	0.03	25.53	-5.19	-5.38	-64.97	12.88	7.58	0.00	4.87	0.99	-1.58	-26.81	21.06	15.66	0.00	-21.45	-5.31	-12.88	
83.00	-2.86	2.57	2.40	-0.07	1.03	0.03	25.90	-4.92	-5.98	-61.70	12.59	7.24	0.00	3.62	0.75	-0.81	-25.29	19.21	14.61	0.00	-21.13	-4.71	-13.23	
84.00	-3.12	2.22	2.53	-0.07	1.04	0.03	26.16	-4.64	-6.55	-58.21	12.23	6.92	0.00	2.44	0.50	-0.15	-23.87	17.26	13.57	0.00	-20.79	-4.14	-13.51	
85.00	-3.38	1.90	2.61	-0.07	1.04	0.03	26.33	-4.35	-7.09	-54.54	11.81	6.64	0.00	1.32	0.24	0.41	-22.56	15.27	12.58	0.00	-20.44	-3.61	-13.71	
86.00	-3.64	1.62	2.65	-0.07	1.04	0.03	26.40	-4.07	-7.60	-50.67	11.32	6.44	0.00	0.29	-0.00	0.86	-21.41	13.27	11.66	0.00	-20.10	-3.14	-13.84	
87.00	-3.89	1.38	2.64	-0.07	1.05	0.03	26.38	-3.80	-8.06	-46.66	10.79	6.36	0.00	-0.67	-0.21	1.21	-20.41	11.26	10.80	0.00	-19.75	-2.73	-13.92	
88.00	-4.13	1.23	2.58	-0.07	1.05	0.03	26.27	-3.58	-8.46	-42.57	10.27	6.47	0.00	-1.54	-0.35	1.48	-19.59	9.30	10.03	0.00	-19.43	-2.44	-13.94	
89.00	-4.35	1.17	2.50	-0.07	1.05	0.03	26.10	-3.43	-8.83	-38.49	9.77	6.78	0.00	-2.34	-0.40	1.72	-18.95	7.40	9.32	0.00	-19.12	-2.25	-13.93	
90.00	-4.56	1.19	2.38	-0.06	1.06	0.03	25.88	-3.33	-9.17	-34.44	9.30	7.32	0.00	-3.07	-0.37	1.94	-18.49	5.59	8.68	0.00	-18.84	-2.17	-13.89	
91.00	-4.75	1.29	2.24	-0.06	1.06	0.03	25.62	-3.30	-9.50	-30.48	8.89	8.13	0.00	-3.71	-0.25	2.12	-18.24	3.90	8.10	0.00	-18.57	-2.19	-13.81	
92.00	-4.92	1.47	2.09	-0.06	1.06	0.03	25.33	-3.31	-9.83	-26.70	8.57	9.21	0.00	-4.25	-0.06	2.29	-18.27	2.38	7.57	0.00	-18.33	-2.29	-13.70	
93.00	-5.05	1.69	1.91	-0.06	1.06	0.04	25.03	-3.37	-10.16	-23.17	8.34	10.48	0.00	-4.69	0.18	2.42	-18.54	1.02	7.07	0.00	-18.13	-2.45	-13.55	
94.00	-5.15	1.93	1.74	-0.06	1.06	0.04	24.73	-3.44	-10.49	-19.95	8.19	11.86	0.00	-5.04	0.46	2.52	-19.06	-0.21	6.63	0.00	-17.97	-2.64	-13.36	
95.00	-5.20	2.19	1.57	-0.06	1.06	0.04	24.44	-3.53	-10.83	-17.07	8.14	13.24	0.00	-5.29	0.74	2.59	-19.86	-1.29	6.25	0.00	-17.85	-2.83	-13.12	
96.00	-5.20	2.42	1.41	-0.06	1.06	0.04	24.17	-3.61	-11.15	-14.69	8.20	14.45	0.00	-5.43	1.00	2.64	-21.00	-2.21	5.99	0.00	-17.79	-3.00	-12.86	
97.00	-5.12	2.61	1.27	-0.06	1.06	0.04	23.90	-3.64	-11.44	-12.84	8.35	15.33	0.00	-5.46	1.22	2.65	-22.49	-2.92	5.83	0.00	-17.80	-3.11	-12.53	
98.00	-4.99	2.75	1.14	-0.06	1.06	0.04	23.63	-3.63	-11.74	-11.42	8.51	15.91	0.00	-5.41	1.37	2.63	-24.26	-3.48	5.74	0.00	-17.88	-3.15	-12.15	
99.00	-4.79	2.83	1.03	-0.06	1.06	0.04	23.36	-3.58	-12.08	-10.42	8.63	16.18	0.00	-5.28	1.45	2.59	-26.30	-3.91	5.74	0.00	-18.01	-3.11	-11.73	
100.00	-4.54	2.85	0.94	-0.06	1.05	0.04	23.08	-3.48	-12.47	-9.84	8.61	16.17	0.00	-5.08	1.46	2.55	-28.59	-4.25	5.80	0.00	-18.20	-3.00	-11.27	
