gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	0.86	0.65	1.24	0.05	0.00	0.02	1.12	0.95	1.72	1.86	1.24	1.59	0.00	1.10	1.01	0.98	2.15	2.08	2.01	0.00	0.83	0.97	1.53	
0.00	0.87	0.65	1.23	0.05	0.00	0.02	1.13	0.96	1.68	1.90	1.41	1.63	0.00	1.12	1.00	0.99	2.26	2.05	2.00	0.00	0.83	0.96	1.55	
0.00	0.88	0.66	1.21	0.05	0.00	0.02	1.14	0.97	1.60	1.95	1.57	1.70	0.00	1.14	1.00	1.00	2.34	2.06	2.00	0.00	0.84	0.96	1.56	
0.00	0.89	0.68	1.21	0.05	0.00	0.02	1.16	0.97	1.50	1.99	1.68	1.71	0.00	1.16	1.01	1.02	2.39	2.09	2.00	0.00	0.85	0.97	1.59	
0.00	0.89	0.69	1.21	0.05	0.00	0.02	1.18	0.97	1.40	2.02	1.61	1.66	0.00	1.17	1.03	1.03	2.42	2.18	2.01	0.00	0.86	0.97	1.62	
0.00	0.90	0.71	1.20	0.05	0.00	0.02	1.19	0.96	1.33	2.07	1.42	1.48	0.00	1.20	1.05	1.07	2.44	2.37	2.06	0.00	0.88	0.97	1.64	
0.00	0.89	0.73	1.19	0.05	0.00	0.02	1.18	0.96	1.27	2.17	1.96	1.28	0.00	1.24	1.07	1.09	2.46	2.70	2.17	0.00	0.89	0.96	1.68	
0.00	0.88	0.76	1.18	0.05	0.00	0.02	1.19	0.98	1.21	2.29	2.16	1.17	0.00	1.28	1.11	1.12	2.46	3.07	2.29	0.00	0.90	0.97	1.70	
0.00	0.88	0.80	1.19	0.05	0.00	0.02	1.22	1.01	1.21	2.34	2.00	1.15	0.00	1.34	1.15	1.15	2.45	3.37	2.38	0.00	0.92	0.99	1.72	
0.00	0.88	0.85	1.26	0.05	0.00	0.02	1.27	1.05	1.32	2.28	1.85	1.14	0.00	1.42	1.28	1.20	2.39	3.52	2.44	0.00	0.92	1.02	1.75	
0.00	0.89	0.86	1.28	0.05	0.00	0.02	1.30	1.05	1.39	2.20	1.84	1.12	0.00	1.44	1.33	1.22	2.30	3.50	2.41	0.00	0.92	1.00	1.74	
