gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	266.10	10.57	53.77	0.01	
0.00	242.22	9.63	49.00	0.01	
0.00	214.78	8.55	43.47	0.02	
0.00	184.75	7.37	37.40	0.03	
0.00	153.12	6.12	31.01	0.03	
0.00	121.16	4.84	24.55	0.03	
0.00	91.24	3.66	18.52	0.04	
0.00	64.86	2.62	13.20	0.04	
0.00	43.03	1.75	8.78	0.04	
0.00	27.05	1.12	5.56	0.05	
0.00	17.34	0.72	3.59	0.06	
0.00	12.16	0.47	2.54	0.06	
0.00	10.00	0.37	2.15	0.06	
0.00	9.39	0.37	2.11	0.06	
0.00	9.41	0.36	2.13	0.07	
0.00	9.55	0.34	2.15	0.09	
0.00	9.65	0.33	2.16	0.10	
0.00	9.63	0.33	2.16	0.13	
0.00	9.44	0.32	2.16	0.26	
0.00	9.23	0.30	2.12	0.48	
0.00	9.02	0.28	2.04	0.76	
0.00	8.78	0.26	1.96	1.09	
0.00	8.50	0.26	1.85	1.57	
0.00	8.20	0.26	1.71	2.15	
0.00	7.87	0.25	1.58	2.73	
0.00	7.49	0.26	1.46	3.25	
0.00	7.10	0.26	1.28	3.72	
0.00	6.56	0.26	1.16	4.20	
0.00	5.93	0.25	1.03	4.72	
0.00	5.38	0.24	0.90	5.24	
0.00	4.80	0.24	0.83	5.73	
0.00	4.34	0.22	0.72	6.15	
0.00	3.87	0.20	0.63	6.46	
0.00	3.37	0.18	0.51	6.64	
0.00	2.81	0.17	0.39	6.75	
0.00	2.30	0.16	0.31	6.82	
0.00	1.94	0.14	0.25	6.88	
0.00	1.68	0.13	0.21	7.08	
0.00	1.43	0.11	0.18	7.71	
0.00	0.93	0.09	0.18	9.09	
0.00	0.33	0.05	0.12	11.39	
0.00	0.02	0.02	0.02	14.17	
0.00	0.00	0.00	0.00	15.80	
0.00	0.01	0.00	0.00	14.45	
0.00	0.46	0.02	0.08	11.37	
0.00	3.50	0.14	0.68	17.85	
0.00	13.12	0.53	2.63	26.03	
0.00	25.24	1.01	5.13	23.82	
0.00	31.66	1.29	6.50	12.09	
0.00	35.34	1.45	7.24	6.97	
0.00	48.08	1.94	9.82	12.69	
0.00	56.66	2.28	11.53	22.59	
0.00	75.22	3.01	15.30	26.89	
0.00	120.22	4.78	24.39	27.91	
0.00	181.91	7.23	36.85	16.10	
0.00	235.07	9.34	47.55	3.64	
0.00	275.73	10.97	55.77	0.00	
0.00	306.69	12.20	62.00	0.00	
0.00	330.98	13.17	66.94	0.00	
0.00	347.63	13.85	70.39	0.00	
0.00	355.50	14.16	71.97	0.00	
0.00	355.17	14.14	71.87	0.00	
0.00	348.01	13.86	70.45	0.00	
0.00	336.44	13.40	68.13	0.00	
0.00	321.64	12.81	65.09	0.00	
0.00	306.70	12.22	62.07	0.00	
0.00	292.27	11.64	59.15	0.00	
0.00	278.60	11.10	56.38	0.00	
0.00	264.79	10.55	53.59	0.00	
0.00	250.32	9.97	50.66	0.00	
0.00	235.10	9.36	47.57	0.00	
0.00	219.13	8.73	44.34	0.00	
0.00	202.64	8.07	41.00	0.00	
0.00	185.41	7.39	37.52	0.00	
0.00	169.07	6.74	34.21	0.00	
0.00	155.04	6.18	31.37	0.00	
0.00	144.07	5.74	29.15	0.00	
0.00	136.38	5.43	27.59	0.00	
0.00	131.76	5.25	26.65	0.00	
0.00	129.65	5.16	26.24	0.00	
0.00	129.74	5.17	26.26	0.00	
0.00	131.99	5.26	26.73	0.00	
0.00	136.66	5.44	27.69	0.00	
0.00	144.81	5.76	29.30	0.00	
0.00	157.03	6.24	31.73	0.00	
0.00	173.75	6.91	35.15	0.00	
0.00	194.82	7.76	39.46	0.00	
0.00	218.58	8.71	44.26	0.00	
0.00	242.70	9.67	49.12	0.00	
0.00	265.38	10.57	53.72	0.00	
0.00	284.73	11.34	57.66	0.00	
0.00	298.84	11.89	60.41	0.00	
0.00	308.21	12.26	62.28	0.00	
0.00	313.45	12.47	63.37	0.00	
0.00	315.02	12.53	63.69	0.00	
0.00	312.70	12.42	63.16	0.00	
0.00	306.55	12.18	61.98	0.01	
0.00	297.06	11.81	60.10	0.01	
0.00	283.91	11.28	57.42	0.01	
0.00	266.77	10.60	53.90	0.01	
