gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	138.21	274.83	203.73	381.07	632.65	1839.60	38.71	76.79	5.82	20.13	59.78	7.56	39.45	118.75	16.86	5.91	5.70	0.39	1.71	0.53	0.93	0.02	0.06	
0.00	62.70	121.66	84.95	153.97	288.92	740.53	19.84	34.68	3.26	11.60	24.23	3.59	27.54	56.65	10.86	5.67	6.57	0.26	2.91	0.30	1.79	0.02	0.04	
0.00	62.80	100.47	76.84	168.47	295.77	683.75	18.51	28.46	3.01	18.30	19.77	3.54	25.79	47.26	8.33	3.97	7.45	0.24	3.98	0.30	2.17	0.01	0.03	
0.00	83.06	131.42	114.32	250.85	395.64	997.63	28.67	39.52	5.28	23.51	26.99	4.61	32.27	60.69	13.75	6.91	8.66	1.05	4.82	0.47	2.17	0.02	0.06	
0.00	222.77	349.48	294.04	556.99	1024.00	2576.09	57.83	105.08	10.53	36.56	67.51	9.01	54.79	156.37	18.37	10.84	16.97	4.01	7.70	0.94	2.45	0.03	0.28	
0.00	149.20	219.35	178.88	309.73	638.54	1559.28	33.26	67.76	5.99	24.14	42.42	6.04	43.85	97.34	10.44	6.80	11.85	5.49	6.30	0.55	2.69	0.01	0.11	
0.00	114.41	184.71	154.36	271.15	546.97	1281.34	26.31	55.64	5.40	16.85	36.21	4.94	36.49	89.67	11.43	4.92	11.38	6.54	9.72	0.47	3.44	0.01	0.14	
0.00	193.59	281.99	232.94	386.69	855.31	1993.98	41.59	89.35	7.05	29.06	59.15	7.96	58.22	123.36	20.37	8.54	15.60	7.19	12.24	0.53	4.44	0.03	0.18	
0.00	298.85	398.06	332.39	552.13	1294.96	2790.44	43.50	128.65	7.52	46.37	73.46	11.36	78.28	173.22	21.62	9.26	10.02	7.40	10.13	0.61	5.06	0.02	0.09	
0.00	226.46	301.80	254.02	445.26	997.50	2190.71	35.90	92.25	6.65	31.53	50.88	7.84	65.25	137.85	14.89	5.29	11.37	6.77	12.33	0.65	5.71	0.01	0.02	
0.00	235.37	298.00	260.01	468.22	1033.24	2240.62	37.91	96.83	7.05	23.11	51.94	8.83	71.20	128.66	18.25	5.33	13.51	6.31	12.95	0.67	6.02	0.01	0.03	
0.00	406.11	469.64	436.07	766.81	1698.54	3732.59	71.72	153.49	13.32	53.01	76.92	13.11	108.98	201.98	25.58	7.48	14.35	5.85	12.06	1.19	6.13	0.02	0.03	
0.00	213.18	267.38	223.63	488.94	949.83	1977.13	44.14	78.77	8.57	34.85	39.47	9.98	84.44	133.81	23.41	5.19	9.33	5.43	11.84	0.78	6.13	0.02	0.02	
0.00	80.51	97.12	73.48	179.35	325.46	631.46	15.80	27.39	2.70	15.26	14.81	9.43	52.47	54.48	15.52	2.50	9.48	5.85	11.24	0.29	6.33	0.01	0.01	
0.00	103.21	77.47	75.49	190.55	298.19	623.02	15.67	24.56	3.62	19.29	16.05	9.32	57.22	38.39	12.85	2.99	10.49	5.91	11.03	0.35	6.79	0.01	0.01	
0.00	127.07	108.08	93.02	216.89	364.57	754.36	15.82	33.30	3.74	17.01	22.06	9.29	72.52	54.75	14.74	2.99	9.41	6.06	10.85	0.44	7.16	0.01	0.01	
0.00	135.84	127.98	121.78	317.26	437.82	1054.32	23.24	42.17	4.99	23.22	20.43	8.80	55.53	60.08	12.61	2.97	10.89	6.28	10.02	0.55	7.44	0.01	0.01	
0.00	98.73	105.16	95.94	229.80	330.94	816.11	17.15	33.92	3.90	18.06	20.86	9.25	40.90	48.75	13.56	3.64	12.13	5.91	9.11	0.56	7.55	0.02	0.01	
0.00	147.68	180.85	153.48	373.99	564.01	1377.13	22.53	58.70	5.21	20.66	32.47	9.67	46.48	79.44	12.86	3.88	12.75	5.53	8.59	0.79	7.47	0.02	0.02	
