gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-1.45	-6.47	3.65	0.12	0.62	0.05	82.79	-5.99	-12.33	-109.61	33.26	11.74	0.00	13.95	-14.09	9.40	-115.20	27.06	17.41	0.00	-21.91	10.73	2.53	
2.00	-1.14	-6.46	3.26	0.11	0.65	0.05	80.23	-5.22	-12.08	-104.73	30.87	11.32	0.00	13.97	-14.12	8.31	-112.31	27.34	17.21	0.00	-21.86	10.56	3.08	
3.00	-1.52	-6.53	3.74	0.09	0.67	0.04	77.82	-5.40	-12.15	-98.98	28.22	11.12	0.00	14.99	-13.81	8.16	-108.94	27.67	17.60	0.00	-20.64	10.71	2.81	
4.00	-0.76	-5.79	3.10	0.07	0.71	0.04	74.10	-4.61	-11.14	-91.88	24.50	10.63	0.00	14.10	-13.00	6.42	-104.27	27.83	17.92	0.00	-21.04	9.35	3.51	
5.00	-0.48	-5.16	3.10	0.05	0.74	0.03	70.14	-4.47	-10.51	-83.38	20.06	10.15	0.00	13.79	-12.18	5.18	-99.13	28.40	18.30	0.00	-20.57	8.18	3.62	
6.00	0.02	-4.09	2.96	0.02	0.78	0.03	65.23	-4.53	-9.56	-73.07	14.65	9.75	0.00	12.81	-11.01	3.31	-92.89	28.85	18.55	0.00	-20.47	6.37	3.73	
7.00	0.94	-2.59	2.49	-0.01	0.82	0.02	58.90	-4.66	-8.65	-60.43	8.46	9.27	0.00	10.72	-9.33	0.85	-85.14	28.81	18.92	0.00	-21.02	3.98	3.97	
8.00	1.14	-0.99	2.92	-0.04	0.86	0.01	51.79	-5.97	-9.03	-45.46	2.53	9.84	0.00	8.81	-7.14	-0.39	-75.88	28.78	19.64	0.00	-20.64	1.81	3.09	
9.00	1.22	0.80	3.48	-0.07	0.90	0.00	44.41	-7.52	-10.08	-30.79	3.16	11.54	0.00	6.01	-4.63	-1.36	-65.20	28.61	19.96	0.00	-20.16	-0.51	1.90	
10.00	1.12	2.12	3.84	-0.10	0.94	-0.01	38.36	-8.81	-12.12	-19.69	3.98	8.48	0.00	2.86	-2.18	-1.52	-53.81	27.51	19.05	0.00	-19.59	-2.13	0.97	
11.00	0.72	2.60	4.35	-0.13	0.97	-0.02	34.32	-9.76	-13.94	-14.56	3.15	4.52	0.00	0.46	-0.35	-0.53	-43.31	25.51	16.79	0.00	-18.85	-2.64	-0.09	
12.00	0.24	2.10	4.76	-0.16	0.99	-0.03	32.10	-9.96	-14.12	-15.95	5.26	5.63	0.00	-1.50	0.13	0.23	-34.06	23.90	14.91	0.00	-18.12	-2.18	-0.66	
13.00	0.09	1.23	4.76	-0.19	1.01	-0.03	30.50	-9.49	-13.22	-21.16	8.34	8.93	0.00	-3.76	-0.06	0.81	-25.43	22.22	13.25	0.00	-17.71	-1.44	-0.71	
14.00	-0.06	0.37	4.59	-0.22	1.02	-0.03	29.36	-8.93	-12.08	-28.66	9.57	8.87	0.00	-5.45	-0.35	1.54	-18.57	20.46	11.33	0.00	-17.29	-0.69	-0.53	
