gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	45.18	45.63	22.03	105.18	223.08	159.05	8.92	26.28	2.30	18.78	14.95	2.32	34.20	17.93	9.83	6.38	5.94	2.03	0.69	1.36	0.32	0.06	0.03	
0.00	31.05	29.68	17.00	76.25	140.17	120.75	11.73	17.64	3.05	12.41	10.56	1.80	22.43	11.56	7.95	6.94	4.99	3.07	0.42	1.50	0.17	0.03	0.02	
0.00	27.76	19.38	12.97	67.70	170.43	84.17	17.58	9.35	2.41	11.46	5.96	1.12	23.28	10.43	6.18	8.22	4.69	3.56	0.22	1.67	0.15	0.03	0.01	
0.00	29.10	22.70	13.00	67.64	123.90	94.02	13.71	11.83	2.53	10.10	7.24	1.41	27.75	11.15	7.27	8.03	3.65	4.32	0.24	1.56	0.18	0.04	0.01	
0.00	48.39	31.56	22.43	122.09	250.84	130.68	26.56	15.54	3.35	25.91	8.48	1.76	30.64	15.37	11.54	18.97	11.74	7.19	0.42	1.78	0.19	0.23	0.03	
0.00	67.03	26.18	20.49	111.18	209.08	138.54	25.12	14.91	2.66	35.84	7.22	1.88	45.56	15.72	13.59	12.47	20.08	5.16	0.61	1.94	0.26	0.14	0.07	
0.00	53.27	22.35	14.02	87.87	128.15	94.41	13.67	10.30	3.59	25.00	5.31	1.70	31.47	17.11	8.09	10.16	15.79	9.68	0.52	2.27	0.22	0.17	0.05	
0.00	44.50	21.26	12.79	81.05	108.04	86.76	15.39	16.24	4.82	18.98	4.89	1.30	28.67	17.38	7.98	13.07	12.19	10.41	0.43	2.72	0.17	0.12	0.04	
0.00	61.99	23.59	19.67	111.51	135.65	135.44	16.46	18.63	5.39	30.02	7.38	1.85	38.68	17.83	11.50	13.08	19.66	8.45	0.54	3.29	0.24	0.06	0.07	
0.00	65.09	38.87	26.92	147.72	237.32	175.70	32.55	12.90	6.49	26.51	9.16	2.63	42.14	27.47	17.22	9.55	19.99	10.78	0.73	4.10	0.29	0.04	0.07	
0.00	47.50	33.23	23.81	92.06	161.02	124.07	14.99	9.38	6.17	16.92	9.81	2.86	44.46	25.32	15.54	14.47	14.14	10.27	0.64	4.13	0.22	0.02	0.05	
0.00	61.64	33.02	13.38	129.96	150.82	83.14	12.99	9.11	5.75	11.24	7.11	2.08	56.14	25.63	12.02	11.71	8.02	10.20	0.44	4.41	0.18	0.01	0.03	
0.00	61.49	31.19	16.63	111.07	136.86	95.67	12.66	8.48	6.07	10.99	6.38	2.02	52.88	25.45	15.61	10.53	9.60	10.29	0.43	4.72	0.19	0.01	0.03	
