gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-58.09	-3.70	-1.20	14.04	43.10	7.69	-16.94	-27.31	-4.46	-11.79	-12.78	-1.03	0.71	9.41	3.52	-15.27	-13.90	-25.08	-27.77	-10.51	2.60	0.03	0.03	
2.00	-28.46	-10.72	-6.12	12.27	-98.58	-25.22	-14.50	-24.25	-4.16	-9.21	-9.66	-0.73	5.02	2.56	-0.67	-15.36	-13.62	-25.48	-27.92	-10.25	2.95	0.03	0.04	
3.00	-42.42	-13.32	-1.08	11.04	3.87	5.69	-15.40	-26.41	-3.58	-10.59	-9.39	-1.01	4.69	2.51	-0.68	-15.41	-12.77	-25.50	-28.09	-9.82	3.14	0.03	0.03	
4.00	-39.94	-14.46	-6.86	-19.47	-41.83	-15.46	-17.54	-24.96	-3.34	-10.95	-9.86	-0.38	4.22	-0.27	-2.88	-15.55	-12.39	-25.47	-28.13	-9.47	3.47	0.03	0.03	
5.00	-41.22	-17.51	-4.48	28.73	-24.99	-2.23	-17.60	-25.75	-3.25	-8.28	-9.04	0.01	-0.51	-2.50	-2.43	-16.11	-11.52	-25.02	-27.63	-9.49	3.72	0.03	0.03	
6.00	-35.70	-19.26	-5.25	18.51	-36.76	1.47	-16.84	-24.28	-3.25	-6.96	-7.49	-0.15	-0.42	-3.52	-3.04	-15.77	-9.92	-24.50	-26.90	-9.45	3.61	0.03	0.03	
7.00	-71.90	-2.59	-6.55	-12.29	-39.89	-0.78	-20.05	-22.61	-3.27	-11.68	-7.60	0.17	-24.39	9.62	0.52	-15.19	-10.57	-23.69	-25.91	-9.42	3.26	0.03	0.03	
8.00	-49.84	-15.79	-6.96	-27.29	-36.67	-14.81	-20.99	-23.26	-3.17	-12.09	-7.72	0.29	-7.01	-3.34	-1.59	-14.72	-10.02	-22.86	-24.88	-9.39	2.94	0.03	0.03	
9.00	-49.82	-11.28	-5.87	30.02	-18.71	9.70	-20.47	-24.57	-2.90	-9.78	-7.63	-0.04	-9.64	1.93	-2.36	-14.27	-9.01	-21.97	-23.98	-9.37	2.65	0.03	0.03	
10.00	-65.87	-1.71	-0.55	34.14	18.05	25.62	-21.74	-24.69	-2.33	-12.86	-7.52	0.43	-19.78	8.21	4.18	-13.50	-9.02	-20.95	-23.07	-9.38	2.31	0.04	0.03	
11.00	-42.81	-4.91	0.44	32.86	-46.76	-3.13	-22.55	-22.89	-2.43	-11.42	-8.47	0.84	-6.04	2.37	6.30	-12.68	-8.80	-20.04	-21.80	-9.47	1.78	0.03	0.03	
12.00	-48.45	-11.29	-3.44	36.37	9.09	0.60	-21.41	-24.79	-2.15	-12.54	-9.29	0.20	-7.92	-1.22	0.81	-11.16	-7.29	-18.98	-20.23	-9.50	1.14	0.03	0.03	
13.00	-42.07	-2.36	-15.18	58.46	-11.72	-25.34	-23.36	-23.45	-1.42	-9.77	-10.26	1.04	-6.53	4.28	-5.75	-10.27	-6.18	-17.86	-18.77	-9.33	0.62	0.03	0.03	
14.00	-57.99	-6.68	-10.49	79.10	27.28	7.99	-23.96	-25.25	-1.07	-10.92	-9.78	0.94	-15.90	1.91	-5.88	-8.92	-4.86	-16.55	-17.34	-9.26	0.06	0.03	0.03	
15.00	-59.42	-16.49	-10.87	53.16	-30.39	-33.57	-25.53	-24.17	-1.05	-14.92	-12.04	1.58	-17.76	-12.10	-3.57	-7.33	-3.84	-15.33	-16.18	-9.53	-0.28	0.03	0.03	
16.00	-55.68	-15.70	-0.06	25.20	22.15	21.34	-27.36	-27.18	-0.80	-15.94	-10.86	1.59	-8.63	-7.05	3.87	-6.44	-2.67	-14.12	-15.06	-9.78	-0.57	0.03	0.03	
17.00	-56.42	-14.64	0.42	67.14	-82.34	20.54	-24.31	-26.46	-0.00	-15.39	-13.13	2.00	-21.36	-8.37	2.67	-5.10	-1.16	-13.12	-14.16	-9.82	-0.91	0.03	0.03	
18.00	-27.66	-8.61	-8.14	33.53	23.26	10.69	-27.99	-27.21	0.53	-15.03	-13.42	2.09	14.27	-2.37	-2.61	-3.76	-0.79	-12.14	-13.08	-9.94	-1.39	0.03	0.03	
