gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	35.80	10.62	10.68	116.41	91.13	51.47	8.00	5.99	4.85	27.74	5.87	2.09	22.11	15.35	13.95	8.33	11.63	16.27	5.87	3.92	1.91	0.00	0.09	
0.00	44.59	27.26	13.58	391.57	144.33	103.71	7.78	7.12	3.18	11.27	8.34	4.81	61.49	21.76	14.41	8.92	11.75	18.09	5.30	3.73	2.12	0.01	0.03	
0.00	39.91	46.38	14.00	183.92	128.27	46.75	5.04	9.83	3.20	20.39	11.58	5.17	37.24	32.06	7.48	9.59	10.58	18.98	6.51	3.80	1.79	0.00	0.03	
0.00	74.48	61.10	41.77	734.09	783.80	92.94	20.07	17.16	2.94	16.42	11.66	3.89	121.92	27.83	25.98	11.33	8.62	19.43	7.16	4.12	1.87	0.01	0.01	
0.00	55.71	13.83	23.47	91.07	143.16	115.03	13.61	11.85	2.41	17.95	10.48	4.96	54.17	10.36	14.17	11.29	17.41	20.64	8.62	4.92	1.93	0.01	0.05	
0.00	102.17	54.92	43.71	372.69	403.96	125.94	30.29	10.17	4.88	8.60	8.59	4.60	76.92	26.35	23.71	12.51	17.69	21.55	8.80	5.37	1.72	0.02	0.06	
0.00	35.78	16.86	12.04	123.66	141.24	35.46	40.70	5.99	7.67	18.49	6.69	5.20	38.83	10.21	7.93	18.58	8.73	17.56	10.60	3.73	1.84	0.02	0.02	
0.00	54.26	13.31	27.02	111.45	126.76	50.65	41.56	11.69	10.53	15.35	12.65	6.81	33.12	10.45	22.16	25.97	13.52	17.82	14.55	2.45	2.47	0.06	0.04	
0.00	37.08	22.58	20.45	85.03	107.48	52.92	46.94	11.97	11.89	21.71	22.99	6.85	40.97	24.03	20.37	27.44	15.45	13.47	19.44	2.20	2.87	0.06	0.02	
0.00	23.03	10.91	10.70	58.14	83.53	47.02	45.63	9.51	10.50	19.36	13.49	4.84	21.31	25.65	6.25	19.00	23.42	5.81	19.76	2.78	2.19	0.03	0.01	
