gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	345.85	13.80	70.07	0.01	
2.00	345.33	13.79	69.96	0.01	
3.00	338.87	13.53	68.69	0.01	
4.00	331.68	13.23	67.22	0.01	
5.00	323.63	12.92	65.59	0.01	
6.00	312.34	12.49	63.37	0.01	
7.00	299.16	11.96	60.70	0.01	
8.00	285.38	11.41	57.88	0.01	
9.00	270.08	10.77	54.74	0.01	
10.00	251.81	10.05	51.07	0.01	
11.00	230.66	9.19	46.71	0.02	
12.00	207.36	8.31	41.93	0.05	
13.00	184.16	7.38	37.28	0.91	
14.00	162.87	6.52	32.94	3.39	
15.00	143.84	5.75	29.17	8.48	
16.00	127.81	5.11	25.93	12.76	
17.00	112.71	4.52	22.92	15.07	
18.00	96.00	3.86	19.52	15.80	
19.00	82.48	3.33	16.77	15.71	
20.00	73.60	2.97	15.01	15.12	
21.00	67.23	2.71	13.69	14.01	
22.00	66.81	2.68	13.58	11.07	
23.00	74.13	3.01	15.07	5.64	
24.00	88.47	3.60	17.94	0.75	
25.00	113.95	4.58	23.17	0.03	
26.00	145.57	5.89	29.59	0.02	
27.00	179.91	7.24	36.55	0.02	
28.00	216.62	8.68	43.96	0.01	
29.00	255.52	10.22	51.83	0.01	
30.00	297.65	11.89	60.29	0.01	
31.00	342.05	13.64	69.29	0.01	
32.00	386.72	15.41	78.33	0.00	
33.00	429.14	17.10	86.92	0.00	
34.00	472.10	18.82	95.65	0.00	
35.00	517.82	20.63	104.89	0.00	
36.00	562.11	22.40	113.85	0.00	
37.00	604.53	24.08	122.42	0.00	
38.00	645.18	25.70	130.61	0.00	
39.00	684.73	27.27	138.60	0.00	
40.00	724.01	28.83	146.56	0.00	
41.00	761.83	30.32	154.10	0.00	
42.00	800.66	31.87	161.95	0.00	
43.00	840.55	33.47	170.15	0.00	
44.00	875.16	34.84	177.03	0.00	
45.00	902.11	35.93	182.63	0.00	
46.00	925.80	36.87	187.44	0.00	
47.00	949.45	37.80	192.18	0.00	
48.00	966.28	38.46	195.45	0.00	
49.00	972.30	38.72	196.80	0.00	
50.00	969.92	38.60	196.09	0.00	
51.00	960.39	38.24	194.33	0.00	
52.00	947.82	37.74	191.84	0.00	
53.00	935.65	37.25	189.31	0.00	
54.00	923.55	36.76	186.84	0.00	
55.00	908.06	36.15	183.67	0.00	
56.00	888.00	35.36	179.76	0.00	
57.00	867.25	34.53	175.55	0.00	
58.00	846.72	33.73	171.44	0.00	
59.00	823.12	32.77	166.56	0.00	
60.00	795.42	31.68	161.02	0.00	
61.00	766.16	30.51	155.09	0.00	
62.00	732.31	29.16	148.23	0.00	
63.00	691.31	27.54	139.97	0.00	
64.00	648.91	25.85	131.39	0.00	
65.00	606.39	24.16	122.81	0.00	
66.00	561.37	22.37	113.70	0.00	
67.00	514.80	20.52	104.24	0.01	
68.00	466.19	18.58	94.48	0.01	
69.00	415.01	16.55	84.10	0.02	
70.00	363.14	14.48	73.46	0.32	
71.00	314.25	12.55	63.69	2.80	
72.00	265.69	10.61	53.86	5.47	
73.00	216.08	8.64	43.84	7.70	
74.00	170.08	6.82	34.51	9.31	
75.00	131.35	5.28	26.67	10.49	
76.00	98.96	3.99	20.16	11.61	
77.00	72.98	2.96	14.84	13.32	
78.00	53.21	2.15	10.76	16.63	
79.00	38.08	1.53	7.65	20.60	
80.00	27.76	1.16	5.65	25.28	
81.00	23.48	0.98	4.81	30.57	
82.00	23.60	0.98	4.83	33.83	
83.00	25.77	1.06	5.27	36.91	
84.00	28.59	1.17	5.84	41.78	
85.00	31.95	1.30	6.52	47.35	
86.00	35.78	1.45	7.29	50.85	
87.00	41.27	1.67	8.39	50.17	
88.00	48.92	1.96	9.92	47.09	
89.00	55.71	2.23	11.29	42.65	
90.00	63.79	2.56	12.88	37.85	
91.00	76.67	3.05	15.55	32.13	
92.00	93.24	3.75	18.95	25.95	
93.00	114.75	4.62	23.33	23.23	
94.00	136.60	5.50	27.77	20.24	
95.00	153.05	6.15	31.07	15.91	
96.00	162.19	6.52	32.95	11.33	
97.00	169.03	6.79	34.33	6.96	
98.00	178.89	7.18	36.27	3.18	
99.00	190.78	7.64	38.64	1.61	
100.00	200.90	8.04	40.71	0.85	
