gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1369.38	54.53	277.19	0.00	
2.00	1350.73	53.80	273.41	0.00	
3.00	1299.07	51.73	262.81	0.00	
4.00	1208.88	48.16	244.79	0.00	
5.00	1066.68	42.46	215.72	3.10	
6.00	870.02	34.62	175.92	21.68	
7.00	565.58	22.53	114.54	27.84	
8.00	235.94	9.45	47.84	20.99	
9.00	124.41	4.95	25.20	66.90	
10.00	54.80	2.21	11.00	19.88	
11.00	2.59	0.15	0.47	35.69	
12.00	4.41	0.17	0.89	47.55	
13.00	4.24	0.20	0.63	13.51	
14.00	6.63	0.24	1.30	12.43	
15.00	0.01	0.01	0.01	15.72	
16.00	0.00	0.01	0.00	17.53	
17.00	0.00	0.00	0.00	19.59	
18.00	4.33	0.16	0.86	17.47	
19.00	52.31	2.11	10.63	15.44	
20.00	141.85	5.66	28.73	10.65	
21.00	221.84	8.84	44.91	8.15	
22.00	263.65	10.56	53.51	4.77	
23.00	295.42	11.77	59.84	14.51	
24.00	389.95	15.55	78.97	15.90	
25.00	492.37	19.62	99.72	18.06	
26.00	595.41	23.71	120.53	19.11	
27.00	710.29	28.29	143.79	17.59	
28.00	842.98	33.56	170.55	16.56	
29.00	921.42	36.68	186.47	17.10	
30.00	939.38	37.40	190.04	14.83	
31.00	960.05	38.21	194.29	14.09	
32.00	944.43	37.57	190.88	13.55	
33.00	911.84	36.30	184.47	11.05	
34.00	938.19	37.34	189.82	5.62	
35.00	1004.48	39.97	203.15	0.01	
36.00	1135.42	45.20	229.65	0.00	
37.00	1251.31	49.84	253.30	0.00	
38.00	1324.51	52.76	268.27	0.00	
39.00	1333.10	53.07	269.67	0.00	
40.00	1371.89	54.61	277.55	0.00	
41.00	1472.84	58.62	297.94	0.00	
42.00	1592.93	63.42	322.33	0.00	
43.00	1644.34	65.47	332.75	0.00	
44.00	1687.65	67.18	341.47	0.00	
45.00	1769.84	70.45	358.11	0.00	
46.00	1790.75	71.29	362.35	0.00	
47.00	1765.53	70.29	357.22	0.00	
48.00	1749.55	69.65	353.96	0.00	
49.00	1765.61	70.31	357.24	0.00	
50.00	1791.55	71.32	362.50	0.00	
51.00	1794.98	71.45	363.18	0.00	
52.00	1810.23	72.07	366.24	0.00	
53.00	1821.72	72.54	368.59	0.00	
54.00	1852.32	73.76	374.81	0.00	
55.00	1875.04	74.64	379.40	0.00	
56.00	1873.97	74.60	379.12	0.00	
57.00	1880.88	74.86	380.56	0.00	
58.00	1867.04	74.35	377.79	0.00	
59.00	1817.70	72.36	367.79	0.00	
60.00	1742.54	69.38	352.61	0.00	
61.00	1693.88	67.44	342.72	0.00	
62.00	1694.93	67.48	342.98	0.00	
63.00	1729.31	68.84	349.85	0.00	
64.00	1738.44	69.19	351.71	0.00	
65.00	1712.32	68.15	346.38	0.00	
66.00	1666.14	66.33	336.98	0.00	
67.00	1593.02	63.42	322.33	0.00	
68.00	1502.57	59.83	304.04	0.00	
69.00	1418.33	56.47	287.04	0.00	
70.00	1347.02	53.64	272.62	0.00	
71.00	1239.02	49.36	251.00	0.00	
72.00	1107.26	44.09	224.09	0.00	
73.00	986.27	39.28	199.63	0.00	
74.00	842.06	33.52	170.31	0.00	
75.00	691.64	27.52	139.77	0.00	
76.00	599.19	23.88	121.29	0.00	
77.00	558.15	22.24	112.99	0.00	
78.00	543.86	21.68	110.15	0.01	
79.00	491.35	19.60	99.48	0.03	
80.00	339.07	13.54	68.69	0.35	
81.00	171.58	6.85	34.72	2.31	
82.00	76.64	3.08	15.36	6.37	
83.00	24.92	1.07	5.10	9.03	
84.00	2.46	0.11	0.49	12.13	
85.00	0.35	0.05	0.08	16.29	
86.00	0.00	0.00	0.00	18.76	
87.00	0.00	0.00	0.00	23.88	
88.00	0.12	0.01	0.02	27.50	
89.00	0.00	0.00	0.00	46.07	
90.00	3.62	0.16	0.65	57.50	
91.00	59.43	2.40	11.91	82.80	
92.00	182.07	7.26	36.86	72.62	
93.00	435.70	17.35	88.18	50.49	
94.00	697.66	27.80	141.31	20.31	
95.00	928.84	36.97	188.05	0.01	
96.00	1104.11	43.96	223.39	0.00	
97.00	1209.50	48.17	244.82	0.00	
98.00	1304.26	51.91	263.89	0.00	
99.00	1350.25	53.79	273.57	0.00	
100.00	1347.54	53.67	272.84	0.00	
