gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	116.77	4.64	23.66	0.01	
0.00	115.92	4.59	23.49	0.01	
0.00	115.08	4.58	23.36	0.01	
0.00	119.54	4.75	24.19	0.01	
0.00	126.07	5.00	25.46	0.01	
0.00	128.50	5.11	26.02	0.01	
0.00	128.17	5.09	25.93	0.01	
0.00	130.10	5.14	26.29	0.01	
0.00	134.16	5.34	27.11	0.01	
0.00	136.98	5.46	27.76	0.01	
0.00	139.65	5.58	28.31	0.02	
0.00	139.40	5.51	28.35	0.10	
0.00	134.97	5.37	27.37	2.48	
0.00	127.90	5.11	26.00	7.22	
0.00	116.03	4.64	23.50	15.52	
0.00	103.42	4.14	20.95	23.64	
0.00	90.75	3.65	18.41	28.20	
0.00	77.96	3.15	15.82	29.90	
0.00	67.77	2.73	13.75	29.87	
0.00	60.38	2.45	12.32	28.69	
0.00	58.77	2.37	11.95	26.30	
0.00	64.77	2.62	13.13	20.52	
0.00	74.66	3.01	15.15	10.29	
0.00	81.83	3.24	16.61	1.49	
0.00	82.76	3.31	16.76	0.02	
0.00	83.74	3.29	16.90	0.01	
0.00	86.96	3.43	17.52	0.01	
0.00	88.60	3.50	17.85	0.01	
0.00	89.15	3.55	18.08	0.01	
0.00	92.87	3.67	18.79	0.01	
0.00	98.06	3.90	19.84	0.00	
0.00	105.40	4.19	21.31	0.00	
0.00	115.79	4.61	23.43	0.00	
0.00	129.83	5.16	26.27	0.00	
0.00	140.95	5.60	28.48	0.00	
0.00	146.46	5.82	29.58	0.00	
0.00	154.67	6.15	31.29	0.00	
0.00	169.55	6.74	34.29	0.00	
0.00	186.86	7.44	37.81	0.00	
0.00	203.64	8.11	41.20	0.00	
0.00	217.44	8.63	43.75	0.00	
0.00	226.30	8.98	45.57	0.00	
0.00	229.99	9.16	46.55	0.00	
0.00	231.44	9.17	46.52	0.00	
0.00	231.90	9.23	46.88	0.00	
0.00	234.07	9.31	47.34	0.00	
0.00	238.24	9.47	48.16	0.00	
0.00	240.82	9.58	48.63	0.00	
0.00	237.52	9.45	48.03	0.00	
0.00	231.30	9.17	46.45	0.00	
0.00	228.21	9.07	46.02	0.00	
0.00	228.06	9.08	46.12	0.00	
0.00	227.41	9.04	45.86	0.00	
0.00	228.36	9.08	46.07	0.00	
0.00	229.78	9.13	46.30	0.00	
0.00	227.28	9.04	46.02	0.00	
0.00	222.92	8.86	45.10	0.00	
0.00	222.02	8.85	44.95	0.00	
0.00	225.76	8.97	45.54	0.00	
0.00	228.64	9.11	46.27	0.00	
0.00	229.96	9.15	46.51	0.00	
0.00	231.97	9.23	46.93	0.00	
0.00	235.74	9.37	47.70	0.00	
0.00	237.72	9.46	48.12	0.00	
0.00	234.12	9.30	47.34	0.01	
0.00	225.56	8.96	45.62	0.01	
0.00	215.47	8.55	43.58	0.01	
0.00	205.64	8.22	41.66	0.01	
0.00	194.02	7.74	39.37	0.04	
0.00	179.99	7.15	36.61	0.90	
0.00	161.01	6.41	32.64	7.84	
0.00	139.54	5.56	28.28	15.29	
0.00	117.73	4.68	23.83	21.53	
0.00	95.78	3.81	19.36	26.02	
0.00	76.01	3.04	15.39	29.33	
0.00	61.27	2.48	12.51	32.42	
0.00	52.16	2.10	10.72	35.90	
0.00	46.45	1.88	9.55	39.32	
0.00	43.64	1.76	8.97	42.10	
0.00	39.51	1.61	8.09	43.54	
0.00	35.19	1.48	7.22	44.15	
0.00	35.90	1.51	7.36	46.37	
0.00	40.58	1.68	8.31	48.55	
0.00	47.31	1.94	9.67	50.35	
0.00	55.65	2.26	11.34	52.74	
0.00	63.72	2.57	12.96	55.51	
0.00	73.36	2.97	14.88	56.92	
0.00	87.01	3.49	17.63	56.95	
0.00	99.06	3.94	20.07	56.41	
0.00	106.45	4.24	21.62	53.20	
0.00	116.39	4.64	23.58	48.70	
0.00	131.30	5.24	26.64	47.52	
0.00	148.78	5.93	30.15	44.77	
0.00	169.97	6.75	34.38	38.59	
0.00	188.39	7.49	38.11	29.60	
0.00	194.92	7.76	39.48	20.76	
0.00	188.92	7.51	38.21	12.75	
0.00	181.83	7.22	36.82	6.18	
0.00	177.96	7.07	36.04	4.39	
0.00	174.52	6.95	35.34	2.33	
