gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	30.34	1.23	6.20	16.58	
0.00	33.63	1.38	6.88	6.05	
0.00	38.64	1.57	7.92	17.92	
0.00	42.67	1.72	8.74	30.21	
0.00	44.67	1.80	9.10	37.03	
0.00	83.08	3.32	16.88	32.15	
0.00	151.38	6.02	30.67	19.88	
0.00	218.01	8.67	44.12	9.10	
0.00	271.88	10.82	55.00	0.00	
0.00	307.54	12.24	62.18	0.00	
0.00	323.68	12.89	65.50	0.00	
0.00	326.82	13.02	66.16	0.00	
0.00	320.27	12.76	64.86	0.00	
0.00	305.66	12.17	61.86	0.00	
0.00	284.23	11.32	57.52	0.00	
0.00	262.44	10.45	53.11	0.00	
0.00	242.19	9.64	49.00	0.00	
0.00	223.94	8.91	45.31	0.00	
0.00	207.56	8.26	41.99	0.00	
0.00	193.70	7.71	39.19	0.00	
0.00	181.13	7.21	36.65	0.00	
0.00	170.18	6.77	34.43	0.00	
0.00	161.49	6.42	32.68	0.00	
0.00	155.45	6.19	31.45	0.00	
0.00	151.91	6.05	30.74	0.00	
0.00	150.15	5.97	30.38	0.00	
0.00	149.80	5.96	30.31	0.00	
0.00	149.62	5.96	30.29	0.00	
0.00	148.69	5.92	30.10	0.00	
0.00	147.34	5.87	29.82	0.00	
0.00	147.30	5.87	29.81	0.00	
0.00	150.04	5.98	30.37	0.00	
0.00	157.32	6.26	31.84	0.00	
0.00	169.63	6.75	34.32	0.00	
0.00	184.71	7.35	37.33	0.00	
0.00	199.07	7.93	40.30	0.00	
0.00	209.09	8.33	42.34	0.00	
0.00	209.37	8.33	42.32	0.00	
0.00	199.20	7.92	40.26	0.00	
0.00	179.16	7.13	36.24	0.00	
0.00	152.02	6.05	30.75	0.00	
0.00	121.01	4.81	24.50	0.00	
0.00	91.16	3.62	18.45	0.01	
0.00	66.72	2.64	13.47	0.01	
0.00	50.40	2.00	10.17	0.01	
0.00	41.14	1.64	8.32	0.01	
0.00	36.06	1.45	7.34	0.02	
0.00	32.22	1.33	6.61	0.03	
0.00	27.81	1.16	5.71	0.05	
0.00	22.77	0.94	4.72	0.07	
0.00	17.93	0.72	3.78	0.10	
0.00	14.21	0.53	3.06	0.17	
0.00	11.68	0.41	2.60	0.29	
0.00	10.31	0.34	2.34	0.38	
0.00	9.71	0.31	2.20	0.45	
0.00	9.56	0.30	2.15	0.44	
0.00	9.54	0.30	2.14	0.41	
0.00	9.55	0.30	2.14	0.36	
0.00	9.51	0.30	2.13	0.30	
0.00	9.32	0.29	2.14	0.24	
0.00	9.10	0.29	2.12	0.16	
0.00	8.90	0.28	2.08	0.12	
0.00	8.72	0.27	2.07	0.10	
0.00	8.62	0.26	2.06	0.11	
0.00	8.57	0.26	2.05	0.11	
0.00	8.49	0.26	2.02	0.12	
0.00	8.39	0.25	1.98	0.13	
0.00	8.24	0.23	1.93	0.14	
0.00	8.04	0.22	1.85	0.17	
0.00	7.79	0.21	1.78	0.30	
0.00	7.54	0.20	1.67	0.54	
0.00	7.30	0.21	1.55	0.87	
0.00	7.00	0.22	1.39	1.35	
0.00	6.54	0.22	1.19	2.02	
0.00	5.93	0.22	1.03	2.84	
0.00	5.31	0.22	0.83	3.71	
0.00	4.74	0.22	0.63	4.52	
0.00	4.05	0.22	0.52	5.22	
0.00	3.39	0.20	0.40	5.84	
0.00	2.75	0.18	0.33	6.36	
0.00	2.17	0.16	0.29	6.71	
0.00	1.61	0.13	0.25	6.81	
0.00	0.98	0.11	0.21	6.75	
0.00	0.47	0.08	0.19	6.62	
0.00	0.18	0.06	0.15	6.42	
0.00	0.10	0.05	0.10	6.23	
0.00	0.10	0.04	0.09	6.11	
0.00	0.09	0.04	0.08	6.05	
0.00	0.07	0.04	0.07	6.06	
0.00	0.05	0.03	0.05	6.14	
0.00	0.03	0.02	0.03	6.44	
0.00	0.01	0.01	0.01	7.18	
0.00	0.00	0.00	0.00	8.64	
0.00	0.00	0.00	0.00	10.36	
0.00	0.00	0.00	0.00	11.29	
0.00	0.00	0.00	0.00	9.00	
0.00	0.54	0.02	0.11	9.93	
0.00	4.39	0.18	0.87	20.89	
0.00	12.92	0.52	2.59	26.85	
0.00	30.33	1.23	6.19	17.61	
