gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	13.77	0.57	2.60	1.64	
2.00	5.44	0.27	1.03	25.23	
3.00	0.00	0.00	0.00	133.27	
4.00	0.00	0.00	0.00	168.35	
5.00	0.00	0.00	0.00	167.74	
6.00	0.00	0.00	0.00	165.93	
7.00	0.00	0.00	0.00	162.13	
8.00	0.00	0.00	0.00	152.94	
9.00	0.30	0.02	0.06	141.14	
10.00	5.07	0.21	1.01	132.38	
11.00	12.91	0.53	2.64	121.35	
12.00	21.25	0.86	4.30	109.44	
13.00	31.14	1.25	6.33	100.06	
14.00	40.72	1.64	8.27	89.31	
15.00	50.98	2.04	10.34	79.00	
16.00	60.21	2.41	12.21	68.36	
17.00	69.80	2.78	14.14	58.61	
18.00	80.90	3.26	16.38	47.32	
19.00	96.67	3.88	19.61	38.91	
20.00	113.20	4.52	22.97	32.33	
21.00	131.66	5.27	26.69	24.26	
22.00	153.34	6.18	31.08	20.96	
23.00	183.64	7.35	37.26	19.78	
24.00	218.51	8.74	44.30	18.25	
25.00	253.43	10.14	51.41	18.04	
26.00	289.03	11.53	58.57	18.24	
27.00	319.30	12.73	64.69	18.25	
28.00	349.68	13.94	70.82	17.81	
29.00	379.40	15.13	76.90	17.05	
30.00	408.91	16.32	82.87	16.15	
31.00	442.06	17.62	89.51	15.76	
32.00	474.29	18.90	96.03	15.17	
33.00	508.43	20.26	102.98	13.53	
34.00	546.59	21.77	110.61	11.50	
35.00	587.36	23.41	118.92	10.17	
36.00	633.19	25.22	128.17	7.21	
37.00	680.19	27.09	137.64	1.27	
38.00	725.93	28.89	146.81	0.00	
39.00	771.19	30.70	156.02	0.00	
40.00	816.93	32.55	165.39	0.00	
41.00	863.12	34.37	174.66	0.00	
42.00	904.17	36.00	182.97	0.00	
43.00	943.14	37.56	190.97	0.00	
44.00	989.02	39.38	200.14	0.00	
45.00	1036.40	41.28	209.89	0.00	
46.00	1080.51	43.02	218.68	0.00	
47.00	1120.31	44.62	226.83	0.00	
48.00	1152.71	45.89	233.24	0.00	
49.00	1183.72	47.13	239.51	0.00	
50.00	1217.19	48.46	246.27	0.00	
51.00	1253.15	49.87	253.43	0.00	
52.00	1282.80	51.07	259.63	0.00	
53.00	1301.15	51.81	263.32	0.00	
54.00	1308.40	52.10	264.88	0.00	
55.00	1301.14	51.80	263.23	0.00	
56.00	1282.58	51.05	259.49	0.00	
57.00	1252.38	49.84	253.19	0.00	
58.00	1209.89	48.16	244.75	0.00	
59.00	1161.61	46.25	235.05	0.00	
60.00	1112.00	44.27	225.15	0.00	
61.00	1063.65	42.33	215.15	0.00	
62.00	1018.43	40.54	206.07	0.00	
63.00	978.22	38.94	197.94	0.00	
64.00	943.37	37.55	190.79	0.00	
65.00	917.40	36.53	185.64	0.00	
66.00	897.19	35.72	181.53	0.00	
67.00	875.54	34.86	177.18	0.00	
68.00	852.29	33.94	172.53	0.00	
69.00	825.40	32.86	167.05	0.00	
70.00	791.26	31.51	160.15	0.00	
71.00	754.21	30.04	152.67	0.00	
72.00	719.84	28.67	145.73	0.00	
73.00	670.70	26.71	135.80	0.00	
74.00	597.79	23.82	121.03	0.00	
75.00	510.50	20.34	103.37	0.01	
76.00	401.20	16.01	81.29	0.68	
77.00	282.21	11.26	57.16	1.63	
78.00	182.34	7.28	36.92	1.95	
79.00	114.25	4.64	22.91	2.79	
80.00	56.49	2.34	11.36	3.71	
81.00	15.06	0.69	3.07	5.94	
82.00	2.18	0.15	0.35	9.76	
83.00	0.03	0.02	0.03	13.11	
84.00	0.00	0.00	0.00	16.76	
85.00	0.00	0.00	0.00	17.90	
86.00	0.00	0.00	0.00	19.77	
87.00	0.00	0.00	0.00	21.57	
88.00	0.00	0.00	0.00	22.05	
89.00	0.00	0.00	0.00	21.82	
90.00	0.00	0.00	0.00	22.53	
91.00	0.00	0.00	0.00	23.17	
92.00	0.00	0.00	0.00	23.83	
93.00	0.00	0.00	0.00	23.84	
94.00	0.00	0.00	0.00	23.66	
95.00	0.00	0.00	0.00	24.08	
96.00	0.00	0.00	0.00	24.42	
97.00	0.00	0.00	0.00	24.80	
98.00	0.00	0.00	0.01	26.29	
99.00	0.48	0.04	0.09	21.10	
100.00	10.95	0.49	2.06	3.19	
