gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	156.13	6.27	31.64	5.80	
2.00	156.99	6.25	31.80	0.13	
3.00	164.02	6.55	33.17	0.04	
4.00	170.75	6.87	34.51	0.52	
5.00	178.39	7.15	36.10	4.26	
6.00	170.74	6.82	34.58	7.15	
7.00	126.58	5.06	25.65	8.29	
8.00	74.43	2.98	15.10	8.61	
9.00	35.80	1.46	7.29	10.22	
10.00	9.17	0.39	1.77	13.84	
11.00	0.42	0.04	0.06	16.44	
12.00	0.00	0.00	0.00	20.01	
13.00	0.00	0.00	0.00	22.03	
14.00	0.00	0.00	0.00	27.17	
15.00	4.02	0.17	0.83	21.18	
16.00	29.08	1.18	5.91	24.75	
17.00	43.91	1.75	8.91	34.90	
18.00	115.29	4.60	23.26	19.74	
19.00	185.34	7.38	37.53	36.17	
20.00	327.18	13.04	66.24	27.37	
21.00	537.85	21.45	108.91	11.23	
22.00	780.43	31.09	158.00	0.42	
23.00	1007.79	40.15	204.08	0.00	
24.00	1185.21	47.19	239.83	0.00	
25.00	1321.93	52.62	267.44	0.00	
26.00	1418.95	56.50	287.15	0.00	
27.00	1511.13	60.16	305.72	0.00	
28.00	1589.00	63.26	321.46	0.00	
29.00	1641.50	65.38	332.22	0.00	
30.00	1672.41	66.59	338.50	0.00	
31.00	1684.42	67.05	340.76	0.00	
32.00	1679.44	66.87	339.83	0.00	
33.00	1671.36	66.55	338.19	0.00	
34.00	1672.88	66.60	338.50	0.00	
35.00	1682.34	66.98	340.43	0.00	
36.00	1696.27	67.52	343.16	0.00	
37.00	1703.82	67.83	344.69	0.00	
38.00	1706.29	67.93	345.24	0.00	
39.00	1716.72	68.37	347.51	0.00	
40.00	1724.02	68.66	349.05	0.00	
41.00	1722.48	68.61	348.79	0.00	
42.00	1727.40	68.75	349.36	0.00	
43.00	1743.75	69.42	352.80	0.00	
44.00	1771.69	70.53	358.44	0.00	
45.00	1811.52	72.12	366.50	0.00	
46.00	1865.80	74.28	377.55	0.00	
47.00	1913.61	76.19	387.24	0.00	
48.00	1950.07	77.64	394.62	0.00	
49.00	1982.18	78.91	401.09	0.00	
50.00	2000.45	79.64	404.78	0.00	
51.00	1997.65	79.53	404.20	0.00	
52.00	1974.24	78.60	399.47	0.00	
53.00	1931.02	76.89	390.71	0.00	
54.00	1865.75	74.28	377.54	0.00	
55.00	1787.59	71.17	361.72	0.00	
56.00	1697.60	67.59	343.49	0.00	
57.00	1586.83	63.19	321.09	0.00	
58.00	1457.55	58.05	295.08	0.00	
59.00	1306.35	52.03	264.49	0.00	
60.00	1132.38	45.07	229.02	0.00	
61.00	948.23	37.77	191.93	0.00	
62.00	771.41	30.72	156.07	3.80	
63.00	620.11	24.70	125.53	15.72	
64.00	488.67	19.47	98.94	20.95	
65.00	373.29	14.88	75.59	23.59	
66.00	266.19	10.65	53.88	26.52	
67.00	180.56	7.21	36.62	30.47	
68.00	110.97	4.45	22.49	33.25	
69.00	63.96	2.58	12.99	43.10	
70.00	43.83	1.76	8.90	55.76	
71.00	39.96	1.60	8.11	69.20	
72.00	39.39	1.57	7.99	69.13	
73.00	36.20	1.45	7.30	63.87	
74.00	22.54	0.94	4.59	52.28	
75.00	10.82	0.44	2.20	40.50	
76.00	0.09	0.01	0.02	42.91	
77.00	0.00	0.00	0.00	49.08	
78.00	0.07	0.02	0.04	25.25	
79.00	5.80	0.25	1.12	17.03	
80.00	3.27	0.13	0.64	18.28	
81.00	0.46	0.05	0.11	19.78	
82.00	0.00	0.00	0.00	21.14	
83.00	0.00	0.00	0.00	19.94	
84.00	0.51	0.04	0.08	17.41	
85.00	3.87	0.18	0.74	16.70	
86.00	11.62	0.46	2.37	16.34	
87.00	29.36	1.19	5.99	15.40	
88.00	49.39	1.98	10.00	14.59	
89.00	55.67	2.23	11.27	12.39	
90.00	64.16	2.57	13.00	9.36	
91.00	82.59	3.35	16.66	5.44	
92.00	114.79	4.61	23.23	6.60	
93.00	155.11	6.23	31.33	6.38	
94.00	193.05	7.72	39.06	0.05	
95.00	205.05	8.21	41.52	2.95	
96.00	215.89	8.63	43.74	12.18	
97.00	223.36	8.96	45.30	10.66	
98.00	225.73	9.04	45.73	10.97	
99.00	231.35	9.27	46.91	10.25	
100.00	230.64	9.23	46.65	10.08	
