gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	4.70	-17.37	-10.06	22.61	-48.21	-8.06	-174.64	8.36	40.23	94.28	19.72	-5.42	80.28	-20.02	1.36	69.16	93.10	-75.40	-0.05	-5.10	-2.80	0.03	0.05	
2.00	-17.96	-11.08	2.72	144.45	28.54	-42.19	-172.68	6.93	39.86	81.97	14.50	-3.96	84.73	-20.46	5.72	64.11	84.84	-72.87	-2.34	-5.20	-2.58	0.03	0.03	
3.00	-23.99	-27.66	-2.58	-119.78	-109.00	18.13	-173.87	4.68	38.89	72.90	17.87	-4.21	63.36	-30.05	0.01	60.49	88.40	-69.04	-5.53	-5.41	-2.65	0.03	0.01	
4.00	-20.73	-20.00	10.33	249.72	260.16	32.28	-156.58	-4.15	37.77	67.08	9.62	-1.09	105.80	-18.64	0.88	56.53	83.24	-63.06	-9.41	-4.87	-2.39	0.03	0.02	
5.00	-19.62	-14.25	-2.41	-27.92	5.12	12.80	-152.80	-7.68	36.27	58.70	8.18	-2.40	76.95	-16.83	-5.25	52.41	83.91	-54.42	-14.42	-4.58	-1.79	0.03	0.01	
6.00	-13.08	-15.95	6.04	198.49	153.17	-48.98	-130.26	-13.19	31.82	53.94	4.99	-1.51	87.45	-12.52	2.97	45.74	72.92	-41.98	-19.23	-3.95	-1.62	0.04	0.04	
7.00	-48.85	-2.94	4.71	24.11	-6.82	21.65	-108.66	-15.16	26.44	45.30	-1.03	1.22	25.77	-3.70	2.68	33.59	74.48	-26.30	-27.33	-2.31	-1.78	0.04	0.04	
8.00	-40.40	-10.68	1.16	12.11	70.49	34.70	-77.85	-20.87	19.58	36.02	-15.06	7.94	25.36	-6.52	4.84	15.91	75.75	-7.83	-39.18	-1.66	-2.88	0.10	0.01	
9.00	-22.88	2.28	-16.72	-60.47	-55.21	-29.28	-50.09	-15.70	11.79	14.55	-33.12	14.48	23.44	2.30	-3.38	2.88	60.19	-4.58	-51.93	-1.10	-4.37	0.04	0.04	
10.00	-5.78	-2.79	-12.51	-10.33	-26.71	5.67	-22.22	-11.16	6.75	14.56	-30.27	11.69	14.49	11.05	-3.80	1.45	47.16	-1.68	-62.28	0.40	-4.42	0.02	0.03	
11.00	-39.56	11.16	-1.69	3.88	84.36	-8.21	-7.71	-2.21	3.78	-6.73	-38.48	9.20	2.05	14.63	4.50	-4.15	21.08	2.16	-68.55	0.88	-3.02	0.05	0.06	
