gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	39.76	1.55	7.95	0.08	
2.00	32.79	1.28	6.50	0.11	
3.00	27.77	1.09	5.45	0.15	
4.00	24.29	0.96	4.72	0.21	
5.00	21.98	0.87	4.25	0.28	
6.00	20.67	0.83	3.98	0.32	
7.00	20.21	0.81	3.87	0.33	
8.00	20.27	0.81	3.90	0.30	
9.00	20.75	0.83	4.01	0.27	
10.00	21.49	0.86	4.15	0.22	
11.00	22.13	0.87	4.27	0.18	
12.00	22.40	0.88	4.33	0.15	
13.00	22.29	0.88	4.30	0.14	
14.00	21.80	0.86	4.18	0.14	
15.00	21.00	0.83	4.00	0.15	
16.00	20.15	0.80	3.78	0.16	
17.00	19.25	0.78	3.60	0.18	
18.00	18.36	0.75	3.39	0.21	
19.00	17.37	0.72	3.19	0.24	
20.00	16.17	0.68	2.94	0.30	
21.00	14.73	0.64	2.63	0.37	
22.00	13.09	0.61	2.29	0.47	
23.00	11.33	0.56	1.93	0.64	
24.00	9.58	0.50	1.55	0.90	
25.00	7.95	0.44	1.25	1.34	
26.00	6.42	0.39	1.00	1.92	
27.00	5.08	0.33	0.77	2.64	
28.00	3.89	0.28	0.59	3.49	
29.00	2.88	0.23	0.45	4.45	
30.00	2.04	0.19	0.35	5.51	
31.00	1.41	0.14	0.26	6.65	
32.00	0.97	0.11	0.20	7.84	
33.00	0.65	0.08	0.15	9.02	
34.00	0.44	0.06	0.11	10.17	
35.00	0.33	0.05	0.09	11.26	
36.00	0.27	0.04	0.06	12.25	
37.00	0.21	0.03	0.05	13.11	
38.00	0.16	0.03	0.04	13.81	
39.00	0.11	0.02	0.03	14.52	
40.00	0.07	0.02	0.02	15.52	
41.00	0.04	0.01	0.01	17.32	
42.00	0.01	0.00	0.01	20.89	
43.00	0.00	0.00	0.00	27.47	
44.00	0.00	0.00	0.00	37.75	
45.00	0.00	0.00	0.00	51.75	
46.00	0.00	0.00	0.00	66.96	
47.00	0.10	0.00	0.02	75.63	
48.00	1.25	0.05	0.24	70.91	
49.00	7.06	0.29	1.39	48.43	
50.00	23.36	0.93	4.70	21.18	
51.00	47.37	1.90	9.61	5.87	
52.00	58.24	2.34	11.81	5.41	
53.00	51.21	2.07	10.38	15.46	
54.00	42.84	1.73	8.65	25.52	
55.00	64.62	2.61	13.08	19.15	
56.00	180.55	7.22	36.59	6.48	
57.00	396.06	15.80	80.23	2.06	
58.00	695.27	27.69	140.75	0.85	
59.00	1040.63	41.43	210.57	0.00	
60.00	1401.99	55.82	283.68	0.00	
61.00	1753.31	69.80	354.77	0.00	
62.00	2078.73	82.76	420.62	0.00	
63.00	2367.12	94.25	478.97	0.00	
64.00	2614.25	104.09	529.00	0.00	
65.00	2813.04	112.01	569.23	0.00	
66.00	2970.57	118.28	601.11	0.00	
67.00	3090.59	123.05	625.39	0.00	
68.00	3175.51	126.43	642.57	0.00	
69.00	3230.36	128.61	653.67	0.00	
70.00	3258.32	129.73	659.33	0.00	
71.00	3261.85	129.87	660.04	0.00	
72.00	3242.76	129.11	656.18	0.00	
73.00	3200.92	127.44	647.72	0.00	
74.00	3134.58	124.80	634.29	0.00	
75.00	3047.27	121.33	616.63	0.00	
76.00	2941.43	117.12	595.21	0.00	
77.00	2819.74	112.28	570.57	0.00	
78.00	2686.38	106.96	543.59	0.00	
79.00	2546.58	101.40	515.30	0.00	
80.00	2403.05	95.68	486.26	0.00	
81.00	2256.01	89.82	456.49	0.00	
82.00	2103.61	83.75	425.66	0.00	
83.00	1940.41	77.26	392.64	0.00	
84.00	1764.40	70.25	357.02	0.00	
85.00	1575.76	62.74	318.84	0.00	
86.00	1375.37	54.76	278.27	0.00	
87.00	1168.00	46.50	236.31	0.00	
88.00	965.28	38.43	195.32	0.00	
89.00	775.37	30.88	156.95	0.00	
90.00	603.97	24.06	122.30	0.00	
91.00	458.26	18.27	92.82	0.00	
92.00	346.22	13.81	70.14	0.01	
93.00	259.19	10.37	52.53	0.01	
94.00	193.00	7.75	39.16	0.02	
95.00	144.11	5.81	29.30	0.02	
96.00	110.06	4.44	22.41	0.03	
97.00	84.92	3.42	17.29	0.03	
98.00	65.50	2.62	13.31	0.05	
99.00	50.75	2.01	10.25	0.06	
100.00	39.84	1.55	7.97	0.08	
