gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	29.97	15.39	16.36	139.39	121.64	45.83	7.58	11.93	7.65	9.58	4.81	4.22	29.60	18.55	5.39	5.66	5.15	6.14	5.12	3.56	3.22	0.01	0.01	
0.00	21.16	13.39	15.96	94.13	129.28	21.43	7.77	13.17	8.40	15.53	8.44	4.86	23.32	21.64	5.44	4.47	7.81	6.57	4.91	3.89	3.04	0.01	0.01	
0.00	13.12	4.73	13.50	122.59	147.66	63.73	9.47	11.17	7.95	10.96	8.36	8.10	20.59	17.54	3.89	3.68	10.63	7.29	6.18	3.75	4.12	0.01	0.00	
0.00	15.77	8.36	19.63	101.36	106.99	57.95	6.23	8.57	6.55	11.90	11.52	11.57	21.57	20.23	3.50	4.19	17.39	8.84	9.25	3.29	5.85	0.02	0.00	
0.00	23.14	12.33	10.94	65.26	101.90	33.82	15.40	6.93	3.85	14.94	9.91	13.00	16.63	21.78	4.35	3.43	25.28	11.15	13.94	2.21	7.11	0.02	0.00	
0.00	37.71	25.69	13.91	54.71	157.08	74.22	16.13	6.91	2.59	14.80	11.98	14.49	24.34	28.87	5.02	3.33	35.43	12.38	19.98	2.37	8.53	0.02	0.00	
0.00	18.96	15.21	11.78	66.90	91.39	34.64	18.04	4.42	1.90	20.24	8.22	16.61	32.27	31.66	5.03	4.48	43.16	11.17	25.99	2.56	10.86	0.03	0.00	
0.00	21.44	22.04	17.22	57.79	101.10	32.60	12.66	5.54	1.66	17.93	8.84	15.65	28.85	30.12	4.83	3.86	45.04	8.09	28.57	2.66	12.10	0.03	0.00	
0.00	20.14	14.69	14.83	97.91	123.50	23.97	12.76	6.27	1.87	21.31	8.54	12.29	35.96	26.67	6.03	3.97	38.14	5.61	25.49	2.19	11.37	0.03	0.00	
0.00	32.91	18.01	14.35	59.28	168.00	40.51	11.21	5.49	2.15	21.54	9.73	11.06	26.89	27.89	6.29	5.10	36.98	3.03	20.56	2.35	10.34	0.02	0.01	
0.00	43.04	14.62	18.89	74.08	154.87	60.76	8.83	4.30	1.29	16.98	9.46	18.08	47.66	28.72	8.10	4.63	47.78	0.76	29.58	0.10	12.69	0.03	0.01	
0.00	41.21	17.00	22.65	111.93	137.90	34.42	6.81	5.15	0.87	19.23	13.03	21.64	32.51	36.56	4.77	4.16	60.31	0.41	44.32	0.14	13.81	0.02	0.03	
0.00	25.52	19.90	24.65	131.45	128.99	33.22	8.99	5.65	1.66	19.82	13.85	24.03	38.71	40.59	16.60	3.83	57.86	0.29	51.50	0.27	14.46	0.01	0.02	
0.00	67.14	21.20	35.51	124.71	127.81	70.21	11.23	3.51	1.27	12.87	11.17	24.86	75.86	44.21	23.54	4.96	50.37	0.27	59.12	0.11	16.57	0.01	0.02	
0.00	20.83	16.71	22.95	57.84	125.66	33.45	13.65	4.20	1.71	14.54	9.63	19.32	22.15	38.56	8.89	5.42	38.78	0.74	61.06	0.17	14.32	0.02	0.03	
0.00	31.37	20.88	16.31	95.17	172.53	64.82	33.31	5.91	3.76	15.22	8.30	15.06	25.32	33.71	8.69	8.19	26.42	1.76	53.61	1.13	11.12	0.04	0.03	
0.00	41.62	19.56	14.12	119.33	79.04	66.84	42.41	31.70	6.92	10.24	8.95	10.74	23.45	23.00	9.01	36.82	16.02	7.91	41.24	0.99	8.71	0.08	0.03	
0.00	63.52	25.41	18.59	133.51	137.31	66.33	49.68	10.56	14.23	16.35	10.38	3.19	27.16	14.76	17.41	28.47	14.26	13.71	28.21	1.61	3.29	0.04	0.03	
0.00	81.33	43.66	33.51	166.95	124.29	120.64	66.43	19.93	20.40	20.33	16.77	8.62	64.58	25.20	24.27	50.49	14.32	20.14	13.16	1.84	1.74	0.17	0.03	
