gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-7.18	-1.16	-1.58	0.05	1.00	0.05	18.72	-5.38	-17.15	-21.57	14.01	13.50	0.00	19.86	-10.78	-4.14	-23.39	14.87	8.85	0.00	-17.57	-1.52	4.89	
2.00	-7.41	-1.16	-1.55	0.05	1.00	0.05	19.23	-5.44	-17.01	-22.16	14.32	13.37	0.00	20.48	-10.83	-4.06	-24.10	15.17	8.98	0.00	-17.58	-1.55	4.85	
3.00	-7.70	-1.16	-1.46	0.05	1.00	0.05	19.90	-5.54	-16.93	-22.95	14.74	13.26	0.00	21.28	-10.87	-3.97	-24.98	15.57	9.19	0.00	-17.63	-1.56	4.76	
4.00	-8.10	-1.14	-1.40	0.05	0.99	0.05	20.88	-5.72	-16.83	-24.04	15.29	13.20	0.00	22.36	-10.91	-3.95	-26.13	16.10	9.48	0.00	-17.68	-1.60	4.71	
5.00	-8.56	-1.12	-1.33	0.05	0.99	0.05	22.09	-5.94	-16.71	-25.47	16.02	13.16	0.00	23.68	-10.99	-3.99	-27.60	16.78	9.93	0.00	-17.79	-1.62	4.65	
6.00	-9.09	-1.12	-1.27	0.05	0.99	0.05	23.62	-6.22	-16.57	-27.35	16.96	13.15	0.00	25.27	-11.11	-4.06	-29.38	17.59	10.53	0.00	-17.96	-1.62	4.57	
7.00	-9.67	-1.09	-1.19	0.05	0.99	0.05	25.44	-6.62	-16.43	-29.70	18.08	13.22	0.00	27.14	-11.24	-4.17	-31.57	18.58	11.29	0.00	-18.22	-1.63	4.47	
8.00	-10.27	-1.05	-1.07	0.04	0.98	0.05	27.51	-7.11	-16.25	-32.51	19.41	13.30	0.00	29.22	-11.40	-4.34	-34.04	19.68	12.23	0.00	-18.58	-1.67	4.31	
9.00	-10.87	-0.98	-1.03	0.04	0.98	0.05	29.75	-7.66	-16.00	-35.64	20.89	13.46	0.00	31.39	-11.62	-4.66	-36.78	21.01	13.33	0.00	-19.03	-1.76	4.19	
10.00	-11.49	-0.91	-1.01	0.04	0.97	0.05	32.15	-8.23	-15.76	-38.98	22.50	13.69	0.00	33.73	-11.91	-5.03	-39.82	22.59	14.52	0.00	-19.56	-1.86	4.09	
