gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	30.26	15.54	16.52	140.74	122.82	46.28	7.65	12.05	7.73	9.67	4.85	4.26	29.89	18.73	5.44	5.71	5.20	6.20	5.17	3.59	3.25	0.01	0.01	
0.00	21.36	13.52	16.12	95.04	130.54	21.64	7.85	13.30	8.48	15.68	8.53	4.91	23.55	21.86	5.50	4.52	7.88	6.63	4.96	3.93	3.07	0.01	0.01	
0.00	13.25	4.78	13.63	123.78	149.09	64.35	9.57	11.27	8.02	11.07	8.44	8.18	20.79	17.71	3.92	3.71	10.74	7.36	6.24	3.78	4.16	0.01	0.00	
0.00	15.92	8.44	19.82	102.35	108.03	58.51	6.29	8.65	6.61	12.01	11.63	11.68	21.78	20.42	3.54	4.23	17.56	8.93	9.34	3.32	5.91	0.02	0.00	
0.00	23.37	12.45	11.05	65.90	102.89	34.15	15.55	7.00	3.89	15.09	10.01	13.13	16.79	22.00	4.39	3.46	25.52	11.26	14.07	2.23	7.17	0.02	0.00	
0.00	38.07	25.93	14.04	55.25	158.61	74.94	16.29	6.98	2.61	14.95	12.10	14.63	24.58	29.15	5.07	3.36	35.77	12.50	20.17	2.40	8.61	0.02	0.00	
0.00	19.14	15.35	11.90	67.55	92.28	34.98	18.21	4.46	1.92	20.44	8.30	16.77	32.59	31.97	5.08	4.53	43.58	11.28	26.25	2.58	10.97	0.03	0.00	
0.00	21.65	22.26	17.39	58.35	102.09	32.92	12.78	5.59	1.67	18.11	8.92	15.80	29.13	30.41	4.88	3.90	45.48	8.17	28.85	2.69	12.22	0.03	0.00	
0.00	20.34	14.84	14.98	98.86	124.70	24.20	12.89	6.33	1.88	21.52	8.63	12.41	36.30	26.92	6.08	4.01	38.51	5.66	25.74	2.21	11.48	0.03	0.00	
0.00	33.23	18.18	14.49	59.85	169.63	40.90	11.31	5.55	2.17	21.75	9.83	11.16	27.15	28.16	6.35	5.15	37.34	3.06	20.76	2.37	10.44	0.02	0.01	
0.00	43.46	14.77	19.07	74.79	156.37	61.35	8.91	4.34	1.30	17.15	9.55	18.25	48.13	29.00	8.18	4.67	48.24	0.77	29.87	0.10	12.81	0.03	0.01	
0.00	41.61	17.17	22.87	113.01	139.24	34.76	6.88	5.20	0.87	19.42	13.16	21.85	32.83	36.91	4.82	4.21	60.89	0.41	44.75	0.14	13.94	0.02	0.03	
0.00	25.77	20.09	24.89	132.73	130.24	33.54	9.08	5.70	1.68	20.02	13.98	24.26	39.09	40.98	16.76	3.87	58.42	0.29	52.00	0.27	14.60	0.01	0.02	
0.00	67.79	21.41	35.85	125.92	129.05	70.89	11.34	3.55	1.29	13.00	11.28	25.10	76.60	44.64	23.77	5.01	50.86	0.27	59.70	0.11	16.73	0.01	0.02	
0.00	21.04	16.87	23.17	58.40	126.88	33.77	13.78	4.24	1.73	14.69	9.72	19.51	22.36	38.93	8.98	5.47	39.16	0.75	61.66	0.17	14.46	0.02	0.03	
0.00	31.68	21.08	16.47	96.09	174.20	65.45	33.63	5.97	3.80	15.37	8.38	15.21	25.57	34.04	8.78	8.27	26.67	1.78	54.13	1.14	11.23	0.04	0.03	
0.00	42.03	19.75	14.25	120.49	79.80	67.49	42.82	32.01	6.98	10.33	9.04	10.85	23.68	23.23	9.10	37.18	16.18	7.99	41.64	1.00	8.80	0.08	0.03	
0.00	64.14	25.66	18.77	134.81	138.64	66.98	50.17	10.66	14.37	16.51	10.48	3.22	27.43	14.91	17.58	28.74	14.40	13.84	28.49	1.63	3.32	0.04	0.03	
0.00	82.12	44.08	33.83	168.57	125.50	121.81	67.08	20.12	20.60	20.53	16.93	8.71	65.21	25.44	24.51	50.98	14.46	20.34	13.29	1.86	1.76	0.17	0.03	
