gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	138.61	5.49	28.08	16.31	
0.00	144.56	5.82	29.32	0.27	
0.00	150.61	6.03	30.59	0.04	
0.00	187.45	7.41	38.03	0.77	
0.00	217.16	8.63	44.01	5.95	
0.00	213.89	8.52	43.31	7.95	
0.00	179.89	7.18	36.43	9.25	
0.00	142.68	5.71	29.00	9.79	
0.00	85.90	3.43	17.40	9.32	
0.00	22.49	0.91	4.60	8.94	
0.00	1.19	0.09	0.15	7.18	
0.00	0.00	0.00	0.00	2.63	
0.00	0.00	0.00	0.00	2.57	
0.00	0.00	0.00	0.00	15.18	
0.00	11.59	0.49	2.38	3.84	
0.00	83.87	3.40	17.02	12.86	
0.00	126.62	5.05	25.68	24.57	
0.00	251.74	10.02	50.99	19.99	
0.00	375.66	14.96	76.04	45.83	
0.00	528.92	21.05	107.02	35.60	
0.00	668.65	26.60	135.27	25.78	
0.00	694.97	27.65	140.57	1.18	
0.00	620.61	24.71	125.61	0.00	
0.00	522.58	20.80	105.74	0.00	
0.00	399.82	15.91	80.86	0.00	
0.00	342.46	13.64	69.33	0.00	
0.00	344.39	13.73	69.75	0.00	
0.00	352.56	14.03	71.28	0.00	
0.00	332.44	13.24	67.23	0.00	
0.00	323.96	12.88	65.43	0.00	
0.00	351.41	14.00	71.17	0.00	
0.00	384.63	15.31	77.82	0.00	
0.00	408.87	16.28	82.74	0.00	
0.00	421.12	16.76	85.20	0.00	
0.00	424.73	16.91	85.94	0.00	
0.00	414.16	16.50	83.86	0.00	
0.00	406.82	16.21	82.39	0.00	
0.00	400.01	15.93	80.95	0.00	
0.00	404.07	16.08	81.70	0.00	
0.00	425.11	16.90	85.84	0.00	
0.00	443.02	17.62	89.50	0.00	
0.00	451.69	18.00	91.54	0.00	
0.00	464.36	18.49	93.99	0.00	
0.00	473.44	18.85	95.87	0.00	
0.00	478.53	19.06	96.89	0.00	
0.00	481.76	19.18	97.49	0.00	
0.00	490.95	19.54	99.32	0.00	
0.00	504.44	20.08	102.05	0.00	
0.00	513.05	20.43	103.80	0.00	
0.00	528.74	21.05	106.99	0.00	
0.00	532.81	21.21	107.83	0.00	
0.00	526.42	20.96	106.53	0.00	
0.00	526.02	20.94	106.44	0.00	
0.00	527.83	21.01	106.80	0.00	
0.00	538.24	21.43	108.89	0.00	
0.00	562.00	22.38	113.72	0.00	
0.00	586.21	23.34	118.60	0.00	
0.00	599.43	23.85	121.21	0.00	
0.00	590.44	23.50	119.46	0.00	
0.00	569.06	22.64	115.10	0.00	
0.00	528.44	21.02	106.92	0.01	
0.00	457.31	18.20	92.59	10.96	
0.00	373.74	14.88	75.63	45.34	
0.00	304.08	12.10	61.56	60.42	
0.00	250.92	9.99	50.78	68.01	
0.00	206.44	8.20	41.93	75.84	
0.00	166.53	6.64	33.74	82.24	
0.00	132.65	5.28	26.87	87.62	
0.00	112.06	4.47	22.73	88.44	
0.00	110.87	4.42	22.47	92.70	
0.00	115.24	4.60	23.38	94.05	
0.00	113.60	4.53	23.03	88.71	
0.00	98.53	3.93	19.96	93.35	
0.00	63.70	2.57	12.95	82.50	
0.00	24.74	1.02	5.06	74.73	
0.00	0.25	0.01	0.05	59.83	
0.00	0.00	0.00	0.00	49.24	
0.00	0.18	0.04	0.10	4.54	
0.00	12.55	0.52	2.55	10.79	
0.00	9.43	0.36	1.84	8.03	
0.00	1.33	0.14	0.30	7.96	
0.00	0.00	0.00	0.00	5.24	
0.00	0.00	0.00	0.00	4.09	
0.00	1.45	0.11	0.23	8.58	
0.00	8.21	0.34	1.66	10.43	
0.00	23.46	0.93	4.78	10.28	
0.00	56.97	2.31	11.62	9.90	
0.00	93.78	3.75	18.99	9.46	
0.00	108.41	4.31	21.95	9.82	
0.00	117.33	4.68	23.79	10.11	
0.00	130.99	5.20	26.57	9.82	
0.00	143.27	5.70	29.11	12.40	
0.00	160.05	6.37	32.62	12.12	
0.00	159.96	6.38	32.49	0.08	
0.00	157.78	6.27	32.04	8.06	
0.00	162.09	6.46	32.81	27.20	
0.00	165.86	6.58	33.58	29.82	
0.00	168.17	6.66	34.06	31.41	
0.00	172.05	6.81	34.84	29.34	
0.00	176.53	6.99	35.87	28.89	
