gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	352.64	14.07	71.45	0.01	
2.00	352.10	14.06	71.33	0.01	
3.00	345.51	13.79	70.04	0.01	
4.00	338.18	13.49	68.54	0.01	
5.00	329.98	13.17	66.87	0.01	
6.00	318.47	12.73	64.62	0.01	
7.00	305.03	12.19	61.89	0.01	
8.00	290.98	11.63	59.02	0.01	
9.00	275.38	10.98	55.81	0.01	
10.00	256.75	10.25	52.07	0.01	
11.00	235.19	9.37	47.63	0.02	
12.00	211.43	8.47	42.75	0.05	
13.00	187.77	7.52	38.01	0.93	
14.00	166.06	6.65	33.59	3.45	
15.00	146.66	5.86	29.74	8.64	
16.00	130.31	5.21	26.44	13.01	
17.00	114.92	4.61	23.37	15.36	
18.00	97.88	3.93	19.90	16.11	
19.00	84.09	3.39	17.10	16.02	
20.00	75.04	3.03	15.31	15.41	
21.00	68.55	2.76	13.96	14.29	
22.00	68.12	2.73	13.85	11.28	
23.00	75.58	3.07	15.36	5.75	
24.00	90.21	3.67	18.29	0.77	
25.00	116.19	4.67	23.63	0.03	
26.00	148.42	6.00	30.17	0.02	
27.00	183.44	7.38	37.27	0.02	
28.00	220.87	8.85	44.82	0.01	
29.00	260.53	10.42	52.84	0.01	
30.00	303.49	12.13	61.47	0.01	
31.00	348.76	13.91	70.65	0.01	
32.00	394.30	15.71	79.86	0.00	
33.00	437.55	17.44	88.63	0.00	
34.00	481.36	19.19	97.53	0.00	
35.00	527.97	21.04	106.95	0.00	
36.00	573.14	22.84	116.08	0.00	
37.00	616.38	24.56	124.82	0.00	
38.00	657.83	26.20	133.17	0.00	
39.00	698.15	27.80	141.31	0.00	
40.00	738.20	29.40	149.43	0.00	
41.00	776.77	30.92	157.12	0.00	
42.00	816.36	32.49	165.13	0.00	
43.00	857.03	34.13	173.48	0.00	
44.00	892.32	35.52	180.50	0.00	
45.00	919.80	36.63	186.21	0.00	
46.00	943.95	37.59	191.11	0.00	
47.00	968.07	38.54	195.94	0.00	
48.00	985.22	39.22	199.28	0.00	
49.00	991.36	39.48	200.66	0.00	
50.00	988.93	39.36	199.94	0.00	
51.00	979.22	38.99	198.14	0.00	
52.00	966.40	38.48	195.60	0.00	
53.00	954.00	37.98	193.02	0.00	
54.00	941.66	37.49	190.50	0.00	
55.00	925.86	36.86	187.27	0.00	
56.00	905.42	36.06	183.29	0.00	
57.00	884.26	35.21	178.99	0.00	
58.00	863.32	34.39	174.80	0.00	
59.00	839.26	33.41	169.82	0.00	
60.00	811.02	32.30	164.18	0.00	
61.00	781.18	31.11	158.13	0.00	
62.00	746.67	29.73	151.14	0.00	
63.00	704.87	28.08	142.72	0.00	
64.00	661.64	26.35	133.96	0.00	
65.00	618.28	24.63	125.22	0.00	
66.00	572.38	22.81	115.93	0.00	
67.00	524.90	20.92	106.29	0.01	
68.00	475.33	18.94	96.34	0.01	
69.00	423.14	16.87	85.75	0.02	
70.00	370.26	14.77	74.90	0.33	
71.00	320.41	12.79	64.94	2.86	
72.00	270.90	10.82	54.91	5.58	
73.00	220.32	8.81	44.70	7.85	
74.00	173.42	6.95	35.19	9.49	
75.00	133.93	5.39	27.19	10.70	
76.00	100.90	4.07	20.56	11.84	
77.00	74.41	3.02	15.13	13.58	
78.00	54.26	2.20	10.97	16.96	
79.00	38.82	1.56	7.80	21.00	
80.00	28.31	1.18	5.76	25.77	
81.00	23.94	1.00	4.91	31.17	
82.00	24.06	1.00	4.93	34.49	
83.00	26.28	1.08	5.38	37.63	
84.00	29.16	1.19	5.96	42.60	
85.00	32.57	1.32	6.64	48.28	
86.00	36.48	1.48	7.43	51.84	
87.00	42.08	1.70	8.55	51.16	
88.00	49.88	2.00	10.12	48.01	
89.00	56.80	2.27	11.51	43.49	
90.00	65.04	2.61	13.13	38.59	
91.00	78.17	3.11	15.86	32.76	
92.00	95.07	3.82	19.33	26.46	
93.00	117.00	4.71	23.78	23.69	
94.00	139.27	5.61	28.32	20.64	
95.00	156.05	6.27	31.68	16.22	
96.00	165.37	6.65	33.60	11.55	
97.00	172.35	6.92	35.01	7.10	
98.00	182.40	7.32	36.98	3.24	
99.00	194.52	7.79	39.40	1.64	
100.00	204.84	8.20	41.51	0.87	
