gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	120.23	4.77	24.36	0.01	
0.00	119.36	4.73	24.18	0.01	
0.00	118.50	4.72	24.06	0.01	
0.00	123.09	4.89	24.90	0.01	
0.00	129.81	5.14	26.22	0.01	
0.00	132.31	5.26	26.79	0.01	
0.00	131.98	5.24	26.70	0.01	
0.00	133.96	5.30	27.07	0.01	
0.00	138.14	5.50	27.92	0.01	
0.00	141.05	5.62	28.58	0.01	
0.00	143.80	5.74	29.15	0.02	
0.00	143.55	5.68	29.19	0.10	
0.00	138.98	5.53	28.18	2.55	
0.00	131.70	5.26	26.77	7.44	
0.00	119.48	4.78	24.20	15.99	
0.00	106.49	4.27	21.57	24.34	
0.00	93.44	3.76	18.96	29.04	
0.00	80.27	3.24	16.29	30.78	
0.00	69.79	2.81	14.16	30.76	
0.00	62.17	2.52	12.69	29.54	
0.00	60.52	2.44	12.31	27.09	
0.00	66.69	2.69	13.52	21.13	
0.00	76.88	3.10	15.60	10.60	
0.00	84.26	3.34	17.11	1.54	
0.00	85.22	3.41	17.25	0.02	
0.00	86.23	3.38	17.41	0.01	
0.00	89.54	3.53	18.04	0.01	
0.00	91.23	3.61	18.38	0.01	
0.00	91.80	3.66	18.61	0.01	
0.00	95.63	3.78	19.35	0.01	
0.00	100.97	4.01	20.43	0.00	
0.00	108.53	4.31	21.94	0.00	
0.00	119.23	4.74	24.12	0.00	
0.00	133.68	5.32	27.05	0.00	
0.00	145.14	5.77	29.33	0.00	
0.00	150.81	5.99	30.46	0.00	
0.00	159.26	6.33	32.22	0.00	
0.00	174.58	6.94	35.31	0.00	
0.00	192.41	7.66	38.93	0.00	
0.00	209.68	8.35	42.42	0.00	
0.00	223.89	8.88	45.05	0.00	
0.00	233.03	9.25	46.92	0.00	
0.00	236.82	9.43	47.94	0.00	
0.00	238.31	9.45	47.91	0.00	
0.00	238.78	9.50	48.28	0.00	
0.00	241.03	9.59	48.75	0.00	
0.00	245.32	9.76	49.59	0.00	
0.00	247.98	9.86	50.07	0.00	
0.00	244.58	9.73	49.45	0.00	
0.00	238.17	9.45	47.83	0.00	
0.00	234.98	9.34	47.39	0.00	
0.00	234.83	9.35	47.49	0.00	
0.00	234.17	9.31	47.22	0.00	
0.00	235.15	9.35	47.44	0.00	
0.00	236.61	9.40	47.67	0.00	
0.00	234.03	9.31	47.38	0.00	
0.00	229.54	9.13	46.44	0.00	
0.00	228.62	9.11	46.29	0.00	
0.00	232.47	9.24	46.89	0.00	
0.00	235.43	9.38	47.65	0.00	
0.00	236.79	9.42	47.89	0.00	
0.00	238.86	9.51	48.32	0.00	
0.00	242.75	9.65	49.11	0.00	
0.00	244.78	9.74	49.55	0.00	
0.00	241.08	9.58	48.75	0.01	
0.00	232.26	9.23	46.97	0.01	
0.00	221.87	8.80	44.88	0.01	
0.00	211.75	8.47	42.89	0.01	
0.00	199.78	7.97	40.54	0.04	
0.00	185.33	7.36	37.70	0.92	
0.00	165.79	6.60	33.61	8.07	
0.00	143.68	5.72	29.12	15.75	
0.00	121.23	4.82	24.54	22.17	
0.00	98.63	3.92	19.93	26.79	
0.00	78.27	3.13	15.85	30.20	
0.00	63.09	2.55	12.88	33.38	
0.00	53.70	2.16	11.04	36.97	
0.00	47.82	1.93	9.83	40.48	
0.00	44.94	1.81	9.24	43.35	
0.00	40.69	1.66	8.33	44.83	
0.00	36.24	1.53	7.44	45.46	
0.00	36.97	1.56	7.58	47.75	
0.00	41.78	1.73	8.55	49.99	
0.00	48.71	2.00	9.95	51.84	
0.00	57.30	2.33	11.68	54.30	
0.00	65.61	2.65	13.35	57.16	
0.00	75.54	3.06	15.33	58.61	
0.00	89.59	3.59	18.15	58.64	
0.00	102.00	4.06	20.67	58.08	
0.00	109.61	4.37	22.27	54.78	
0.00	119.84	4.78	24.28	50.15	
0.00	135.20	5.40	27.43	48.93	
0.00	153.20	6.11	31.05	46.10	
0.00	175.02	6.95	35.40	39.73	
0.00	193.98	7.72	39.25	30.48	
0.00	200.71	7.99	40.65	21.38	
0.00	194.53	7.73	39.34	13.12	
0.00	187.23	7.44	37.91	6.37	
0.00	183.24	7.28	37.11	4.52	
0.00	179.71	7.16	36.39	2.40	
