gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-3.28	1.64	-1.14	-0.41	1.05	-0.06	1.77	-7.26	-16.74	-11.86	18.55	14.91	0.00	8.13	-0.18	-3.78	-18.85	19.34	4.42	0.00	-14.69	-5.31	6.91	
2.00	-3.42	1.81	-0.54	-0.41	1.04	-0.06	3.72	-7.94	-16.18	-16.45	20.76	14.34	0.00	8.87	-0.10	-4.04	-20.66	21.21	5.63	0.00	-14.94	-5.64	6.27	
3.00	-3.48	2.04	-0.09	-0.40	1.04	-0.06	6.23	-8.83	-15.42	-22.27	22.80	13.90	0.00	9.71	-0.06	-4.59	-22.92	23.48	7.10	0.00	-15.35	-6.13	5.58	
4.00	-3.54	2.24	0.37	-0.40	1.03	-0.06	9.40	-9.79	-14.47	-29.28	24.31	13.30	0.00	10.90	-0.23	-5.34	-25.87	26.02	8.95	0.00	-15.96	-6.61	4.71	
5.00	-3.46	2.45	0.77	-0.39	1.02	-0.06	12.93	-10.81	-13.47	-37.16	25.07	12.65	0.00	12.07	-0.55	-6.25	-29.16	28.61	11.05	0.00	-16.90	-7.12	3.72	
6.00	-3.35	2.61	1.11	-0.39	1.02	-0.06	16.80	-11.81	-12.62	-45.38	25.09	12.05	0.00	13.27	-1.03	-7.21	-32.59	31.10	13.16	0.00	-17.99	-7.53	2.65	
7.00	-3.26	2.62	1.39	-0.38	1.01	-0.05	20.67	-12.67	-12.04	-53.17	24.31	11.50	0.00	14.28	-1.70	-8.12	-35.70	33.23	15.17	0.00	-19.10	-7.62	1.59	
8.00	-3.33	2.36	1.69	-0.38	1.00	-0.05	24.38	-13.20	-11.78	-59.76	23.19	10.91	0.00	15.06	-2.58	-8.68	-38.10	34.85	16.76	0.00	-19.95	-7.17	0.64	
9.00	-3.61	1.94	2.00	-0.37	1.00	-0.05	27.66	-13.43	-11.84	-64.46	22.03	10.16	0.00	15.26	-3.46	-8.84	-38.95	35.44	17.77	0.00	-20.45	-6.28	-0.13	
10.00	-4.11	1.50	2.18	-0.36	1.00	-0.05	30.32	-13.39	-12.06	-66.77	21.08	9.28	0.00	14.50	-4.11	-8.61	-37.60	34.61	17.85	0.00	-20.50	-5.12	-0.62	
11.00	-4.87	1.09	2.20	-0.34	1.01	-0.04	32.29	-13.08	-12.39	-66.56	20.08	8.41	0.00	12.77	-4.54	-8.18	-33.94	32.00	17.04	0.00	-20.05	-3.81	-0.84	
12.00	-5.80	0.61	2.26	-0.33	1.02	-0.04	33.47	-12.42	-13.03	-63.86	19.24	7.84	0.00	10.51	-4.91	-7.55	-28.98	27.89	15.45	0.00	-19.28	-2.21	-0.86	
13.00	-6.86	0.29	2.44	-0.31	1.03	-0.03	33.99	-11.72	-13.86	-59.07	18.33	7.74	0.00	8.27	-5.08	-7.19	-24.19	22.92	13.16	0.00	-18.31	-0.67	-0.84	
14.00	-7.96	0.18	2.68	-0.29	1.04	-0.02	34.02	-11.03	-14.71	-52.78	16.77	8.02	0.00	6.35	-5.26	-6.89	-20.45	17.37	10.77	0.00	-17.31	0.68	-0.69	
