gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-36.80	3.06	5.72	-106.84	17.96	59.53	-98.67	-6.35	0.25	42.43	-1.23	1.24	12.33	7.74	19.86	-59.33	7.75	-4.90	2.34	-0.45	-0.45	-0.09	0.09	
2.00	-32.59	-25.80	0.21	-50.25	59.88	127.49	-102.96	-36.69	4.42	54.73	-5.71	1.90	16.07	1.90	18.80	-52.84	12.81	-1.83	2.67	-2.39	-0.66	-0.03	0.08	
3.00	-35.71	-19.56	-1.30	-43.75	-35.88	108.32	-118.69	-38.47	8.08	62.12	-8.69	2.46	14.11	0.45	18.01	-53.71	15.28	1.92	2.93	-1.54	-0.81	-0.00	0.09	
4.00	-40.95	-3.46	-2.15	-61.32	-192.75	51.70	-136.48	-35.11	11.59	62.54	-10.52	2.90	12.66	0.54	17.23	-54.61	15.90	5.82	3.07	0.13	-0.90	0.01	0.09	
5.00	-44.54	-10.83	-4.79	-76.29	-283.36	36.45	-143.64	-58.06	15.72	53.39	-11.79	3.34	19.23	-2.20	17.30	-45.01	15.82	9.58	3.08	-0.01	-0.95	0.05	0.09	
6.00	-45.77	-7.33	13.49	-198.11	-117.47	132.62	-120.76	-46.39	21.65	48.75	-6.65	3.17	19.21	-3.78	17.29	-21.47	12.70	15.59	3.40	-0.49	-0.94	0.46	0.11	
7.00	-36.44	0.47	21.14	-171.04	-187.82	146.41	-110.25	-46.90	23.45	49.92	-4.57	3.27	8.90	-7.30	14.34	-7.24	14.40	5.21	3.56	0.70	-0.92	0.44	0.11	
8.00	-32.62	10.29	9.42	-50.72	-331.22	-3.86	-108.74	-59.97	25.42	58.47	-5.31	3.29	-10.97	-10.15	10.85	6.26	19.28	-16.63	3.70	3.02	-0.82	0.16	0.10	
9.00	-109.11	20.15	-34.33	34.90	-0.42	-466.50	-107.66	-73.76	36.17	49.65	-5.82	1.83	-30.84	-14.26	6.64	35.79	13.22	-37.22	3.84	4.94	-0.50	0.09	0.12	
10.00	-48.71	-76.63	28.52	402.46	-106.05	141.52	-111.54	-106.34	41.58	65.76	-0.66	2.89	10.76	-82.75	-5.18	59.40	19.24	-56.98	3.88	7.71	-0.62	0.11	0.11	
