gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-6.54	-2.65	-5.43	-0.03	1.06	0.02	-10.47	0.35	1.33	-47.60	-4.36	5.98	0.00	25.15	-4.47	1.89	-8.27	8.37	2.72	0.00	-13.41	-0.11	21.30	
2.00	-6.13	-2.38	-5.23	-0.03	1.06	0.02	-9.87	0.35	1.76	-52.12	-3.20	6.05	0.00	25.10	-4.17	1.30	-8.78	8.19	2.93	0.00	-13.93	-0.71	20.28	
3.00	-5.73	-1.97	-5.06	-0.03	1.06	0.02	-9.17	0.18	2.11	-56.69	-2.11	6.11	0.00	25.10	-3.73	0.71	-9.70	7.30	2.82	0.00	-14.47	-1.44	19.23	
4.00	-5.30	-1.45	-4.88	-0.03	1.05	0.02	-8.42	-0.12	2.34	-61.28	-1.09	6.15	0.00	25.15	-3.17	0.08	-11.10	5.73	2.50	0.00	-15.04	-2.30	18.10	
5.00	-4.84	-0.83	-4.67	-0.03	1.05	0.02	-7.67	-0.53	2.40	-65.84	-0.17	6.12	0.00	25.21	-2.53	-0.66	-13.06	3.38	2.03	0.00	-15.66	-3.29	16.87	
6.00	-4.39	-0.10	-4.35	-0.03	1.04	0.02	-6.86	-1.11	2.19	-70.34	0.67	5.99	0.00	25.41	-1.79	-1.38	-15.97	2.43	1.95	0.00	-16.30	-4.42	15.46	
7.00	-4.00	0.73	-4.01	-0.04	1.03	0.02	-5.86	-1.81	1.90	-74.81	1.50	5.83	0.00	25.84	-0.95	-2.07	-19.50	3.95	2.62	0.00	-16.93	-5.64	13.93	
8.00	-3.72	1.63	-3.70	-0.04	1.03	0.02	-4.63	-2.61	1.65	-79.26	2.31	5.65	0.00	26.51	-0.06	-2.79	-23.53	7.19	3.92	0.00	-17.51	-6.89	12.37	
9.00	-3.55	2.52	-3.45	-0.04	1.02	0.02	-3.12	-3.40	1.50	-83.65	3.06	5.42	0.00	27.47	0.75	-3.63	-27.94	10.52	5.64	0.00	-18.07	-8.10	10.80	
10.00	-3.51	3.36	-3.55	-0.04	1.02	0.02	-1.18	-4.14	1.96	-87.88	3.80	5.33	0.00	28.37	1.43	-4.46	-31.93	13.07	6.65	0.00	-18.58	-9.16	9.46	
11.00	-3.63	4.19	-3.98	-0.04	1.01	0.02	1.17	-4.83	2.98	-91.95	4.53	5.47	0.00	29.11	2.07	-5.28	-35.29	15.34	7.29	0.00	-18.95	-10.11	8.37	
12.00	-3.83	4.95	-4.51	-0.05	1.01	0.02	3.71	-5.38	4.21	-95.74	5.28	5.72	0.00	29.59	2.60	-6.07	-38.04	17.51	7.98	0.00	-19.23	-10.98	7.32	
13.00	-3.97	5.47	-4.57	-0.05	1.00	0.02	5.96	-5.53	4.74	-98.92	6.08	5.80	0.00	29.59	2.83	-6.78	-40.19	19.75	9.39	0.00	-19.56	-11.69	5.83	
14.00	-4.05	5.87	-4.39	-0.05	1.00	0.02	8.06	-5.55	4.88	-101.61	6.91	5.95	0.00	29.16	2.95	-7.48	-41.75	21.92	10.94	0.00	-19.87	-12.25	4.19	
15.00	-4.12	6.22	-4.14	-0.05	1.00	0.02	10.13	-5.54	4.90	-103.92	7.71	6.21	0.00	28.42	3.05	-8.16	-42.86	23.96	12.48	0.00	-20.13	-12.70	2.52	
16.00	-4.16	6.54	-3.86	-0.06	0.99	0.02	12.18	-5.54	4.81	-105.84	8.46	6.60	0.00	27.40	3.15	-8.77	-43.53	25.81	13.96	0.00	-20.35	-13.06	0.85	
17.00	-4.18	6.79	-3.58	-0.06	0.99	0.02	14.24	-5.56	4.68	-107.28	9.09	7.11	0.00	26.10	3.28	-9.23	-43.71	27.35	15.23	0.00	-20.53	-13.29	-0.79	
18.00	-4.19	6.94	-3.24	-0.06	0.99	0.02	16.23	-5.51	4.38	-108.21	9.61	7.59	0.00	24.59	3.36	-9.49	-43.53	28.59	16.40	0.00	-20.72	-13.38	-2.43	
19.00	-4.21	7.02	-2.88	-0.06	0.99	0.02	18.20	-5.44	4.01	-108.75	10.04	8.03	0.00	22.94	3.42	-9.57	-43.05	29.54	17.42	0.00	-20.88	-13.36	-4.02	
20.00	-4.24	7.03	-2.51	-0.06	0.99	0.02	20.14	-5.36	3.58	-108.85	10.35	8.41	0.00	21.16	3.48	-9.47	-42.26	30.15	18.24	0.00	-20.99	-13.22	-5.53	
21.00	-4.18	6.84	-1.90	-0.06	1.00	0.02	21.74	-5.15	2.67	-108.37	10.64	8.45	0.00	19.14	3.31	-9.12	-41.26	30.53	19.18	0.00	-21.13	-12.88	-7.11	
22.00	-4.05	6.43	-1.18	-0.06	1.00	0.02	23.06	-4.77	1.47	-107.41	10.91	8.20	0.00	16.91	2.86	-8.64	-40.02	30.65	20.15	0.00	-21.27	-12.34	-8.62	
23.00	-3.86	5.83	-0.39	-0.06	1.00	0.02	24.14	-4.25	0.04	-106.02	11.12	7.71	0.00	14.50	2.18	-8.05	-38.53	30.51	21.11	0.00	-21.43	-11.60	-10.07	
24.00	-3.72	5.28	0.30	-0.06	1.01	0.02	25.20	-3.83	-1.19	-104.26	11.31	7.20	0.00	12.02	1.65	-7.33	-36.68	29.86	21.60	0.00	-21.49	-10.86	-11.34	
25.00	-3.70	4.87	0.73	-0.06	1.01	0.02	26.38	-3.60	-1.98	-102.19	11.47	6.80	0.00	9.55	1.44	-6.48	-34.43	28.60	21.34	0.00	-21.39	-10.16	-12.33	
26.00	-3.70	4.44	1.07	-0.06	1.02	0.02	27.47	-3.40	-2.67	-99.78	11.56	6.38	0.00	7.06	1.27	-5.49	-32.00	26.87	20.63	0.00	-21.23	-9.40	-13.16	
27.00	-3.73	3.99	1.38	-0.06	1.02	0.02	28.46	-3.20	-3.34	-97.06	11.57	5.89	0.00	4.60	1.09	-4.41	-29.51	24.71	19.58	0.00	-21.02	-8.59	-13.88	
28.00	-3.79	3.51	1.67	-0.06	1.03	0.02	29.30	-3.00	-4.03	-94.00	11.52	5.32	0.00	2.21	0.87	-3.25	-27.03	22.16	18.24	0.00	-20.75	-7.75	-14.52	
29.00	-3.87	3.00	1.94	-0.05	1.03	0.02	30.00	-2.78	-4.71	-90.63	11.40	4.70	0.00	-0.06	0.59	-2.09	-24.65	19.28	16.71	0.00	-20.43	-6.88	-15.07	
30.00	-3.97	2.49	2.18	-0.05	1.04	0.02	30.58	-2.55	-5.38	-86.97	11.23	4.07	0.00	-2.19	0.28	-0.97	-22.41	16.15	15.05	0.00	-20.07	-6.02	-15.55	
31.00	-4.11	1.99	2.39	-0.05	1.04	0.02	31.03	-2.30	-6.02	-83.03	10.98	3.44	0.00	-4.14	-0.07	0.04	-20.38	12.82	13.34	0.00	-19.66	-5.19	-15.96	
32.00	-4.27	1.51	2.53	-0.05	1.05	0.02	31.36	-2.04	-6.58	-78.82	10.66	2.86	0.00	-5.92	-0.43	0.89	-18.59	9.32	11.65	0.00	-19.22	-4.40	-16.27	
33.00	-4.47	1.07	2.60	-0.05	1.05	0.02	31.57	-1.75	-7.07	-74.36	10.27	2.39	0.00	-7.48	-0.79	1.56	-17.07	5.71	10.00	0.00	-18.75	-3.67	-16.49	
34.00	-4.69	0.67	2.61	-0.05	1.06	0.02	31.68	-1.46	-7.46	-69.65	9.82	2.03	0.00	-8.87	-1.12	2.03	-15.80	2.06	8.40	0.00	-18.26	-3.02	-16.63	
35.00	-4.91	0.35	2.54	-0.05	1.06	0.02	31.66	-1.18	-7.74	-64.74	9.32	1.83	0.00	-10.07	-1.38	2.32	-14.81	-1.50	6.94	0.00	-17.78	-2.49	-16.70	
36.00	-5.13	0.14	2.42	-0.05	1.07	0.02	31.49	-0.95	-7.91	-59.65	8.82	1.85	0.00	-11.12	-1.54	2.43	-14.11	-4.88	5.71	0.00	-17.33	-2.11	-16.72	
37.00	-5.30	0.04	2.27	-0.05	1.07	0.02	31.17	-0.78	-8.00	-54.41	8.34	2.09	0.00	-12.04	-1.61	2.41	-13.69	-8.00	4.76	0.00	-16.93	-1.86	-16.71	
38.00	-5.46	0.06	2.09	-0.04	1.07	0.02	30.70	-0.69	-8.01	-49.07	7.89	2.59	0.00	-12.81	-1.54	2.33	-13.60	-10.75	4.04	0.00	-16.58	-1.74	-16.65	
