gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	2.02	0.19	1.42	0.02	0.00	0.00	2.23	0.45	1.40	1.69	1.10	1.19	0.00	2.49	0.41	2.19	1.28	0.83	1.63	0.00	2.77	0.58	1.27	
0.00	2.16	0.19	1.43	0.02	0.00	0.00	2.40	0.43	1.45	1.57	1.03	1.15	0.00	2.61	0.40	2.13	1.19	0.80	1.64	0.00	2.91	0.53	1.25	
0.00	2.34	0.19	1.41	0.02	0.00	0.00	2.67	0.40	1.44	1.43	0.98	1.03	0.00	2.81	0.40	1.95	1.07	0.80	1.57	0.00	3.04	0.51	1.19	
0.00	2.53	0.18	1.37	0.02	0.00	0.00	2.95	0.37	1.31	1.28	0.92	0.84	0.00	3.04	0.40	1.71	0.99	0.79	1.42	0.00	3.19	0.51	1.12	
0.00	2.67	0.17	1.35	0.02	0.00	0.00	3.25	0.34	1.23	1.13	0.82	0.74	0.00	3.28	0.42	1.41	0.99	0.81	1.32	0.00	3.28	0.53	1.07	
0.00	2.80	0.16	1.37	0.02	0.00	0.00	3.56	0.33	1.18	0.95	0.74	0.80	0.00	3.54	0.43	1.28	1.04	0.85	1.29	0.00	3.39	0.55	1.08	
0.00	2.88	0.13	1.37	0.02	0.00	0.00	3.86	0.33	1.17	0.91	0.72	0.96	0.00	3.77	0.42	1.28	1.18	0.96	1.36	0.00	3.42	0.60	1.06	
0.00	2.90	0.12	1.39	0.02	0.00	0.00	4.16	0.37	1.21	1.15	0.79	1.06	0.00	3.98	0.39	1.36	1.23	1.12	1.41	0.00	3.36	0.65	1.09	
0.00	2.88	0.11	1.40	0.02	0.00	0.00	4.41	0.45	1.25	1.56	0.91	1.14	0.00	4.17	0.36	1.49	1.31	1.29	1.44	0.00	3.27	0.69	1.09	
0.00	2.82	0.17	1.52	0.02	0.00	0.00	4.60	0.58	1.23	2.00	1.07	1.14	0.00	4.35	0.38	1.57	1.50	1.46	1.49	0.00	3.15	0.69	1.16	
0.00	2.74	0.25	1.52	0.02	0.01	0.00	4.78	0.74	1.24	2.53	1.31	1.14	0.00	4.55	0.41	1.48	2.07	1.74	1.49	0.00	3.07	0.76	1.18	
0.00	2.70	0.33	1.60	0.02	0.01	0.01	4.93	0.89	1.23	3.03	1.55	1.13	0.00	4.75	0.47	1.50	2.71	1.97	1.51	0.00	2.94	0.79	1.24	
0.00	2.72	0.37	1.69	0.02	0.01	0.01	5.10	1.01	1.32	3.55	1.83	1.16	0.00	4.97	0.51	1.50	3.46	2.27	1.52	0.00	2.82	0.80	1.32	
0.00	2.76	0.37	1.74	0.02	0.01	0.01	5.25	1.08	1.42	4.06	2.16	1.19	0.00	5.16	0.62	1.58	4.16	2.57	1.57	0.00	2.73	0.81	1.34	
0.00	2.80	0.37	1.81	0.02	0.01	0.01	5.36	1.19	1.57	4.57	2.50	1.22	0.00	5.24	0.76	1.71	4.62	2.77	1.64	0.00	2.67	0.81	1.40	
0.00	2.83	0.37	1.86	0.02	0.01	0.01	5.47	1.30	1.72	5.14	2.85	1.17	0.00	5.30	0.90	1.86	5.02	2.95	1.79	0.00	2.67	0.79	1.41	
0.00	2.81	0.41	1.90	0.02	0.01	0.01	5.59	1.42	1.88	5.74	3.20	1.06	0.00	5.43	1.06	2.01	5.52	3.25	1.98	0.00	2.71	0.76	1.40	
0.00	2.75	0.46	1.92	0.02	0.01	0.01	5.67	1.52	2.00	6.29	3.47	0.97	0.00	5.50	1.24	2.13	5.94	3.54	2.19	0.00	2.76	0.76	1.36	
0.00	2.65	0.52	1.93	0.02	0.01	0.01	5.70	1.62	2.07	6.70	3.74	0.91	0.00	5.56	1.42	2.15	6.35	3.83	2.34	0.00	2.82	0.74	1.30	
0.00	2.54	0.53	1.93	0.02	0.02	0.01	5.66	1.68	2.15	6.99	3.92	0.93	0.00	5.62	1.61	2.02	6.75	4.06	2.38	0.00	2.87	0.70	1.23	
0.00	2.42	0.60	1.91	0.02	0.02	0.01	5.62	1.73	2.22	7.22	4.05	0.96	0.00	5.71	1.63	1.84	7.04	4.18	2.31	0.00	2.88	0.61	1.16	
0.00	2.28	0.64	1.82	0.02	0.02	0.01	5.59	1.74	2.30	7.37	4.06	1.01	0.00	5.80	1.65	1.63	7.29	4.15	2.15	0.00	2.88	0.54	1.02	
0.00	2.13	0.58	1.71	0.02	0.02	0.01	5.57	1.71	2.37	7.46	3.98	1.03	0.00	5.79	1.62	1.44	7.42	4.04	2.05	0.00	2.85	0.47	0.89	
0.00	1.93	0.52	1.63	0.02	0.03	0.01	5.46	1.72	2.45	7.44	3.82	1.10	0.00	5.76	1.58	1.41	7.48	3.88	1.95	0.00	2.89	0.25	0.80	
0.00	1.77	0.49	1.41	0.02	0.03	0.01	5.43	1.61	2.47	7.35	3.55	1.06	0.00	5.69	1.48	1.34	7.38	3.65	1.90	0.00	2.87	0.28	0.66	
0.00	1.60	0.49	1.24	0.02	0.03	0.01	5.40	1.53	2.46	7.18	3.25	1.00	0.00	5.62	1.50	1.32	7.19	3.35	1.86	0.00	2.85	0.36	0.64	
0.00	2.14	0.87	1.29	0.02	0.03	0.01	5.84	1.79	2.35	6.88	2.90	0.93	0.00	6.37	2.21	1.49	7.09	3.07	2.05	0.00	2.28	0.35	1.33	
0.00	2.05	0.89	1.33	0.02	0.03	0.01	5.81	1.89	2.20	6.60	2.59	0.88	0.00	6.40	2.26	1.54	6.83	2.80	1.96	0.00	2.21	0.40	1.36	
0.00	1.97	0.92	1.41	0.02	0.03	0.01	5.73	2.02	2.02	6.33	2.32	0.81	0.00	6.39	2.28	1.58	6.55	2.57	1.88	0.00	2.19	0.46	1.42	
0.00	2.21	1.08	1.75	0.02	0.03	0.01	5.81	2.64	1.82	6.10	2.11	0.84	0.00	6.67	2.95	1.73	6.33	2.38	2.21	0.00	2.29	0.47	1.81	
0.00	2.19	0.96	1.86	0.02	0.03	0.01	5.76	2.72	1.61	5.85	1.95	0.83	0.00	6.62	2.99	1.77	6.05	2.16	2.15	0.00	2.37	0.51	1.78	
0.00	2.18	0.89	1.81	0.02	0.03	0.01	5.73	2.56	1.44	5.60	1.81	0.84	0.00	6.67	2.94	1.86	5.84	1.98	2.12	0.00	2.18	0.55	1.68	
0.00	2.65	1.05	2.44	0.02	0.03	0.01	6.09	2.44	1.48	5.27	1.61	0.78	0.00	7.55	3.99	2.05	6.10	2.04	2.40	0.00	1.88	0.60	2.20	
0.00	2.61	1.11	2.67	0.02	0.03	0.01	6.10	2.82	1.17	5.00	1.48	0.98	0.00	7.82	4.05	2.44	6.03	1.93	2.41	0.00	1.91	0.88	2.42	
0.00	2.27	0.83	1.85	0.02	0.03	0.01	5.88	2.09	1.19	4.82	1.41	1.29	0.00	7.30	2.98	2.15	5.59	1.71	2.04	0.00	1.15	0.96	1.86	
0.00	2.35	1.03	1.98	0.02	0.03	0.01	6.00	2.37	1.27	4.60	1.39	1.32	0.00	7.50	3.01	2.49	5.33	1.54	2.10	0.00	1.18	1.36	1.90	
0.00	2.54	1.04	1.78	0.02	0.03	0.01	5.87	1.93	1.15	4.52	1.44	1.19	0.00	7.19	2.88	2.38	4.99	1.50	2.02	0.00	1.93	1.47	1.57	
0.00	1.88	0.63	1.11	0.02	0.03	0.00	4.85	1.41	0.83	4.34	1.47	1.06	0.00	5.67	2.03	1.65	4.34	1.43	1.65	0.00	1.50	1.42	0.65	
0.00	1.53	0.62	0.92	0.02	0.03	0.00	4.10	1.52	0.82	4.11	1.49	1.04	0.00	4.92	1.90	1.50	4.13	1.47	1.48	0.00	1.79	1.32	0.52	
0.00	1.55	0.59	0.86	0.02	0.03	0.00	3.70	1.48	0.86	3.94	1.53	1.08	0.00	4.37	1.97	1.11	3.94	1.54	1.48	0.00	2.13	1.31	0.58	
0.00	1.63	0.60	0.78	0.02	0.02	0.00	3.39	1.60	0.89	3.76	1.60	1.18	0.00	4.02	1.89	0.97	3.79	1.59	1.44	0.00	2.36	1.36	0.59	
0.00	1.58	0.61	0.77	0.02	0.02	0.00	3.15	1.73	0.90	3.61	1.65	1.28	0.00	3.75	1.87	0.92	3.67	1.65	1.39	0.00	2.30	1.37	0.64	
0.00	1.61	0.58	0.68	0.02	0.02	0.00	2.99	2.01	0.86	3.54	1.70	1.39	0.00	3.60	1.74	0.96	3.61	1.71	1.31	0.00	2.22	1.26	0.60	
0.00	1.70	0.54	0.55	0.02	0.02	0.00	2.83	2.29	0.80	3.48	1.79	1.50	0.00	3.42	1.54	0.97	3.51	1.73	1.17	0.00	2.25	1.17	0.59	
0.00	1.77	0.50	0.60	0.02	0.02	0.01	2.75	2.27	0.86	3.38	1.88	1.51	0.00	3.30	1.60	0.85	3.42	1.87	1.00	0.00	2.29	1.12	0.68	
0.00	1.83	0.44	0.55	0.02	0.02	0.01	2.75	2.39	0.86	3.26	1.93	1.51	0.00	3.26	1.52	0.81	3.30	1.89	0.88	0.00	2.20	1.01	0.69	
0.00	1.90	0.42	0.43	0.02	0.02	0.01	2.66	2.28	0.89	3.14	1.94	1.50	0.00	3.16	1.56	0.99	3.22	2.08	0.96	0.00	2.16	0.99	0.69	
0.00	1.90	0.41	0.39	0.02	0.01	0.01	2.57	2.38	0.90	3.06	2.01	1.50	0.00	3.05	1.49	1.02	3.14	2.14	0.94	0.00	2.08	0.89	0.65	
0.00	1.90	0.41	0.35	0.02	0.01	0.01	2.45	2.39	0.91	2.96	2.08	1.47	0.00	2.87	1.43	1.01	3.05	2.16	0.95	0.00	2.06	0.84	0.65	
0.00	1.88	0.38	0.34	0.02	0.01	0.01	2.33	2.33	0.90	2.91	2.12	1.42	0.00	2.71	1.42	0.97	2.99	2.17	1.03	0.00	2.02	0.81	0.64	
0.00	1.84	0.37	0.38	0.02	0.01	0.01	2.23	2.30	0.89	2.88	2.15	1.37	0.00	2.60	1.25	0.99	2.96	2.09	0.95	0.00	1.97	0.90	0.70	
0.00	1.81	0.40	0.47	0.02	0.01	0.01	2.17	2.27	0.84	2.91	2.16	1.29	0.00	2.50	1.29	0.90	2.97	2.03	1.08	0.00	1.91	0.85	0.69	
0.00	1.77	0.42	0.43	0.02	0.01	0.01	2.13	2.13	0.83	2.99	2.17	1.22	0.00	2.41	1.25	0.88	3.02	2.04	1.11	0.00	1.89	0.92	0.73	
0.00	1.74	0.46	0.43	0.02	0.01	0.01	2.10	2.08	0.82	3.12	2.15	1.13	0.00	2.36	1.15	0.92	3.09	2.02	1.14	0.00	1.87	0.95	0.73	
0.00	1.67	0.48	0.43	0.02	0.01	0.01	2.10	1.99	0.82	3.31	2.14	1.09	0.00	2.29	1.07	0.93	3.23	2.04	1.14	0.00	1.78	0.97	0.82	
0.00	1.67	0.54	0.44	0.02	0.02	0.01	2.14	1.99	0.80	3.54	2.10	1.06	0.00	2.26	0.99	1.03	3.41	2.01	1.16	0.00	1.74	0.94	0.78	
0.00	1.66	0.64	0.50	0.02	0.02	0.01	2.18	1.91	0.85	3.80	2.05	1.02	0.00	2.20	1.08	1.06	3.61	2.02	1.21	0.00	1.66	1.03	0.80	
0.00	1.68	0.72	0.55	0.02	0.02	0.01	2.19	1.87	0.91	4.09	2.05	1.01	0.00	2.08	1.17	1.11	3.83	2.04	1.28	0.00	1.68	1.04	0.81	
0.00	1.78	0.77	0.73	0.02	0.02	0.01	2.36	1.89	1.00	4.38	2.06	1.08	0.00	2.16	1.21	1.18	4.07	2.11	1.28	0.00	1.69	1.09	0.83	
0.00	1.76	0.85	0.75	0.02	0.02	0.01	2.44	1.82	1.14	4.69	2.07	1.14	0.00	2.13	1.33	1.22	4.31	2.13	1.35	0.00	1.64	1.15	0.77	
0.00	1.75	0.90	0.75	0.02	0.02	0.01	2.56	1.76	1.22	4.98	2.09	1.23	0.00	2.17	1.35	1.28	4.56	2.18	1.37	0.00	1.57	1.21	0.76	
0.00	2.02	1.42	0.89	0.02	0.03	0.01	4.01	1.81	1.57	5.45	2.14	1.25	0.00	3.30	1.64	1.33	4.84	2.21	1.65	0.00	1.89	1.53	0.87	
0.00	2.12	1.39	0.93	0.02	0.03	0.01	4.14	1.74	1.59	5.76	2.21	1.27	0.00	3.49	1.67	1.46	5.11	2.29	1.62	0.00	1.99	1.48	0.84	
0.00	2.10	1.31	0.99	0.02	0.03	0.01	3.47	1.62	1.50	6.15	2.37	1.23	0.00	2.90	1.63	1.73	5.38	2.41	1.47	0.00	2.23	1.25	0.73	
0.00	2.75	1.34	0.81	0.02	0.03	0.01	3.95	1.52	1.53	6.37	2.47	1.45	0.00	3.37	1.43	1.83	5.60	2.49	1.36	0.00	2.97	1.38	0.72	
0.00	2.51	1.00	1.02	0.02	0.03	0.01	3.24	1.64	1.51	6.44	2.57	1.47	0.00	2.90	1.30	2.03	5.82	2.62	1.18	0.00	3.17	0.83	0.83	
0.00	2.37	0.90	1.04	0.02	0.03	0.01	3.37	1.63	1.65	6.70	2.67	1.58	0.00	3.09	1.19	2.17	6.07	2.75	1.10	0.00	2.87	0.80	0.92	
0.00	1.43	1.00	2.11	0.02	0.03	0.01	4.80	3.12	1.36	6.98	2.80	2.03	0.00	5.25	2.29	3.35	7.08	3.16	0.77	0.00	2.68	0.72	2.53	
0.00	2.73	1.30	1.81	0.02	0.03	0.02	5.25	3.72	2.03	7.31	3.04	2.17	0.00	5.68	2.10	3.49	6.64	2.97	1.38	0.00	3.17	1.00	2.19	
0.00	2.69	1.23	1.71	0.02	0.03	0.02	5.34	3.55	2.13	7.60	3.25	2.23	0.00	5.80	2.04	3.54	6.97	3.17	1.58	0.00	3.12	0.94	2.11	
0.00	2.13	1.31	1.09	0.02	0.03	0.02	4.66	3.01	2.34	7.89	3.51	2.32	0.00	4.78	1.71	3.23	7.12	3.37	1.86	0.00	2.48	0.91	1.68	
0.00	2.03	1.22	1.14	0.02	0.03	0.02	4.84	2.87	2.35	8.16	3.77	2.37	0.00	5.01	1.79	3.35	7.54	3.63	1.99	0.00	2.41	0.83	1.70	
0.00	1.96	1.14	1.24	0.02	0.03	0.02	5.02	2.70	2.36	8.44	4.07	2.36	0.00	5.22	1.90	3.39	7.96	3.91	2.05	0.00	2.34	0.75	1.71	
0.00	1.88	1.09	1.37	0.02	0.03	0.02	5.19	2.53	2.33	8.71	4.37	2.32	0.00	5.44	2.07	3.35	8.37	4.21	2.04	0.00	2.28	0.70	1.70	
0.00	1.80	1.04	1.50	0.02	0.03	0.02	5.36	2.37	2.27	8.90	4.65	2.27	0.00	5.64	2.33	3.12	8.74	4.55	2.00	0.00	2.26	0.70	1.67	
0.00	1.71	1.00	1.61	0.02	0.03	0.02	5.56	2.19	2.20	9.04	4.91	2.21	0.00	5.83	2.62	2.69	9.07	4.90	1.98	0.00	2.23	0.71	1.61	
0.00	1.64	0.97	1.73	0.02	0.03	0.02	5.76	2.00	2.14	9.11	5.13	2.15	0.00	6.02	2.96	2.11	9.34	5.21	2.17	0.00	2.17	0.70	1.56	
0.00	1.60	0.96	1.81	0.02	0.03	0.01	5.82	1.72	1.99	9.13	5.32	2.13	0.00	6.14	3.10	1.65	9.51	5.42	2.49	0.00	1.55	0.69	1.48	
0.00	1.40	0.88	2.14	0.02	0.03	0.01	5.67	1.28	1.70	9.11	5.44	1.98	0.00	6.04	3.10	1.51	9.61	5.54	2.81	0.00	0.85	0.65	1.31	
0.00	1.46	0.84	2.09	0.02	0.02	0.01	5.73	1.22	1.71	9.03	5.48	2.03	0.00	6.13	3.12	1.46	9.65	5.63	3.33	0.00	0.79	0.62	1.12	
0.00	1.50	0.80	2.03	0.02	0.02	0.01	5.72	1.17	1.81	8.89	5.48	1.95	0.00	6.14	3.00	1.57	9.58	5.63	3.68	0.00	0.75	0.59	0.93	
0.00	1.51	0.73	1.97	0.02	0.02	0.01	5.64	1.12	1.93	8.63	5.35	1.80	0.00	6.10	2.75	1.67	9.43	5.54	3.77	0.00	0.72	0.53	0.74	
0.00	1.50	0.64	1.91	0.02	0.02	0.01	5.53	1.02	2.15	8.37	5.19	1.57	0.00	6.02	2.43	1.69	9.17	5.31	3.69	0.00	0.72	0.44	0.58	
0.00	1.50	0.57	1.82	0.02	0.01	0.01	5.40	0.94	2.27	7.97	4.92	1.33	0.00	5.98	2.10	1.59	8.89	5.06	3.39	0.00	0.73	0.42	0.48	
