gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-32.08	0.88	-26.90	51.39	89.68	-109.16	-47.45	-5.01	-3.34	22.41	-42.19	-1.74	20.45	39.77	7.08	-50.87	-38.66	-3.36	-113.38	-0.55	7.79	-0.05	0.03	
2.00	-52.11	-42.46	-27.26	-30.77	86.43	50.99	-69.40	-25.13	1.12	30.45	-37.76	-1.92	20.66	27.59	2.60	-46.02	-34.60	-5.00	-113.64	-1.40	7.47	-0.14	0.03	
3.00	-37.66	-37.64	-14.66	-60.57	-81.51	96.60	-80.21	-13.62	1.83	29.50	-31.10	-1.59	32.87	13.07	0.47	-42.41	-31.26	-2.15	-113.31	-2.86	7.46	-0.03	0.03	
4.00	29.43	-3.91	-2.93	6.63	-95.26	6.55	-31.08	13.67	0.99	38.44	-29.97	-2.02	35.90	12.17	-4.69	-18.86	-26.17	2.85	-111.86	-1.38	7.05	0.06	0.03	
5.00	21.01	1.56	4.29	-15.84	-80.36	41.96	-45.04	11.09	3.81	38.27	-26.25	-2.45	46.48	12.75	-3.23	-20.01	-21.55	4.82	-109.49	0.06	6.33	0.02	0.02	
6.00	-7.54	1.86	-1.83	-63.37	-155.34	36.28	-80.86	3.78	7.54	40.17	-23.52	-3.15	48.63	10.08	-5.16	-29.35	-16.50	7.08	-104.99	1.93	5.13	0.03	0.03	
7.00	-1.95	-2.71	0.35	-58.08	-101.74	-8.84	-74.00	-12.64	10.61	39.53	-22.00	-3.58	50.14	14.39	0.48	-23.10	-11.33	9.78	-98.61	3.89	3.63	0.09	0.03	
8.00	-22.33	-17.65	4.02	-50.35	69.91	-9.07	-70.05	-18.61	15.15	34.29	-17.80	-4.33	45.56	11.60	-0.57	-20.00	-7.63	11.74	-90.15	5.97	2.08	0.24	0.03	
9.00	-31.64	0.36	15.62	14.54	56.49	-19.12	-80.65	-9.89	17.76	38.54	-13.34	-5.25	36.82	6.53	5.93	-23.22	-1.68	6.03	-79.20	7.80	0.68	0.16	0.03	
10.00	-9.04	7.79	18.82	52.76	-52.97	-40.70	-67.70	-14.09	17.15	37.27	-12.57	-5.54	33.16	-2.83	7.97	-8.07	1.88	-0.54	-66.08	7.11	-0.32	0.08	0.04	
11.00	9.33	-3.02	12.43	106.24	-143.80	-62.69	-67.94	-36.50	18.87	32.05	-8.87	-5.41	46.86	-11.96	7.35	10.72	3.96	-5.91	-51.60	5.14	-0.76	0.04	0.05	
12.00	-12.46	0.53	10.83	49.26	-141.55	-14.93	-92.99	-34.82	21.50	34.33	-6.82	-5.43	50.34	-18.69	8.99	14.49	6.31	-10.11	-36.85	3.97	-0.80	0.04	0.07	
13.00	-7.82	-13.01	15.44	-13.84	-178.42	-2.26	-88.06	-31.41	22.09	27.38	1.67	-5.54	51.75	-32.55	4.29	23.01	6.75	-13.26	-23.53	2.87	-0.66	0.03	0.09	
14.00	-8.89	-13.77	15.35	1.91	-106.01	-24.55	-76.34	-37.83	22.12	22.23	2.88	-4.68	48.65	-32.41	6.32	26.05	5.25	-16.33	-12.74	2.06	-0.63	0.04	0.09	
15.00	-27.28	-16.45	9.48	11.99	-45.26	-46.11	-69.67	-50.77	22.62	15.14	-0.47	-1.90	36.21	-30.10	6.01	26.14	4.25	-19.98	-4.91	1.66	-0.73	0.04	0.10	
16.00	-31.28	-22.15	9.82	-13.70	-25.34	-57.34	-68.21	-62.66	23.09	10.38	-1.12	-0.62	35.48	-31.96	6.73	24.51	2.24	-24.09	0.10	1.42	-0.51	0.04	0.11	
17.00	-24.82	-22.10	8.74	-22.03	34.22	-91.93	-61.79	-65.66	22.31	9.44	-0.44	-0.30	40.82	-35.03	5.20	22.25	3.16	-28.31	2.85	1.14	-0.13	0.04	0.14	
18.00	-24.48	-18.29	11.49	17.33	82.69	-86.52	-59.31	-65.52	21.39	15.85	1.47	-1.28	37.64	-35.96	6.05	19.79	4.16	-32.18	3.23	0.54	-0.03	0.04	0.14	
19.00	-14.66	-16.60	8.13	-10.18	7.72	-57.33	-59.61	-62.91	20.22	16.80	0.35	-1.44	39.42	-36.67	-0.45	16.99	4.74	-35.62	3.58	-0.20	-0.03	0.04	0.16	
20.00	-41.53	-14.60	10.50	64.76	23.31	-48.20	-59.66	-62.70	19.58	14.93	-2.96	-1.04	23.08	-35.55	1.29	15.41	5.34	-38.55	2.78	-1.14	0.13	0.03	0.12	
21.00	-11.51	-22.24	4.48	3.10	-13.31	-12.54	-58.73	-63.98	18.52	15.59	-1.65	-1.64	44.56	-32.66	-5.75	12.81	6.18	-41.08	1.89	-2.09	0.19	0.03	0.08	
22.00	-9.72	-13.08	-2.78	53.70	-47.84	-40.98	-50.04	-64.95	16.93	21.47	-2.88	-1.91	28.63	-20.34	-4.93	10.52	7.42	-43.15	1.25	-3.04	0.25	0.03	0.04	
23.00	-3.00	-16.64	-1.06	14.89	-70.55	-15.24	-45.05	-66.36	15.19	13.12	-0.06	-2.66	35.36	-15.62	-7.38	6.86	5.35	-45.05	0.91	-3.98	0.17	0.03	0.03	
