gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	21.40	11.14	10.53	71.23	138.96	43.20	15.10	6.26	8.79	15.17	4.98	2.62	32.13	8.13	8.27	25.78	24.37	7.20	6.66	2.59	1.52	0.01	0.01	
0.00	28.29	9.07	7.77	31.50	121.76	39.54	14.51	2.26	9.46	12.65	2.64	3.05	55.48	8.76	3.52	24.68	23.15	7.24	6.82	2.36	1.41	0.00	0.00	
0.00	21.78	6.45	3.64	61.62	74.32	16.83	17.46	5.09	9.00	15.30	1.99	2.67	39.28	5.52	1.63	24.38	22.51	7.47	7.26	2.37	1.40	0.00	0.00	
0.00	18.80	3.78	3.96	48.23	64.89	15.91	16.56	4.12	9.01	14.34	2.40	2.57	39.46	4.87	1.96	24.02	22.22	7.98	7.89	2.34	1.55	0.00	0.01	
0.00	15.77	9.24	4.02	45.79	100.09	39.11	16.64	5.94	8.46	16.70	2.84	2.67	34.94	9.36	3.92	23.60	21.57	8.71	8.47	2.39	1.79	0.00	0.01	
0.00	35.07	14.59	6.84	57.98	51.48	31.91	15.58	4.44	8.50	14.55	2.63	2.56	54.53	12.02	5.34	22.56	21.85	9.40	9.06	2.15	1.90	0.00	0.00	
0.00	18.52	11.37	7.31	36.45	132.39	25.97	16.40	3.21	8.33	16.59	4.39	2.36	40.81	9.14	6.62	21.46	20.44	10.01	9.90	1.98	2.02	0.00	0.01	
0.00	26.19	10.90	2.95	76.70	105.38	21.94	15.96	3.44	7.69	14.60	3.13	2.32	36.07	10.32	6.96	20.90	21.09	10.60	10.47	2.01	2.02	0.00	0.01	
0.00	16.68	10.04	6.11	55.52	71.80	23.71	15.95	3.61	7.44	14.34	4.32	2.15	35.37	3.84	4.34	19.90	20.46	10.95	10.74	1.85	2.09	0.00	0.00	
0.00	28.72	19.08	12.54	57.93	122.51	51.32	15.88	6.10	6.50	16.00	7.42	2.40	36.83	11.72	5.46	19.10	19.67	11.18	11.08	1.87	2.26	0.01	0.00	
0.00	27.06	14.24	11.71	68.24	106.10	41.86	14.71	2.99	6.74	12.54	3.16	2.33	51.33	8.94	8.99	18.74	19.38	11.57	11.36	1.78	2.50	0.00	0.00	
0.00	26.79	4.42	4.65	45.35	69.71	18.53	15.04	2.98	6.15	12.21	3.18	1.68	25.01	5.30	4.53	17.68	19.55	11.69	11.48	1.96	2.81	0.00	0.00	
0.00	14.91	4.76	4.42	87.31	132.50	25.44	12.63	4.40	5.55	12.31	4.42	1.41	40.68	4.88	3.61	17.26	17.91	11.72	11.54	2.14	2.98	0.00	0.01	
0.00	26.55	6.35	3.61	37.66	60.94	22.06	14.88	4.18	4.77	12.80	3.66	0.82	37.37	4.67	3.15	16.61	18.11	12.13	12.33	2.23	3.11	0.00	0.01	
0.00	16.88	8.74	8.31	88.55	121.43	23.70	12.54	3.45	4.46	14.21	4.17	1.04	32.63	7.40	7.06	17.14	18.19	12.95	13.64	2.51	3.14	0.00	0.00	
0.00	32.29	9.38	10.14	89.53	70.62	52.12	14.19	4.27	4.01	14.73	5.40	1.01	42.41	8.65	5.83	17.04	17.15	13.83	15.06	2.66	3.32	0.00	0.00	
0.00	23.52	12.01	8.07	133.11	88.08	48.93	14.58	2.69	3.89	13.92	4.80	0.81	38.86	11.25	6.10	17.14	17.60	14.30	16.30	2.65	3.52	0.00	0.00	
0.00	19.08	8.46	5.19	64.10	70.93	34.88	15.06	4.17	3.15	15.30	7.07	1.32	26.61	10.49	5.13	17.06	17.58	14.46	17.08	2.60	3.87	0.00	0.00	
0.00	20.59	7.60	5.86	77.58	166.23	31.85	10.40	5.05	3.68	13.88	6.52	1.87	44.97	8.64	3.04	17.02	17.98	14.27	17.20	2.65	4.05	0.00	0.00	
