gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	212.64	8.51	43.11	0.01	
2.00	216.32	8.65	43.80	0.02	
3.00	216.13	8.65	43.78	0.01	
4.00	212.02	8.48	42.97	0.01	
5.00	209.93	8.41	42.59	0.02	
6.00	209.28	8.37	42.45	0.02	
7.00	208.18	8.33	42.23	0.02	
8.00	208.70	8.35	42.36	0.02	
9.00	213.96	8.55	43.40	0.02	
10.00	224.64	8.99	45.56	0.02	
11.00	240.82	9.61	48.78	0.02	
12.00	257.77	10.28	52.21	0.01	
13.00	282.75	11.30	57.29	0.01	
14.00	324.03	12.95	65.68	0.01	
15.00	370.93	14.79	75.16	0.01	
16.00	421.59	16.81	85.41	0.01	
17.00	482.16	19.23	97.61	0.01	
18.00	542.33	21.60	109.79	0.00	
19.00	592.29	23.59	119.92	0.00	
20.00	643.42	25.61	130.06	0.00	
21.00	705.58	28.10	142.82	0.00	
22.00	777.12	30.95	157.34	0.00	
23.00	849.78	33.84	172.00	0.00	
24.00	922.19	36.72	186.67	0.00	
25.00	1003.34	39.95	203.07	0.00	
26.00	1097.36	43.69	222.05	0.00	
27.00	1183.18	47.10	239.41	0.00	
28.00	1250.48	49.79	253.04	0.00	
29.00	1302.06	51.86	263.64	0.00	
30.00	1339.27	53.35	271.17	0.00	
31.00	1359.88	54.17	275.39	0.00	
32.00	1362.62	54.25	275.70	0.00	
33.00	1341.58	53.42	271.61	0.00	
34.00	1316.40	52.43	266.54	0.00	
35.00	1303.17	51.89	263.70	0.00	
36.00	1298.31	51.70	262.67	0.10	
37.00	1303.26	51.90	263.74	1.21	
38.00	1293.92	51.51	261.80	2.03	
39.00	1233.40	49.10	249.56	2.53	
40.00	1148.97	45.76	232.53	2.75	
41.00	1057.25	42.11	213.85	2.74	
42.00	901.49	35.89	182.42	3.17	
43.00	677.27	26.95	136.81	3.95	
44.00	441.29	17.60	89.28	4.55	
45.00	278.63	11.13	56.44	5.69	
46.00	184.92	7.39	37.29	7.96	
47.00	112.92	4.49	22.78	12.14	
48.00	51.86	2.09	10.44	14.55	
49.00	18.46	0.75	3.77	16.26	
50.00	6.25	0.25	1.28	18.38	
51.00	2.09	0.09	0.39	18.00	
52.00	11.04	0.47	2.28	14.09	
53.00	61.83	2.47	12.52	20.25	
54.00	143.22	5.70	28.98	19.40	
55.00	308.16	12.26	62.36	16.23	
56.00	514.21	20.48	104.08	12.45	
57.00	651.68	25.94	131.88	18.17	
58.00	726.84	28.97	147.00	9.28	
59.00	839.88	33.44	169.95	8.90	
60.00	1013.09	40.34	205.00	1.97	
61.00	1197.04	47.66	242.18	3.51	
62.00	1232.64	49.07	249.43	6.34	
63.00	1163.92	46.33	235.43	0.72	
64.00	1118.08	44.52	226.30	0.00	
65.00	1135.42	45.21	229.77	0.00	
66.00	1126.39	44.83	227.81	0.00	
67.00	1054.11	41.96	213.28	0.00	
68.00	989.67	39.40	200.25	0.00	
69.00	918.52	36.57	185.87	0.00	
70.00	835.73	33.28	169.09	0.00	
71.00	765.89	30.51	155.05	0.00	
72.00	710.84	28.31	143.90	0.00	
73.00	668.04	26.60	135.21	0.01	
74.00	626.61	24.94	126.84	0.00	
75.00	590.86	23.55	119.61	0.10	
76.00	567.06	22.59	114.81	2.27	
77.00	548.01	21.83	110.97	5.37	
78.00	531.09	21.16	107.55	8.15	
79.00	521.56	20.78	105.64	10.49	
80.00	514.15	20.48	104.10	12.28	
81.00	506.28	20.16	102.49	13.65	
82.00	503.56	20.05	101.96	14.68	
83.00	498.74	19.87	100.99	15.12	
84.00	491.92	19.59	99.61	15.35	
85.00	481.52	19.18	97.52	15.66	
86.00	468.10	18.64	94.78	15.84	
87.00	459.98	18.33	93.17	15.71	
88.00	450.86	17.96	91.32	15.23	
89.00	442.38	17.63	89.62	14.65	
90.00	436.15	17.37	88.34	14.10	
91.00	433.32	17.26	87.76	13.23	
92.00	433.73	17.29	87.87	11.71	
93.00	428.01	17.05	86.67	9.64	
94.00	419.96	16.74	85.09	7.80	
95.00	415.85	16.58	84.30	6.07	
96.00	413.90	16.50	83.87	4.07	
97.00	406.55	16.21	82.42	1.55	
98.00	395.16	15.76	79.99	0.06	
99.00	384.14	15.29	77.79	0.01	
100.00	374.86	14.93	75.91	0.01	
